steps,rate_target_reached
9918,0.35
18499,0.5
24033,0.71
28440,0.78
32828,0.78
37072,0.81
40603,0.85
44526,0.81
47863,0.87
51199,0.86
53877,0.9
56145,0.93
58852,0.88
61668,0.88
64128,0.92
66987,0.87
69591,0.9
72083,0.92
74556,0.9
77010,0.92
79972,0.89
82297,0.91
84661,0.94
86307,0.96
89118,0.89
91794,0.92
94191,0.93
96200,0.95
99242,0.88
101008,0.94
103030,0.95
104939,0.95
107393,0.92
109753,0.92
112519,0.88
114865,0.92
116710,0.95
119049,0.93
120877,0.96
123185,0.91
126128,0.9
127887,0.96
129873,0.94
131912,0.96
134010,0.93
136054,0.95
138179,0.93
140385,0.92
141945,0.97
143590,0.95
145712,0.93
147691,0.96
149772,0.94
151664,0.96
153368,0.94
155817,0.9
157721,0.94
159310,0.95
160699,0.99
162486,0.96
164209,0.96
165941,0.95
167590,0.96
169785,0.92
171383,0.98
173837,0.91
175432,0.98
176988,0.96
179690,0.9
181120,0.97
182558,0.97
184522,0.93
186458,0.94
188523,0.93
190638,0.94
191902,0.99
194115,0.93
195887,0.95
197366,0.97
199862,0.89
201858,0.94
203748,0.95
205551,0.96
206900,0.99
208674,0.95
209743,0.99
211227,0.98
212589,0.97
214374,0.96
215525,0.99
216672,1.0
218284,0.96
220498,0.94
222609,0.92
224292,0.97
226557,0.93
228501,0.95
230201,0.95
231480,0.98
232713,0.99
234458,0.95
236225,0.95
239003,0.89
240857,0.95
242882,0.93
244873,0.93
245960,0.99
248314,0.92
249313,1.0
251425,0.93
253395,0.94
256560,0.85
258895,0.91
260778,0.94
262609,0.94
264341,0.96
266098,0.94
267304,0.99
268920,0.96
270069,0.98
271524,0.96
273605,0.92
275022,1.0
276586,0.97
278049,0.97
279912,0.95
280876,1.0
282365,0.96
283523,0.98
285056,0.97
286139,0.99
288037,0.93
290343,0.9
292228,0.94
294362,0.92
295787,0.97
297487,0.95
299564,0.92
301123,0.96
302540,0.97
304447,0.94
305438,0.99
307463,0.93
309103,0.95
310476,0.98
312034,0.96
313321,0.98
314562,0.99
315961,0.97
317234,0.98
318746,0.97
320661,0.94
322335,0.97
324308,0.94
326200,0.93
327593,0.97
329364,0.95
331082,0.95
332549,0.96
334493,0.93
335577,0.99
337520,0.93
339520,0.92
341041,0.97
342603,0.95
343555,1.0
344933,0.97
346391,0.97
347936,0.96
349049,0.98
350133,0.98
351587,0.97
352891,0.98
354148,0.98
356544,0.91
357777,0.98
359440,0.95
360428,0.99
361990,0.95
364039,0.94
365943,0.93
367069,0.99
368260,0.98
369341,1.0
370862,0.96
372180,0.97
373226,0.99
374648,0.97
375753,0.98
377543,0.93
378882,0.98
380973,0.91
382267,0.98
384167,0.96
385407,0.98
386654,0.97
388124,0.97
389656,0.98
391118,0.97
392661,0.95
395332,0.88
396219,1.0
397666,0.96
399516,0.95
400827,0.97
402092,0.98
403782,0.95
405205,0.95
406215,1.0
407263,0.99
408378,0.99
410435,0.92
411677,0.99
413281,0.95
415319,0.94
416903,0.95
418036,0.99
419908,0.94
422597,0.88
424116,0.96
426139,0.93
427513,0.98
429053,0.96
430311,0.98
431900,0.96
433637,0.94
435456,0.94
437033,0.96
438523,0.96
440350,0.94
442043,0.96
443183,0.98
445179,0.93
446241,0.99
448339,0.93
449924,0.94
451216,0.98
453465,0.93
454826,0.97
456094,0.98
457211,0.99
458367,0.99
459541,0.99
461386,0.94
463119,0.94
465364,0.92
467134,0.95
468828,0.95
471198,0.91
472323,0.99
473695,0.98
474966,0.97
476823,0.94
478018,0.97
479572,0.96
480771,0.98
482257,0.97
484654,0.9
486894,0.91
488740,0.93
489976,0.98
492069,0.92
493363,0.97
494971,0.95
496304,0.97
498348,0.93
499583,0.98
501450,0.93
503040,0.96
505104,0.92
507012,0.94
509208,0.91
511258,0.93
512105,1.0
513877,0.95
516285,0.9
517599,0.97
519378,0.95
521051,0.95
523005,0.93
524272,0.98
526300,0.93
528375,0.93
529843,0.96
530887,0.99
532457,0.96
534224,0.95
535591,0.97
537310,0.93
538876,0.96
540004,0.98
541504,0.97
542866,0.97
544943,0.91
546239,0.97
547918,0.97
549600,0.95
551939,0.9
553735,0.95
555508,0.94
556921,0.97
558628,0.95
560925,0.9
562270,0.96
563400,0.99
565741,0.91
566731,1.0
568704,0.94
570658,0.94
571743,1.0
572721,1.0
574046,0.97
575632,0.96
576850,0.99
578492,0.95
581202,0.87
582841,0.95
584093,0.97
585914,0.94
588336,0.92
590184,0.94
591774,0.95
593090,0.97
594144,0.99
595648,0.98
597469,0.94
598961,0.96
600529,0.97
602042,0.96
603568,0.96
605033,0.96
605953,1.0
607581,0.95
608532,1.0
609586,0.99
610963,0.97
612696,0.95
614854,0.91
615638,1.0
616842,0.97
618760,0.92
620029,0.99
621803,0.94
623497,0.95
625138,0.94
626403,0.97
627874,0.97
629312,0.96
631058,0.94
632407,0.98
634102,0.94
635140,1.0
636100,1.0
637552,0.96
639599,0.92
640832,0.98
642028,0.98
643058,0.99
644236,0.98
645268,0.99
646559,0.98
647974,0.96
649399,0.97
650485,0.98
652293,0.94
654795,0.91
656926,0.91
658062,0.99
659729,0.95
660912,0.98
662705,0.94
663900,0.99
665484,0.94
667069,0.95
668454,0.97
669861,0.97
671977,0.92
673552,0.96
674565,0.99
676188,0.94
677133,1.0
678595,0.96
679884,0.98
681078,0.98
683525,0.9
686074,0.89
688724,0.89
690755,0.92
692109,0.97
693616,0.97
695413,0.94
697281,0.95
698960,0.95
701593,0.89
703001,0.96
705231,0.9
706457,0.98
707923,0.95
710067,0.92
711723,0.95
714234,0.89
715296,0.99
716946,0.95
718028,0.98
719791,0.94
721013,0.98
722017,0.99
724187,0.93
725269,0.99
727274,0.92
728569,0.97
729983,0.96
731796,0.97
733168,0.99
734913,0.95
736478,0.96
737983,0.96
739957,0.94
741525,0.95
742739,0.98
744512,0.94
745797,0.97
747344,0.95
749284,0.93
750628,0.97
752647,0.93
754501,0.93
756322,0.93
758278,0.93
