steps,reward,lenght
0,0,0
1,10.0,1
151,-60.28733653967553,150
301,-63.33996225578099,150
451,-62.75172492707577,150
601,-60.029548260389554,150
751,-62.70927715343315,150
752,10.0,1
761,9.822701654637722,9
762,9.996425829075424,1
912,-59.650908620338214,150
913,10.0,1
914,10.0,1
915,10.0,1
916,10.0,1
924,9.8182764697685,8
925,10.0,1
926,10.0,1
927,10.0,1
1077,-62.67183143561556,150
1227,-63.380365246707015,150
1377,-62.986070267378835,150
1527,-63.152798662519416,150
1677,-64.12306714486157,150
1827,-63.04953093606266,150
1977,-63.38208279926033,150
1978,10.0,1
2128,-63.56139110067287,150
2129,10.0,1
2130,10.0,1
2280,-63.54828243256508,150
2430,-63.52142374254252,150
2580,-64.09724422455565,150
2730,-61.48538110001888,150
2752,1.270858884719086,22
2753,10.0,1
2903,-62.799229754605705,150
3053,-61.999154178853395,150
3061,8.973983740496093,8
3211,-63.28067932733512,150
3361,-63.30718372272824,150
3511,-60.61739891631272,150
3661,-63.27558350642338,150
3811,-63.46060163808029,150
3961,-62.59815475491497,150
3962,10.0,1
4112,-63.50344396653675,150
4262,-62.8678448064947,150
4412,-61.80236994828171,150
4562,-64.08904544306498,150
4712,-63.98205531184745,150
4713,10.0,1
4714,10.0,1
4717,9.963146688723794,3
4718,10.0,1
4868,-62.991563870141306,150
5018,-62.13037201974405,150
5168,-62.87082020734027,150
5318,-63.483721200561476,150
5468,-63.516064038731315,150
5618,-61.68747185650362,150
5768,-62.27462564843748,150
5918,-63.42155922940331,150
6068,-62.75323381276799,150
6218,-61.21407075221901,150
6368,-62.390539120390976,150
6518,-62.40798352661559,150
6519,10.0,1
6669,-62.40370156521467,150
6670,10.0,1
6671,9.996244339837935,1
6821,-62.31040572075277,150
6822,10.0,1
6972,-62.48939956730569,150
7122,-64.29043998679487,150
7272,-63.501218862073586,150
7422,-61.56577606498327,150
7572,-62.725635757031085,150
7722,-61.259743488929594,150
7872,-61.774361019174755,150
7873,10.0,1
8023,-62.91077194086809,150
8173,-61.36620314591076,150
8323,-63.61239605446957,150
8473,-63.46349552228512,150
8623,-62.927022440775666,150
8773,-63.2983972202371,150
8923,-62.10642586568416,150
9073,-64.32648547747249,150
9223,-64.26714240169923,150
9224,10.0,1
9225,9.992468689232316,1
9235,6.347521908605156,10
9385,-63.33781206634542,150
9535,-62.397275047728684,150
9685,-60.686675720109015,150
9835,-59.716117195399015,150
9985,-59.88657518712445,150
10135,-61.9999556370072,150
10285,-37.175333500323056,150
10435,-30.6355698880051,150
10437,9.972916589772643,2
10438,10.0,1
10588,-18.944160045453767,150
10589,10.0,1
10590,10.0,1
10600,9.825115737364712,10
10750,-10.129262773445351,150
10900,-10.751720231750634,150
10908,9.853945917204213,8
11058,-11.778715407558895,150
11208,-4.832831911625396,150
11358,-8.857736095020055,150
11508,-22.80917757790342,150
11658,-58.28807414288457,150
11808,-46.197010423224,150
11958,-48.180224338454046,150
12108,-11.588627908311292,150
12114,9.895809161439852,6
12258,-41.92860136182374,144
12408,-34.06722974413483,150
12558,-55.19117864724378,150
12708,-36.27224896655047,150
12858,-40.5429899766675,150
13004,6.470870250759489,146
