steps,reward,lenght
0,0,0
7,9.866301797885031,7
39,9.133067476624538,32
46,9.869230020960037,7
62,9.613359166863466,16
62,0,0
212,-44.72001805786734,150
362,-61.58516633633852,150
363,10.0,1
364,10.0,1
514,-61.07702824085126,150
525,8.521419709362144,11
675,-56.865685565561115,150
825,-63.109328717807266,150
975,-59.15677309430556,150
1125,-62.80037299258365,150
1275,-58.179111433194294,150
1425,-61.33449330810719,150
1438,7.959372151869586,13
1439,10.0,1
1454,9.111539092767611,15
1479,8.691515139600773,25
1629,-59.86040239985166,150
1632,9.963028890920956,3
1633,10.0,1
1638,9.914755804893321,5
1659,7.899763970704414,21
1809,-62.38666044246105,150
1873,-8.922673187625662,64
2023,-62.367662019313066,150
2024,10.0,1
2174,-19.78618521091921,150
2324,-17.11950603625514,150
2474,-11.112087697140112,150
2475,10.0,1
2476,10.0,1
2626,-63.9546190156527,150
2633,9.855214503062545,7
2638,9.912116101428403,5
2639,10.0,1
2789,-41.039604974234116,150
2939,-59.80536727625139,150
3089,-42.28803452600865,150
3090,10.0,1
3240,-9.688535051322262,150
3390,-63.7201667887915,150
3540,-34.13675904630511,150
3545,9.727123826882154,5
3695,-52.8381210888967,150
3696,10.0,1
3846,-23.657677460185187,150
3996,-29.04373743687408,150
3997,10.0,1
4007,9.819788291241544,10
4157,-9.752873268152632,150
4307,-12.154102428139842,150
4457,-60.553657798582826,150
4460,9.959695132548468,3
4610,-48.262178892862906,150
4611,10.0,1
4612,10.0,1
4762,-21.64597262874838,150
4912,-10.042385466526106,150
4913,10.0,1
5063,-8.759323891291839,150
5065,9.984871494932559,2
5066,10.0,1
5077,8.579137636130657,11
5078,10.0,1
5079,10.0,1
5229,-58.35939201685025,150
5244,9.415451160644464,15
5275,9.375723436154207,31
5291,9.263438030996657,16
5441,-11.63334395951992,150
5446,9.931687418550583,5
5455,9.85221872315147,9
5476,9.501046997868619,21
5489,9.748808054960405,13
5502,9.55414488215697,13
5652,-62.701941143063955,150
5802,-41.90252107067249,150
5952,-41.88711940748262,150
6102,-61.93595292988016,150
6157,7.304697900070449,55
6307,-12.943515674354272,150
6457,-16.14819398775095,150
6491,9.231015279027815,34
6532,5.763426964726552,41
6538,9.889497906776159,6
6539,10.0,1
6540,10.0,1
6557,9.675338432514472,17
6573,9.741444421301061,16
6578,9.934700207879278,5
6728,-62.42444238529103,150
6878,-30.10320468975238,150
7028,-43.92497286517132,150
7032,9.937472639139873,4
7182,-3.1653278000352496,150
7332,-40.476507327811966,150
7333,10.0,1
7341,9.856784170350972,8
7491,-63.51504816361794,150
7526,9.272268702907471,35
7676,-40.92025624195363,150
7737,-3.5045926682061346,61
7887,-7.306183360925623,150
7896,9.845991825772092,9
8046,-58.31182126314232,150
8196,-64.41292897827536,150
8346,-58.308665118186134,150
8496,-62.71380353177634,150
8646,-63.609217194561566,150
8647,10.0,1
8658,9.763341843618347,11
8659,10.0,1
8660,10.0,1
8661,9.996240171993755,1
8662,10.0,1
8663,10.0,1
8665,9.978395793702381,2
8667,9.974000238506944,2
8671,9.944223333762087,4
8675,9.928721347597886,4
8712,4.542540558609371,37
8713,10.0,1
8714,10.0,1
8718,9.844378108463477,4
8719,10.0,1
8720,10.0,1
8721,10.0,1
8722,10.0,1
8723,9.992062819277239,1
8724,10.0,1
8748,7.145892281983663,24
8749,10.0,1
8899,-8.78833444424077,150
8904,9.912280386316414,5
8905,10.0,1
8928,8.354116428849528,23
9078,-58.10691175583195,150
9084,9.887118145596576,6
9093,9.845960686966043,9
9094,9.992649582731966,1
9113,9.585640000221025,19
9263,-10.04276734027806,150
9413,-6.393157368538318,150
9414,10.0,1
9564,-2.665364759142376,150
9565,10.0,1
9573,9.731288905692027,8
