steps,reward,lenght
0,0,0
499,-110.36031581986282,499
638,-22.99757388568665,139
701,1.9766332093433174,63
1201,-92.70676961640132,500
1701,-99.9572385646788,500
1702,10.0,1
2202,-111.43254245708515,500
2203,10.0,1
2703,-225.74084098498963,500
2704,10.0,1
2707,9.937755706971931,3
3207,-66.238241328592,500
3211,9.943233976327765,4
3711,-88.02704631096289,500
3712,10.0,1
3726,8.437554683245974,14
3727,10.0,1
3732,9.437693213210416,5
3733,10.0,1
3734,10.0,1
3735,9.996254872157614,1
4235,-85.99535247227189,500
4735,-90.98689074868999,500
4736,10.0,1
4737,10.0,1
4738,10.0,1
4766,5.984013777664375,28
5266,-178.77901955086637,500
5267,10.0,1
5767,-211.40887722537298,500
6267,-210.86372267105548,500
6767,-204.92048852870127,500
6768,10.0,1
7268,-213.21806453473715,500
7768,-207.6987564765441,500
8268,-209.51369127855986,500
8768,-208.18921931426357,500
9268,-208.79666403460774,500
9768,-200.90551800534922,500
10268,-210.5824543794281,500
10269,10.0,1
10769,-211.0301660420222,500
11269,-214.13700499959077,500
11769,-210.90619355659555,500
12269,-206.72004196789916,500
12769,-226.59809588568243,500
13269,-208.22149430417767,500
13769,-207.8863225885539,500
14269,-213.01776722241064,500
14769,-211.04434586769776,500
15269,-206.62578187356704,500
15769,-211.95797776408847,500
16269,-214.22318272815323,500
16270,10.0,1
16770,-211.78491612153792,500
17270,-224.4790978540683,500
17712,-169.66829660487517,442
17715,9.95827168332771,3
17716,9.997128839807834,1
18216,-208.59851693211223,500
18716,-207.79121806650372,500
19082,-118.02913397005408,366
19582,-197.16241159424263,500
20082,-212.6974066578863,500
20582,-253.0697609903911,500
21082,-243.36234569424084,500
21582,-249.28614934346118,500
21583,10.0,1
22083,-207.63775672120696,500
22217,-39.85737196991741,134
22717,-256.1254320713325,500
23217,-181.31973107778904,500
23717,-213.8951686408859,500
24217,-257.09525394246896,500
24717,-253.33114811707085,500
25117,-151.80884458669533,400
25118,9.989080000251395,1
25618,-262.08167040752824,500
26118,-208.56836174210352,500
26618,-213.18975331121482,500
27118,-213.24406202874226,500
27618,-211.71775304914283,500
28118,-207.421986571945,500
28618,-211.41930030154398,500
29118,-212.24355995154417,500
29618,-255.77890152324989,500
30118,-207.4356341824652,500
30128,9.506737815369938,10
30129,10.0,1
30629,-210.1696530719976,500
30763,-43.0551335364895,134
31263,-213.38318884406405,500
31763,-207.34473619157436,500
32263,-209.06797830253566,500
32763,-208.44644815766003,500
33263,-211.58814425784755,500
33763,-213.9854565597511,500
34263,-209.62820970713395,500
34763,-206.3232943301093,500
35263,-212.84634044960407,500
35763,-209.9905488586821,500
35764,10.0,1
36264,-206.77278437328062,500
36302,-5.318328069429162,38
36802,-207.88558122540968,500
37134,-127.39316837783755,332
37634,-262.3957190528071,500
37635,10.0,1
38135,-204.260621482485,500
38635,-245.3153551699286,500
38636,10.0,1
38638,9.856619239766744,2
39138,-205.0049814143503,500
39638,-206.08046251008733,500
39639,10.0,1
40139,-210.51985039419938,500
40639,-206.85804623909902,500
41139,-210.95013648967597,500
41140,10.0,1
41640,-207.72636397335617,500
42140,-237.0174743199271,500
42640,-259.88036321403143,500
42641,10.0,1
43141,-254.6416901617162,500
43641,-261.3567678178453,500
44141,-206.64359705599117,500
44142,10.0,1
44642,-201.08568173992035,500
45142,-255.30433569966831,500
45642,-263.20837308611726,500
46142,-263.59730088451084,500
46642,-258.6106655768956,500
47142,-261.6963914352119,500
47642,-261.2963546641253,500
48142,-257.5075632436153,500
48642,-259.41958351301645,500
49142,-244.76602213402626,500
49642,-250.66310366197075,500
50142,-238.8180132864126,500
50635,-262.6230028102769,493
51135,-267.0196601936932,500
51635,-244.87435544862313,500
52135,-259.2758378501722,500
52439,-142.74227538100604,304
52608,-55.71740135366701,169
53108,-208.73509639042837,500
53109,9.996755573224505,1
53110,9.996633464005036,1
53610,-212.77966987464274,500
54110,-212.14369202927594,500
54191,-17.47073915968337,81
54691,-208.65609920941802,500
55191,-211.90910827207023,500
55691,-209.59674214058765,500
56191,-208.80489130837177,500
56195,9.611591129549762,4
56197,9.883176578535032,2
56198,10.0,1
56199,10.0,1
56699,-208.00957039344797,500
56701,9.98272443152635,2
56702,10.0,1
56703,10.0,1
56704,10.0,1
57204,-207.5023791873249,500
57704,-208.84807470845786,500
57705,10.0,1
58205,-205.8756794455752,500
58705,-236.2390569435153,500
59205,-258.85610118100715,500
59705,-259.8043852641742,500
60205,-263.08526797276176,500
60705,-261.9146750489539,500
61205,-213.2582453242533,500
61705,-206.60889617194493,500
62205,-259.79877416629216,500
62705,-207.07549125649348,500
62764,-13.987930412361036,59
63264,-212.5224251668125,500
63764,-210.3838185402704,500
64264,-205.6194390537456,500
64764,-262.68363737845283,500
65264,-225.77401327952842,500
65764,-206.6989833489503,500
66264,-206.60423127573307,500
66271,9.873753771229746,7
66771,-261.1973831095513,500
67271,-257.1595657046987,500
67577,-112.99960399264442,306
68077,-211.8248146481452,500
68288,-72.79439368933136,211
68788,-215.12448579587036,500
68794,9.336777029597906,6
69294,-204.9162603986823,500
69794,-208.2724127693279,500
70294,-209.0015803127604,500
70794,-260.7498526618758,500
70795,10.0,1
71295,-210.18412925962573,500
71795,-209.01552523780177,500
72295,-210.9316176845763,500
72795,-208.688759950946,500
73295,-262.0141796073791,500
73795,-256.80414289513044,500
73797,9.979911057781457,2
74297,-250.0336801389482,500
74797,-246.31296248413534,500
75297,-208.5500728628757,500
75797,-241.82996666998687,500
76297,-212.11064905546053,500
76797,-206.65945431449143,500
77297,-201.72151704098383,500
77301,9.949466970812079,4
77801,-206.5656967568358,500
77802,10.0,1
78302,-256.39019514540223,500
78802,-253.79700749728514,500
78803,10.0,1
79303,-254.01646423310976,500
79803,-193.62506404453305,500
79804,10.0,1
80304,-207.05864367721105,500
80305,9.989358477612319,1
80805,-211.52564411945718,500
81305,-210.40593884583072,500
81306,10.0,1
81806,-210.77232651062872,500
82306,-211.2647681544854,500
82466,-54.819002531236464,160
82467,10.0,1
82967,-207.83143796036308,500
82969,9.97752428507257,2
83469,-210.27647142122697,500
83969,-211.72897614579017,500
84469,-212.28927099249134,500
84969,-207.5639158872639,500
85469,-208.67276650628514,500
85969,-209.71297198005672,500
86469,-205.46881636903856,500
86969,-208.66955130483836,500
87469,-206.66087748551232,500
87470,10.0,1
87970,-203.10335710761402,500
88085,-34.569110776271486,115
88086,10.0,1
88586,-207.8658620205461,500
88587,10.0,1
88770,-54.04821694887086,183
89270,-192.51173043525955,500
89770,-172.55400224616974,500
89931,-42.81156779197559,161
89932,10.0,1
89933,10.0,1
89945,9.443055664252284,12
89950,9.922061211877006,5
89951,10.0,1
90411,-156.32425265744067,460
90412,10.0,1
90912,-203.83943796794313,500
91412,-217.237253575083,500
91413,10.0,1
91913,-221.35537903391773,500
92413,-198.33086773481514,500
92913,-189.17086299928232,500
93413,-176.54158261639301,500
93913,-149.96194430321967,500
93932,7.9166485642586295,19
93933,10.0,1
93985,1.9299590302679892,52
94172,-54.75241540455952,187
94672,-151.91005041172565,500
95172,-196.06920055341857,500
95672,-157.95074378937235,500
96172,-187.97333588447944,500
96672,-218.37925140429405,500
97172,-154.79817160836757,500
97202,8.541837198717381,30
97702,-217.07358772696426,500
98202,-253.5950903085778,500
98702,-222.16628674279232,500
99202,-237.4203107540902,500
99235,8.143842734119625,33
99264,2.005470719396328,29
99764,-215.31854247459594,500
99776,9.775295353491028,12
99823,-2.8061160560025034,47
99843,7.368843391211208,20
100343,-215.37106902369743,500
100843,-233.95524652612465,500
100851,9.878119771472294,8
100862,8.895658852777705,11
100863,10.0,1
101363,-250.6220386224875,500
101387,8.096764037250814,24
101887,-170.57245797227156,500
102387,-239.1423714318693,500
102887,-217.0171505035369,500
103387,-212.6489116835402,500
103388,9.971510559566555,1
103888,-132.37176535292846,500
103893,9.934286204884422,5
103894,10.0,1
104394,-143.04542681467643,500
104433,2.9827079015445292,39
104442,9.79059425724103,9
104942,-157.6881629095168,500
