steps,rate_target_reached
6190,0.44
6356,0.46
6361,0.42
6453,0.48
6556,0.42
6676,0.4
6779,0.37
6882,0.35
6923,0.38
7055,0.4
7096,0.36
7185,0.37
7206,0.34
7237,0.33
12890,0.44
13361,0.4
13488,0.4
13635,0.34
13647,0.33
13854,0.41
13991,0.37
14016,0.35
13985,0.38
14215,0.3
14412,0.39
14525,0.32
14534,0.36
14806,0.31
19989,0.45
20288,0.44
20237,0.37
20433,0.36
20490,0.42
20612,0.43
20655,0.41
20919,0.31
21264,0.41
21353,0.39
21330,0.39
21517,0.32
21710,0.41
22025,0.37
26947,0.47
27098,0.39
27112,0.45
27302,0.37
27513,0.4
27675,0.35
27672,0.4
27860,0.34
28073,0.41
28201,0.4
28396,0.35
28388,0.41
28975,0.4
29244,0.39
33062,0.49
33580,0.44
33559,0.49
34520,0.44
34594,0.43
34563,0.33
34768,0.41
34679,0.38
34753,0.39
34884,0.37
35065,0.43
35686,0.35
35837,0.41
36275,0.38
39927,0.44
39937,0.4
40582,0.52
40837,0.33
41080,0.45
41246,0.43
41281,0.4
41426,0.44
41503,0.38
42130,0.43
42276,0.28
42274,0.42
42449,0.36
43448,0.32
46425,0.49
46925,0.38
47543,0.44
47890,0.4
48225,0.37
48492,0.31
48609,0.41
48660,0.36
48816,0.34
49055,0.28
49259,0.38
49594,0.39
49708,0.47
49630,0.34
53791,0.36
54090,0.45
54466,0.34
54676,0.47
54697,0.41
55050,0.41
55236,0.37
55576,0.47
55680,0.53
55714,0.36
55720,0.41
56309,0.38
56783,0.4
57130,0.36
60393,0.45
60686,0.45
60828,0.47
61279,0.41
61437,0.44
62178,0.4
62488,0.41
62504,0.41
62375,0.42
62673,0.42
62538,0.39
63380,0.4
63638,0.45
63810,0.44
66577,0.48
67488,0.43
67765,0.37
68172,0.47
68236,0.41
68618,0.51
68684,0.44
68928,0.43
69214,0.39
69249,0.43
69462,0.49
69801,0.5
70044,0.32
70240,0.45
72946,0.45
73862,0.53
74019,0.42
74256,0.5
74876,0.48
74896,0.48
75563,0.37
75622,0.41
75745,0.45
75916,0.45
76067,0.44
76396,0.46
76682,0.4
77637,0.39
79635,0.42
80505,0.42
81005,0.49
81025,0.44
81054,0.38
81798,0.53
82155,0.49
82173,0.38
81923,0.48
82310,0.52
82417,0.39
82588,0.5
83211,0.37
83892,0.46
85867,0.47
86933,0.46
86987,0.51
87120,0.48
87399,0.49
87938,0.57
87748,0.49
87952,0.48
88300,0.5
88485,0.46
88827,0.47
89238,0.36
89604,0.55
90454,0.42
92706,0.43
92799,0.47
92971,0.53
93309,0.5
93319,0.46
92997,0.56
93761,0.54
93757,0.5
94147,0.56
94534,0.49
94604,0.45
94727,0.59
95830,0.45
96611,0.48
98790,0.47
99081,0.46
99090,0.48
99242,0.53
99549,0.48
99808,0.49
99978,0.38
99954,0.49
100722,0.45
100799,0.48
101032,0.45
101449,0.46
102657,0.39
103205,0.43
104650,0.51
104881,0.59
105121,0.55
105296,0.5
105727,0.4
106148,0.45
106236,0.54
106309,0.46
106580,0.43
107123,0.48
107233,0.49
108011,0.38
108737,0.49
110328,0.55
110066,0.37
110681,0.52
110910,0.5
111858,0.44
112178,0.45
112324,0.6
112641,0.5
112557,0.46
113057,0.45
113009,0.42
113585,0.48
114775,0.45
115212,0.44
116235,0.49
116201,0.47
116833,0.45
116988,0.49
117211,0.61
117378,0.54
118167,0.55
118945,0.53
119124,0.46
119227,0.4
119336,0.46
120213,0.59
120820,0.47
121071,0.36
121730,0.53
122838,0.43
123123,0.47
123199,0.52
123578,0.46
123823,0.4
124406,0.58
124063,0.52
125933,0.38
126309,0.39
125954,0.52
125980,0.44
127076,0.47
127422,0.47
127117,0.53
127914,0.6
128982,0.49
128969,0.63
129262,0.51
129394,0.45
129966,0.49
130718,0.4
131642,0.52
132169,0.52
131795,0.49
132019,0.49
132910,0.53
132824,0.54
133986,0.36
134226,0.45
135314,0.46
135325,0.48
135542,0.48
135579,0.44
136268,0.47
136136,0.55
138100,0.42
138023,0.52
138556,0.45
138131,0.46
138193,0.54
138760,0.5
139929,0.51
140584,0.46
141618,0.47
141637,0.5
141851,0.43
142037,0.45
141775,0.53
142688,0.43
143789,0.52
144355,0.54
144342,0.48
144384,0.49
144951,0.48
144526,0.47
145710,0.55
146452,0.6
146875,0.45
147469,0.55
147537,0.49
148026,0.59
148379,0.46
148382,0.44
149121,0.59
149732,0.59
149847,0.54
150417,0.56
150057,0.52
150654,0.48
151862,0.58
151812,0.49
152896,0.67
152990,0.59
153465,0.51
153586,0.44
153295,0.61
153952,0.55
154178,0.58
155159,0.55
155195,0.59
155824,0.6
155329,0.56
156333,0.53
157203,0.54
157594,0.51
158806,0.51
158978,0.5
159122,0.59
159180,0.6
159324,0.5
159394,0.55
159156,0.5
159629,0.64
160514,0.57
161270,0.56
160817,0.58
161631,0.6
161999,0.64
162371,0.61
163474,0.65
163783,0.63
164122,0.56
164074,0.63
164810,0.53
164468,0.7
165155,0.52
165364,0.52
164930,0.61
165576,0.64
166449,0.6
167276,0.56
167330,0.58
167716,0.54
168238,0.62
168039,0.67
169057,0.66
169609,0.51
169425,0.58
170038,0.6
169786,0.57
170458,0.47
169875,0.66
170553,0.58
171251,0.63
172022,0.62
172465,0.59
172784,0.64
173010,0.55
173303,0.56
174663,0.53
174728,0.63
174876,0.67
174308,0.64
175088,0.63
175314,0.57
174904,0.6
175071,0.57
176045,0.61
176562,0.62
177446,0.6
177582,0.66
177644,0.57
178989,0.64
179011,0.68
178659,0.58
178796,0.64
179947,0.58
179499,0.64
180274,0.61
179830,0.58
180595,0.63
180728,0.54
181241,0.64
181396,0.71
182416,0.6
182869,0.57
182780,0.71
183000,0.66
183784,0.67
184442,0.71
184496,0.55
184599,0.54
184107,0.65
184796,0.58
184998,0.66
185037,0.71
185069,0.61
186316,0.68
186630,0.56
186484,0.71
187670,0.58
187184,0.67
188610,0.7
188632,0.69
188474,0.61
188495,0.66
189179,0.61
189200,0.68
189239,0.68
189323,0.59
190031,0.69
190219,0.75
190352,0.56
190806,0.65
192439,0.63
192133,0.59
192905,0.67
192624,0.69
193308,0.67
193521,0.61
193602,0.64
193935,0.63
193299,0.59
194402,0.68
194374,0.58
194403,0.68
194527,0.67
194928,0.69
196761,0.66
196155,0.73
197113,0.66
196754,0.66
196792,0.72
