steps,reward
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6290,-41.96371727
6456,-14.81779781
6461,-12.74426551
6553,-4.731316336
6557,-15.33674339
6702,-8.548610326
6794,8.524626426468958
6879,-7.747163393
6989,-9.141891992
7101,-12.68373611
7108,10
7147,6.923033935376447
7196,-11.95590976
7337,-21.32523483
12792,-16.37848494
13362,10
13538,9.970263228536348
13588,-19.26582319
13648,10
13855,-12.10092033
14003,8.402246460589044
14029,6.725512377350691
14116,-23.71132135
14249,-8.805556538
14413,10
14507,10
14625,-11.07556318
14708,10
20019,-12.11698719
20301,8.360678412275595
20337,-24.79184527
20434,-14.4109214
20491,-11.61399177
20557,-21.30058179
20646,2.1199875926720733
21019,-7.958557034
21122,9.493243243602084
21354,-41.37397458
21356,-19.92483424
21479,-23.39778
21711,-9.57869996
22026,10
26760,10
27047,-25.1013594
27113,-10.82058509
27321,-4.849151225
27376,10
27476,9.803005418
27402,-13.13551384
27861,-12.99509593
27891,10
28013,10
28389,10
28400,-12.63622896
28880,-16.58599017
29146,-7.612546733
32964,-28.53892743
33387,10
33595,8.740445028178849
34252,8.382268371219402
34407,10
34556,7.432467618456261
34684,-9.22216251
34592,-41.28407291
34663,-13.16083368
34794,9.256664121330347
35032,7.909688325490505
35471,10
35850,-21.24545232
36375,-13.59943623
39771,5.144953534358834
39839,10
40553,-3.859485584
40820,1.6621573876827735
41086,10
41091,-7.281447608
41039,-10.85234435
41526,-17.45551267
41406,10
42120,-21.30616268
42173,10
42178,-10.26946336
42388,9.877762338
43065,9.989669715077676
46261,10
46829,-40.66202686
47324,6.231433180920192
47778,-16.77863596
48107,9.977653751882714
48354,10
48394,-18.72742747
48528,-8.448670124
48501,9.987999584
48762,-6.981473384
48873,10
49424,-15.53403488
49457,10
49663,-18.17621859
53592,5.9561361205255485
53893,9.992554424041227
54137,7.604517438950587
54253,-2.698133972
54441,10
54996,2.604692044169007
55326,-5.339037401
55388,-33.87499876
55300,-11.25861401
55641,6.754096941718384
55452,9.065161475293946
55955,9.989773808189403
56602,10
57005,8.508715135366673
59922,10
60477,4.774301495664238
60687,-7.895956384
60993,9.992914805413326
61181,-14.58145478
61789,10
62223,-19.8238639
62341,-13.17969341
62190,-11.74837843
62559,-5.985178072
62428,-8.126383813
62948,-5.926018519
63353,4.094889975980353
63540,-21.93824872
66454,10
67336,-8.463108795
67518,3.6710626412845304
67888,-11.52058078
67932,-27.06534214
68458,-15.81731174
68506,-20.49718094
68830,-30.39287851
68679,5.062887193599223
68917,-13.83164402
69537,-25.86263066
69339,-8.35061358
69705,-12.8989773
70084,-10.53646812
