steps,rate_target_reached
37172,0.27
67934,0.44
96120,0.48
117822,0.64
139279,0.61
153141,0.78
167998,0.77
180867,0.79
191717,0.84
198375,0.91
204147,0.93
210574,0.95
214268,0.98
218654,0.98
222836,0.96
226481,0.99
229410,0.98
232070,0.99
234306,0.99
236746,0.99
238274,1.0
240130,0.99
241675,1.0
243167,1.0
244814,1.0
246368,1.0
247901,1.0
249234,1.0
250894,1.0
252660,1.0
254748,0.99
256290,1.0
258191,1.0
259710,1.0
262616,0.97
264232,1.0
265448,1.0
266761,1.0
268226,1.0
269529,1.0
271329,1.0
272704,1.0
274291,1.0
275629,1.0
276983,1.0
278508,1.0
279968,1.0
281489,1.0
282730,1.0
283991,1.0
285401,1.0
286864,1.0
288613,0.99
289963,1.0
291463,1.0
293167,0.99
294838,1.0
296245,1.0
297735,1.0
299106,1.0
300426,1.0
301889,1.0
303143,1.0
304432,1.0
305573,1.0
306972,1.0
308214,1.0
309429,1.0
310731,1.0
311895,1.0
313601,0.99
314895,1.0
316242,1.0
317460,1.0
318660,1.0
320657,0.99
321856,1.0
323436,1.0
324869,1.0
325914,1.0
327262,1.0
328645,1.0
329831,1.0
331139,1.0
332330,1.0
333598,1.0
336272,0.97
337395,1.0
338584,1.0
339787,1.0
340835,1.0
342082,1.0
343215,1.0
344558,1.0
347875,0.97
349116,1.0
350210,1.0
351454,1.0
352721,1.0
354586,0.99
355961,1.0
357162,1.0
358583,1.0
359748,1.0
361144,1.0
362472,1.0
363678,1.0
364942,1.0
366347,1.0
367538,1.0
368824,1.0
370348,1.0
371618,1.0
372848,1.0
374169,1.0
376903,0.97
378146,1.0
379326,1.0
380624,1.0
381713,1.0
382907,1.0
384064,1.0
385441,1.0
386725,1.0
387971,1.0
389086,1.0
390664,1.0
391751,1.0
393110,1.0
394408,1.0
395631,1.0
396911,1.0
398155,1.0
399375,1.0
400614,1.0
401885,1.0
403182,1.0
404424,1.0
405648,1.0
407002,1.0
408481,1.0
409745,1.0
410879,1.0
411973,1.0
413266,1.0
414547,1.0
415830,1.0
417025,1.0
418859,0.99
420244,1.0
421493,1.0
423166,0.99
424242,1.0
425395,1.0
427196,0.99
432403,0.92
433612,1.0
434688,1.0
435857,1.0
437009,1.0
438106,1.0
439273,1.0
440372,1.0
441548,1.0
442857,1.0
443974,1.0
445746,0.99
446991,1.0
448350,1.0
449635,1.0
450829,1.0
451939,1.0
452950,1.0
454348,1.0
455648,1.0
456863,1.0
458087,1.0
459336,1.0
460618,1.0
461702,1.0
462979,1.0
464717,0.99
465899,1.0
467246,1.0
468414,1.0
469605,1.0
470733,1.0
472076,1.0
473274,1.0
474288,1.0
475470,1.0
476594,1.0
477829,1.0
479052,1.0
484007,0.94
485226,1.0
486414,1.0
487637,1.0
488815,1.0
490074,1.0
491321,1.0
492550,1.0
493647,1.0
494789,1.0
496091,1.0
497324,1.0
498591,1.0
499807,1.0
501117,1.0
502270,1.0
503576,1.0
505086,1.0
506325,1.0
507642,1.0
508844,1.0
509885,1.0
511011,1.0
512126,1.0
515210,0.96
516427,1.0
517647,1.0
518849,1.0
519898,1.0
521049,1.0
523219,0.98
524422,1.0
525607,1.0
526654,1.0
527849,1.0
528990,1.0
530190,1.0
531453,1.0
532528,1.0
533584,1.0
534836,1.0
536973,0.98
538325,1.0
539599,1.0
540747,1.0
541879,1.0
543448,0.99
544429,1.0
545605,1.0
546874,1.0
547937,1.0
549094,1.0
550388,1.0
551749,1.0
553471,1.0
554700,1.0
555907,1.0
557049,1.0
558213,1.0
559453,1.0
560838,1.0
562068,1.0
563233,1.0
564369,1.0
565522,1.0
567239,0.99
569145,0.99
570212,1.0
571498,1.0
572757,1.0
573722,1.0
574857,1.0
576145,1.0
577286,1.0
578403,1.0
579657,1.0
580768,1.0
581983,1.0
583450,1.0
584559,1.0
585674,1.0
587190,0.99
588452,1.0
589779,1.0
590704,1.0
591973,1.0
593098,1.0
594203,1.0
595413,1.0
596572,1.0
597733,1.0
598958,1.0
600298,1.0
601477,1.0
602656,1.0
603733,1.0
604923,1.0
606063,1.0
607216,1.0
608298,1.0
609341,1.0
610473,1.0
611673,1.0
612674,1.0
613767,1.0
615113,1.0
616471,1.0
617769,1.0
618868,1.0
619899,1.0
621099,1.0
622375,1.0
623440,1.0
624645,1.0
625808,1.0
626888,1.0
628055,1.0
629077,1.0
630284,1.0
631582,1.0
632622,1.0
633924,1.0
635207,1.0
636232,1.0
637353,1.0
638399,1.0
639569,1.0
640761,1.0
642085,1.0
643219,1.0
644575,1.0
645743,1.0
646942,1.0
647997,1.0
649093,1.0
650592,1.0
651774,1.0
652886,1.0
654022,1.0
655316,1.0
656429,1.0
657592,1.0
659305,0.99
660430,1.0
661397,1.0
662595,1.0
663757,1.0
664743,1.0
665969,1.0
667072,1.0
668457,1.0
670123,0.99
671135,1.0
672168,1.0
673499,1.0
674709,1.0
677216,0.97
678461,1.0
679539,1.0
680606,1.0
681739,1.0
682962,1.0
684193,1.0
685167,1.0
686356,1.0
687545,1.0
688604,1.0
689724,1.0
690846,1.0
692090,1.0
693361,1.0
694604,1.0
695687,1.0
696798,1.0
697929,1.0
699103,1.0
700220,1.0
701627,1.0
702663,1.0
703729,1.0
704872,1.0
706023,1.0
707117,1.0
708259,1.0
709432,1.0
710455,1.0
711552,1.0
712639,1.0
713830,1.0
714898,1.0
716068,1.0
717301,1.0
718514,1.0
719748,1.0
720833,1.0
721980,1.0
723084,1.0
724159,1.0
725202,1.0
726270,1.0
727495,1.0
728570,1.0
729713,1.0
733161,0.95
734315,1.0
735401,1.0
736495,1.0
737687,1.0
738839,1.0
739945,1.0
740943,1.0
742188,1.0
743350,1.0
744408,1.0
745561,1.0
746767,1.0
748021,1.0
749276,1.0
750464,1.0
751674,1.0
752945,1.0
754031,1.0
755242,1.0
756496,1.0
758045,1.0
759216,1.0
760424,1.0
761706,1.0
762773,1.0
763966,1.0
765196,1.0
766189,1.0
767313,1.0
768410,1.0
769506,1.0
770695,1.0
771939,1.0
772995,1.0
774134,1.0
775229,1.0
776327,1.0
777559,1.0
778670,1.0
780842,0.98
781963,1.0
783220,1.0
784253,1.0
785485,1.0
786647,1.0
787765,1.0
788867,1.0
790081,1.0
791390,1.0
792567,1.0
793750,1.0
794875,1.0
795895,1.0
796942,1.0
798009,1.0
799584,0.99
800864,1.0
802081,1.0
