steps,reward,lenght
0,0,0
74,1.9996345960591064,74
574,-86.78339193006848,500
646,1.7935645182433593,72
1146,-117.61683357015782,500
1211,1.0710233611184758,65
1711,-150.855152887551,500
2211,-207.81927318917067,500
2711,-209.20106978857171,500
3211,-208.61461292043572,500
3212,10.0,1
3213,10.0,1
3214,10.0,1
3714,-216.37723398219265,500
4214,-210.49463235930054,500
4714,-209.41682797535674,500
4715,10.0,1
5215,-212.4435630012789,500
5715,-207.11321296720794,500
6215,-265.08714784399365,500
6268,-7.232382552995073,53
6269,10.0,1
6769,-239.78559824683637,500
7269,-245.70670784924246,500
7276,9.194906974904704,7
7776,-253.9166911438085,500
8276,-214.05654279371473,500
8776,-210.09633043412646,500
9276,-193.17066580146496,500
9776,-212.02382792256566,500
10276,-206.60298268474727,500
10776,-209.8434984948245,500
11276,-210.85321401985743,500
11776,-210.08785718847773,500
12276,-206.39068850946242,500
12776,-211.8460492605591,500
12777,10.0,1
13277,-210.62049039681762,500
13777,-230.40738634094996,500
14277,-211.6798794077024,500
14278,10.0,1
14778,-206.07582970965922,500
15278,-212.11199421537444,500
15778,-214.72880230149536,500
16278,-209.79588584023386,500
16778,-211.12720842316713,500
17278,-209.1002701154608,500
17778,-190.73909270184532,500
18278,-209.89396767365082,500
18279,10.0,1
18280,10.0,1
18780,-206.25265306773352,500
19280,-210.64021243036052,500
19780,-210.29335226314197,500
19782,9.904221768543888,2
20282,-203.11552043994354,500
20283,10.0,1
20783,-204.46353403631082,500
21283,-245.8474518370258,500
21783,-249.65457638850867,500
22283,-212.69570712130428,500
22783,-187.18279573650972,500
22784,9.94217532953463,1
23284,-102.76458732709796,500
23784,-212.22086278570424,500
24284,-190.37514174741133,500
24285,10.0,1
24785,-198.6560806097496,500
25285,-204.1709605059985,500
25785,-156.77360787051373,500
26285,-180.8339106700191,500
26785,-64.7565939833793,500
27285,-105.43247417267882,500
27785,-93.87048346085255,500
28285,-97.39457392543926,500
28428,-48.55596968243591,143
28928,-223.56668246177028,500
29428,-47.06834968521731,500
29430,9.930839974444707,2
29431,10.0,1
29931,-74.7602929283268,500
30169,-14.026993930203442,238
30188,8.210029820363381,19
30688,-85.23645722056101,500
30718,6.313796620403107,30
31218,-193.7953345512733,500
31718,-91.2227495371815,500
31719,10.0,1
31743,7.9638485047614616,24
32243,-97.08173016881885,500
32743,-84.14741039101563,500
33243,-58.244444641569025,500
33244,10.0,1
33258,9.208483714132543,14
33758,-165.54093469215317,500
33759,10.0,1
34259,-122.61376741025566,500
34260,9.992048176144747,1
34760,-86.61926055722411,500
35260,-127.00667356601487,500
35760,-76.56209071460064,500
36260,-123.6413183947768,500
36760,-64.90463991669496,500
37260,-66.52786155078041,500
37760,-91.59154488439279,500
38260,-59.17716990575104,500
38760,-147.52493146616484,500
38852,-7.1807735423356736,92
39352,-238.6910913508664,500
39852,-164.09050318542725,500
40352,-160.33220098943332,500
40852,-97.85631540830659,500
41352,-83.62974945880849,500
41604,-4.675633348711665,252
42104,-22.967824614781694,500
42604,-69.52062317258827,500
42615,9.122442780740963,11
43115,-90.49388753438687,500
43138,8.336580740202082,23
43638,-59.22089501483077,500
43656,9.409755625026275,18
43657,10.0,1
43658,10.0,1
44158,-86.92858710374847,500
44658,-118.56700456695599,500
45158,-95.84966871903688,500
45159,10.0,1
45659,-17.898304733311377,500
46159,-164.87342178561508,500
46168,8.517237193323467,9
46169,10.0,1
46200,5.577087180081035,31
46700,-60.43668355773031,500
47200,-117.38037104963006,500
47700,-63.8466074402538,500
48200,-61.51149570805737,500
48700,-150.58503266424344,500
49200,-35.3244009628919,500
49201,10.0,1
49202,10.0,1
49702,-29.786733210386753,500
49703,10.0,1
50203,-49.12647690337768,500
50703,-206.6800433622476,500
51203,-43.354777803036555,500
51339,2.1283246741381463,136
51372,7.799204554166096,33
