steps,rate_target_reached
7082,0.34
7416,0.29
7640,0.29
7684,0.3
7722,0.27
7745,0.26
7781,0.26
7867,0.27
7934,0.26
7976,0.24
8083,0.22
8195,0.24
8221,0.21
8298,0.24
15010,0.34
15217,0.32
15290,0.32
15282,0.27
15605,0.3
15611,0.25
15719,0.28
15777,0.29
15877,0.32
15933,0.28
16099,0.19
16190,0.27
16384,0.18
17109,0.13
22833,0.34
22953,0.32
23253,0.3
23736,0.22
23724,0.18
23786,0.27
23795,0.27
23800,0.25
23804,0.31
23869,0.26
24250,0.19
24514,0.24
24630,0.2
24817,0.3
30542,0.28
30656,0.31
30833,0.26
31347,0.3
31409,0.28
31318,0.33
31687,0.28
31714,0.28
31828,0.26
31869,0.27
32362,0.29
32704,0.23
32870,0.23
32874,0.22
37867,0.37
38235,0.33
38572,0.29
39020,0.32
39135,0.35
39530,0.3
39836,0.22
39852,0.35
39803,0.19
39870,0.24
40120,0.23
40155,0.25
40530,0.29
41021,0.24
45593,0.3
46030,0.34
46542,0.23
46594,0.33
46432,0.44
46791,0.41
46931,0.32
46965,0.36
47590,0.34
47627,0.3
47881,0.27
48101,0.23
48569,0.3
49084,0.22
53038,0.32
53241,0.43
54249,0.3
54273,0.22
54523,0.26
54737,0.28
55097,0.23
55132,0.25
55227,0.29
55881,0.28
55953,0.21
55840,0.28
56144,0.33
57583,0.23
60524,0.33
60992,0.31
61585,0.35
61921,0.33
62093,0.31
62552,0.34
62893,0.31
63256,0.26
63353,0.33
63347,0.19
63766,0.28
64135,0.25
64740,0.17
66367,0.2
68320,0.34
68691,0.24
69447,0.28
69696,0.29
69846,0.33
70080,0.35
70342,0.33
70463,0.31
70664,0.18
71167,0.33
71623,0.27
72310,0.3
72487,0.23
74368,0.27
76610,0.22
76995,0.24
77013,0.35
77697,0.25
78179,0.23
78298,0.23
78354,0.26
78426,0.33
78592,0.3
78592,0.24
79489,0.29
80196,0.3
80548,0.24
82276,0.26
84533,0.31
84621,0.32
84605,0.26
85860,0.32
85659,0.26
85977,0.3
85970,0.31
86147,0.32
86384,0.23
86406,0.28
87235,0.31
88170,0.26
89173,0.2
90023,0.32
92005,0.3
92871,0.24
92555,0.27
93050,0.39
93111,0.4
93642,0.29
94070,0.33
94116,0.25
93946,0.25
94309,0.3
94308,0.36
95695,0.32
96553,0.36
97780,0.33
99138,0.35
99683,0.41
99915,0.33
100374,0.35
100821,0.31
101027,0.39
101254,0.33
101667,0.27
101676,0.32
102193,0.26
102242,0.26
103337,0.29
104643,0.28
105365,0.35
106481,0.42
106788,0.38
107471,0.25
107979,0.39
108203,0.35
108280,0.3
108559,0.43
108779,0.31
109506,0.29
109380,0.33
110071,0.29
110213,0.38
112470,0.27
112886,0.43
112939,0.31
113121,0.45
114104,0.42
114578,0.46
114630,0.42
114994,0.39
115757,0.4
116368,0.27
116629,0.36
117157,0.39
117365,0.35
117183,0.26
119266,0.37
119934,0.38
119681,0.41
120696,0.45
120283,0.35
121285,0.41
121396,0.38
121909,0.4
122462,0.41
122976,0.45
123628,0.34
123762,0.41
124102,0.37
124547,0.33
126194,0.44
126814,0.39
126864,0.33
127145,0.43
127040,0.42
127970,0.42
128375,0.38
128859,0.37
129513,0.45
129220,0.4
129967,0.44
130272,0.43
130390,0.45
130795,0.44
131837,0.51
132445,0.52
132826,0.49
133300,0.43
133476,0.45
134593,0.42
134982,0.45
135081,0.39
135651,0.56
135679,0.5
135789,0.41
136316,0.48
135922,0.38
137825,0.57
137341,0.41
137684,0.47
138901,0.4
139055,0.5
139808,0.45
140794,0.46
141226,0.4
141226,0.53
141524,0.47
141613,0.4
141984,0.47
142522,0.4
142531,0.43
142854,0.51
142937,0.52
143900,0.46
145421,0.4
145433,0.49
146110,0.35
146888,0.47
146950,0.49
146977,0.52
147218,0.49
147295,0.51
148394,0.43
148579,0.45
148525,0.44
148773,0.48
149764,0.47
149964,0.34
150520,0.56
151043,0.5
151776,0.49
152511,0.51
152666,0.53
153222,0.44
153267,0.42
153371,0.6
153795,0.45
154597,0.46
154548,0.5
154629,0.46
155826,0.46
155697,0.62
156295,0.51
156569,0.41
157402,0.51
157601,0.54
158443,0.54
158456,0.55
158897,0.44
159574,0.49
160051,0.38
160544,0.46
160489,0.51
160575,0.46
162012,0.44
161526,0.47
162403,0.57
162481,0.59
163231,0.37
162745,0.46
163804,0.53
164914,0.48
164925,0.41
165680,0.51
165951,0.42
165625,0.56
166655,0.45
166348,0.5
167273,0.54
167751,0.52
167477,0.47
168342,0.47
168895,0.51
168500,0.5
169900,0.44
170547,0.5
170795,0.48
171328,0.49
172137,0.51
172372,0.4
171898,0.43
171939,0.51
173175,0.46
172812,0.51
174012,0.44
174238,0.51
173902,0.54
174670,0.45
175240,0.54
176127,0.54
176886,0.5
177087,0.4
177222,0.53
178073,0.51
177582,0.52
178351,0.45
178841,0.5
178368,0.63
179309,0.54
178772,0.48
179884,0.61
180202,0.47
180487,0.51
181791,0.5
182712,0.47
182135,0.58
183078,0.46
183517,0.56
184065,0.53
183410,0.5
183623,0.58
183747,0.52
184461,0.42
184937,0.51
185078,0.55
185982,0.51
186924,0.43
187153,0.51
188074,0.53
187574,0.52
188282,0.54
188606,0.56
189375,0.53
189610,0.44
188995,0.56
189267,0.52
190067,0.52
190257,0.53
190921,0.48
191089,0.54
192444,0.53
192543,0.52
193476,0.55
193611,0.55
193010,0.63
193290,0.49
194134,0.58
193374,0.63
194351,0.56
195272,0.54
195206,0.51
195374,0.54
196461,0.52
196573,0.5
197152,0.6
198056,0.61
198153,0.49
197733,0.59
198779,0.54
199099,0.55
199508,0.64
198975,0.51
199140,0.48
199791,0.51
200554,0.51
200740,0.53
202164,0.49
202831,0.42
203011,0.56
203055,0.45
203318,0.54
202894,0.55
204409,0.55
203606,0.6
203832,0.57
205199,0.49
205086,0.43
205111,0.65
205527,0.56
204931,0.54
207415,0.54
207740,0.61
208200,0.52
208627,0.51
208084,0.58
208950,0.61
208660,0.55
208849,0.57
209594,0.4
210168,0.56
210169,0.56
210320,0.58
210548,0.53
211023,0.45
212648,0.53
213068,0.55
213181,0.67
213452,0.53
214052,0.51
214231,0.59
213650,0.49
214810,0.63
213996,0.53
214980,0.58
214610,0.49
215372,0.53
215516,0.54
216836,0.69
216359,0.52
217852,0.61
218004,0.64
218727,0.61
218658,0.46
219093,0.66
219412,0.53
218660,0.59
218737,0.56
218890,0.65
219938,0.6
220507,0.55
220682,0.48
221665,0.57
221013,0.61
222312,0.61
222616,0.66
223415,0.53
223802,0.55
223220,0.59
223998,0.57
224157,0.65
224560,0.55
224100,0.51
225160,0.59
224869,0.46
226125,0.52
226875,0.54
227220,0.56
226530,0.51
227608,0.56
228345,0.64
228556,0.55
229047,0.54
228278,0.56
229777,0.48
229970,0.51
229828,0.49
231231,0.54
231407,0.42
230976,0.44
231984,0.58
232362,0.52
232409,0.57
231793,0.53
232961,0.6
233557,0.55
233906,0.56
234182,0.63
234712,0.58
234378,0.45
234614,0.58
235793,0.6
235272,0.65
236483,0.55
236840,0.61
236340,0.61
237432,0.56
237843,0.48
237936,0.68
238240,0.62
238725,0.5
238823,0.53
239227,0.61
239299,0.57
239948,0.6
240933,0.54
240245,0.51
241266,0.68
241387,0.61
241566,0.55
240839,0.61
242717,0.57
243163,0.53
243412,0.52
244153,0.53
244258,0.52
244463,0.54
244539,0.54
244911,0.59
246558,0.48
246454,0.54
246473,0.57
246633,0.54
245806,0.47
246904,0.69
247137,0.61
246324,0.51
247989,0.61
248951,0.61
248964,0.59
249856,0.49
249317,0.58
249503,0.6
250569,0.65
250594,0.63
250831,0.63
251425,0.63
250707,0.57
251708,0.55
251330,0.56
252574,0.6
252874,0.45
252978,0.65
252974,0.69
253886,0.57
254813,0.65
255103,0.53
255180,0.59
254440,0.58
256047,0.62
256006,0.54
256454,0.55
256987,0.65
256280,0.57
256502,0.47
257592,0.55
257882,0.56
258588,0.59
258074,0.54
259726,0.56
259677,0.6
260050,0.56
260293,0.63
261098,0.55
261194,0.65
260444,0.45
262137,0.49
262336,0.61
261515,0.52
261997,0.66
263388,0.48
262393,0.45
263746,0.54
264528,0.63
264723,0.55
264846,0.55
265160,0.54
265577,0.63
265795,0.61
265553,0.55
266621,0.64
266217,0.58
267279,0.56
266403,0.61
267623,0.63
266606,0.64
268612,0.58
269005,0.62
269187,0.59
269644,0.65
270104,0.63
270216,0.55
270542,0.49
270186,0.59
271350,0.65
270335,0.66
271524,0.67
271642,0.56
271306,0.57
271312,0.58
273025,0.65
273130,0.66
273787,0.53
274401,0.64
274513,0.58
274982,0.57
274501,0.63
275600,0.55
275924,0.63
275229,0.56
276561,0.56
275902,0.59
