steps,rate_target_reached
4257,0.81
6914,0.96
9433,0.99
12360,0.95
15246,0.97
18180,0.96
21108,0.99
23771,0.98
26691,0.95
29651,0.96
32501,0.98
35362,0.98
37898,0.99
40825,0.97
43480,0.98
46255,0.96
49223,0.98
51937,0.99
54653,0.98
57880,0.95
60896,0.97
63662,0.97
66591,0.98
69962,0.97
72675,0.97
76037,0.94
78931,0.98
81767,1.0
84372,1.0
87717,0.94
90466,0.97
93059,0.98
96181,0.97
98990,0.98
101530,0.99
104400,0.99
107396,0.98
110191,0.98
112655,1.0
114979,1.0
117640,0.99
120879,0.98
123327,1.0
125819,1.0
128807,0.96
131344,1.0
134015,0.98
136902,0.95
139684,1.0
142281,1.0
145062,0.99
147575,0.99
150368,0.98
153017,0.97
155487,0.99
158122,1.0
160584,0.98
163301,0.98
166287,1.0
169147,0.98
171844,1.0
174652,0.97
177164,0.99
179903,0.99
182610,0.99
185076,0.98
187647,0.99
190359,0.98
193202,0.99
195807,1.0
198454,0.97
201126,0.98
203501,1.0
205972,1.0
208596,0.99
211607,0.97
214221,0.99
216959,0.98
219728,0.97
222618,0.99
225135,0.98
227735,0.97
230104,1.0
232672,0.99
235447,0.98
238129,1.0
240795,0.99
243549,0.98
246344,1.0
249087,0.99
251787,0.99
254638,0.99
257296,0.97
259967,0.99
262616,0.98
265653,0.92
268180,0.99
270446,1.0
273004,0.98
275595,1.0
277986,1.0
280380,0.96
283152,0.98
285919,1.0
288614,0.98
291065,1.0
293951,0.99
296561,1.0
299123,1.0
301877,0.98
304748,0.98
307627,0.96
310636,0.97
313150,0.98
315919,0.99
318777,0.99
321549,0.98
324381,0.96
327118,0.95
329575,0.99
332579,0.99
335086,1.0
337816,0.99
340610,1.0
342962,1.0
345407,1.0
348168,0.99
350688,1.0
353235,1.0
355768,1.0
358492,0.99
361751,0.98
364715,0.97
367082,0.99
369602,0.99
372311,1.0
375030,0.95
377848,1.0
380711,0.96
383890,0.95
386307,1.0
389199,0.95
391642,0.98
394470,0.96
397403,0.99
400215,0.97
402772,1.0
405012,1.0
407781,0.97
410920,0.96
413699,0.99
416166,1.0
418938,0.98
421675,0.99
424392,0.99
427128,0.98
429857,0.97
432649,1.0
435916,0.95
438076,1.0
440569,1.0
443005,1.0
445571,1.0
447947,0.99
450748,1.0
453445,0.99
456019,0.98
458897,0.99
461740,1.0
464641,0.98
467399,1.0
470138,0.99
472646,0.98
475053,1.0
477302,0.99
479743,1.0
482291,0.99
484852,1.0
487364,0.98
490253,0.96
492758,1.0
495282,1.0
498498,0.93
500874,0.99
503504,1.0
505822,1.0
508240,0.99
510749,0.99
513476,1.0
516381,1.0
519173,1.0
521716,1.0
524362,1.0
527033,1.0
529464,0.99
532119,0.98
534749,0.98
