steps,reward,lenght
0,0,0
83,7.821354138677167,83
183,-6.555331816365919,100
283,-6.501498233029083,100
383,-7.270343299389451,100
391,9.85354067464604,8
405,9.689055160716268,14
505,-3.368257053410554,100
605,-6.689406941204547,100
705,-2.9518861044118174,100
805,7.489720408642759,100
806,10.0,1
850,9.075043403876682,44
950,-3.2185252934149573,100
951,10.0,1
1000,8.927520767798853,49
1017,9.615959294628746,17
1020,9.950362819040617,3
1021,10.0,1
1121,-4.819107359010151,100
1128,9.892591579018907,7
1134,9.90998124929867,6
1234,-3.209563416310257,100
1310,8.097660619179695,76
1354,9.027175762620072,44
1393,8.335853130559055,39
1394,10.0,1
1414,9.618912981909054,20
1458,9.039883910205576,44
1528,8.425250101338271,70
1550,9.474999063861386,22
1556,9.931194694406594,6
1571,9.712232966313989,15
1614,8.869583024257116,43
1659,8.995300762299491,45
1713,8.49910364012813,54
1729,9.696913026553084,16
1754,9.414320837003142,25
1797,8.85575706911479,43
1819,9.599172181066951,22
1835,9.705457801152948,16
1859,9.545554151634779,24
1886,9.395681538253019,27
1916,9.356698341306986,30
1917,10.0,1
1949,9.27697584511849,32
1958,9.84246872858285,9
2018,8.275326478105692,60
2046,9.322186934423984,28
2069,9.501267776441308,23
2091,9.384826508468931,22
2101,9.818957379062324,10
2143,8.797939173950883,42
2150,9.88781972013912,7
2250,-3.9206049977760635,100
2270,9.595871084560281,20
2294,9.438107709450136,24
2313,9.64121603935994,19
2320,9.900545723362011,7
2420,-4.022472662104826,100
2421,10.0,1
2447,9.408128243311452,26
2456,9.831738814483007,9
2499,8.793125105027066,43
2524,9.406395628355138,25
2617,7.235375573725846,93
2635,9.590314178164993,18
2681,8.586062624142485,46
2707,9.374333149823327,26
2807,-6.763635847417211,100
2907,-5.921852796204934,100
2939,9.373614381494841,32
2965,9.447394487209143,26
3002,9.022621903509563,37
3019,9.618850458283012,17
3059,8.882056579052145,40
3114,8.530545478251236,55
3121,9.895876411363496,7
3132,9.785258916940746,11
3142,9.81596174129065,10
3166,9.490493142672555,24
3178,9.810195732720976,12
3197,9.540927869226945,19
3237,8.943845043191393,40
3289,8.641897625292357,52
3389,-7.061829352781484,100
3420,9.194454952381868,31
3520,-2.9967556469764944,100
3535,9.758868774500973,15
3555,9.583896534465676,20
3599,8.8687732385633,44
3672,8.204993878355946,73
3686,9.759648287370238,14
3720,9.173642131876633,34
3736,9.67682319470108,16
3773,9.049080978302904,37
3789,9.69380165593125,16
3889,-2.893880657149447,100
3927,9.165233379172994,38
3965,8.935786158134814,38
3982,9.687835462846598,17
3985,9.964922420962854,3
3986,10.0,1
4005,9.611484139447713,19
4019,9.749195442612427,14
4052,9.085234044930337,33
4091,9.052649992234016,39
4136,9.058272714658528,45
4173,9.107063729996678,37
4190,9.663092806800533,17
4226,9.110872615069267,36
4239,9.746212085270978,13
4265,9.33782841497356,26
4365,-2.734892362994614,100
4426,8.138932195974636,61
4443,9.632985076374242,17
4463,9.589251586542062,20
4503,8.929499886294323,40
4510,9.889876306842485,7
4519,9.885032440328013,9
4569,8.606132560422134,50
4669,-2.940359973866853,100
4712,8.908688114490547,43
4752,9.042627475810509,40
4816,8.450577650230516,64
4834,9.637493223087086,18
4851,9.678881091160466,17
4861,9.793538679600818,10
4961,-4.478766372398279,100
4987,9.382170219099491,26
5087,-3.0861817726081195,100
5106,9.64664980728675,19
5139,9.128059125592936,33
5147,9.855867241107871,8
5247,-2.7827837399308946,100
5347,-6.538974415646948,100
5367,9.543204773990235,20
5384,9.663642047516113,17
5408,9.516162810435347,24
5443,9.136352187341528,35
5462,9.598175814886805,19
5562,-5.017014964148314,100
5563,10.0,1
5576,9.733453296510374,13
5632,8.743265970534116,56
5650,9.703964761186272,18
5750,-6.346262437406808,100
5850,-3.9476310191563173,100
5930,7.323784958364339,80
5971,8.97976495127757,41
5972,10.0,1
5981,9.845155457749016,9
5996,9.690765534295288,15
6036,9.07536820101802,40
6040,9.933447584053349,4
6041,10.0,1
6089,8.694490295275095,48
6137,8.807686056567032,48
6138,10.0,1
6147,9.886768038772887,9
6159,9.777619524211335,12
6177,9.606463662388025,18
6199,9.547981777910007,22
6221,9.505514921233129,22
6262,9.131807677462916,41
6277,9.670178779608866,15
6285,9.875501231700355,8
6361,7.7735419759724715,76
6388,9.3356173410469,27
6405,9.675009329870516,17
6505,-3.4067582718447236,100
6511,9.918349983905644,6
6538,9.35541072260881,27
6550,9.777762673176479,12
6580,9.329528330958746,30
6585,9.93453583886874,5
6611,9.415615510642937,26
6711,-5.887871029995472,100
6737,9.409202801972505,26
6837,-3.224788941357278,100
6887,8.588675902092984,50
6914,9.411088330665775,27
6942,9.291226215584832,28
6994,8.603034865261032,52
7021,9.422727164527332,27
7052,9.20741778132772,31
7092,8.977894015818935,40
7138,8.849866229832244,46
7162,9.549073499522946,24
7188,9.418196498617837,26
7267,7.671454724300675,79
7269,9.979180883679339,2
7283,9.738817209823935,14
7336,8.491192935087549,53
7370,9.189339031429775,34
7377,9.89562679997039,7
7418,9.01896200633861,41
7460,8.831661771179935,42
7474,9.705411126517292,14
7478,9.957630795578611,4
7491,9.758242101781294,13
7510,9.580474998946093,19
7512,9.981318428070294,2
7513,10.0,1
7519,9.921058223838093,6
7530,9.79765853869567,11
7545,9.703652716682651,15
7553,9.886834090534819,8
7600,8.81080529879599,47
7700,-4.932313984920998,100
7711,9.851729880344603,11
7729,9.598417591338983,18
7742,9.76470337356626,13
7747,9.934110648755317,5
7831,7.85730120870478,84
7931,-6.728033757042059,100
8031,-4.420866325646944,100
8041,9.658441572325886,10
8093,8.558315633445922,52
8103,9.819873934615115,10
8156,8.60523212660829,53
8174,9.616772883484252,18
8206,9.22125855615793,32
8229,9.386667547973095,23
8252,9.48791918188989,23
8268,9.698453368944161,16
8285,9.628823640075902,17
8313,9.358590112389887,28
8370,8.397194765113936,57
8401,9.270328171985405,31
8427,9.43981487688806,26
8448,9.577926079043886,21
8462,9.748728520124718,14
8463,10.0,1
8484,9.487010034947472,21
8519,9.163681519349211,35
8534,9.676889316537567,15
8550,9.672019469355213,16
8621,7.935780381589412,71
8631,9.812150987941086,10
8667,9.214123023119607,36
8702,9.187861730935746,35
8731,9.262017128881162,29
8750,9.60412339806901,19
8771,9.503649904327576,21
8772,10.0,1
8788,9.697044124654235,16
8846,8.594944564709671,58
8852,9.921821456017204,6
8883,9.174965716752986,31
8886,9.965279756523508,3
8899,9.754426207699234,13
8902,9.96784488888061,3
8936,9.179913212023258,34
8949,9.722341307772275,13
8959,9.845153817791415,10
9000,8.971361100948585,41
9009,9.841269912287032,9
9047,8.963646808586276,38
9077,9.211419212226543,30
9083,9.917119210920372,6
9144,8.384117839188859,61
9158,9.67049906580886,14
9258,-3.1671057703567373,100
9285,9.338284596561067,27
9316,9.317828175462884,31
9325,9.863460049303633,9
9334,9.867665010495852,9
9372,9.059673103051189,38
9386,9.706660240467057,14
9424,9.022916984699869,38
9430,9.916901502079842,6
9479,8.717838806355552,49
9480,10.0,1
9484,9.960330295603402,4
9549,8.093362863452448,65
9603,8.61923414908268,54
9607,9.950041788005393,4
9616,9.848182692714637,9
9673,8.738066710583483,57
9684,9.814793414009115,11
9700,9.662080040806428,16
9703,9.964769464863439,3
9706,9.966172738548714,3
9720,9.73299324911214,14
9820,-5.640670794656474,100
9832,9.788431824789457,12
9833,10.0,1
9834,9.99090616609218,1
9849,9.707933227881247,15
9949,-6.09974870620913,100
9987,9.050270415207503,38
9998,9.8359568520588,11
10016,9.639181473300711,18
10030,9.763065810659013,14
10049,9.635380255215875,19
10071,9.461627393658825,22
10080,9.863534552715224,9
10093,9.787532003726973,13
10157,8.269655858440938,64
10172,9.753992356877962,15
10218,8.79774990762159,46
10251,9.197037182649272,33
10266,9.636495756481503,15
10289,9.4833061830021,23
10339,8.726945526761968,50
10422,7.503950882957186,83
10436,9.721703466611606,14
10505,8.300336265105479,69
10552,8.709046659416662,47
10600,8.710617225280702,48
10601,10.0,1
10607,9.917639684478237,6
10620,9.755807241101218,13
10621,10.0,1
10666,8.869886747547792,45
10709,8.984603349907156,43
10735,9.456804958411862,26
10794,8.53522683300757,59
10824,9.320244392884131,30
10825,10.0,1
10919,7.457122416381712,94
10958,9.169769150123582,39
11015,8.51472867219286,57
11027,9.805715083134572,12
11098,8.059331284843754,71
11171,8.134371193288134,73
11239,8.289183724098997,68
11274,9.241870722862124,35
11354,7.899738772795962,80
11360,9.921230168995827,6
11404,8.7757643237648,44
11416,9.809638968702991,12
11456,8.939181573301976,40
11556,-6.516719664205081,100
11656,-6.9375763956323695,100
11680,9.402932988973626,24
11713,9.147061014374572,33
11813,-3.681445288807859,100
11825,9.780850609375394,12
11873,8.770636891800828,48
11966,7.446779609821489,93
11968,9.98892316553678,2
11985,9.647183579801553,17
12043,8.412161032791053,58
12065,9.49413663929554,22
12070,9.934206299911226,5
12084,9.772499738130808,14
12114,9.273565496251114,30
12154,8.943695145735232,40
12168,9.729103608030663,14
12176,9.885287689004205,8
12207,9.169363699765562,31
12220,9.714806030894191,13
12244,9.464230226526373,24
12289,8.7411640707323,45
12306,9.725998292466908,17
12316,9.840422126254824,10
12317,10.0,1
12345,9.33195498721481,28
12362,9.635457894504754,17
12377,9.796027735973176,15
12420,8.779792837253641,43
12438,9.670431519238122,18
12447,9.85942693938317,9
12473,9.457526471612125,26
12511,9.169931731030852,38
12544,9.133511217922383,33
12588,8.795090194826857,44
12595,9.901802072228142,7
12633,8.995670851627839,38
12656,9.418413100602622,23
12687,9.191171514577308,31
12716,9.377815580232157,29
12717,9.996971942953108,1
12748,9.209016200032824,31
12766,9.600193802660751,18
12796,9.263903503166816,30
12829,9.230871627899853,33
12881,8.686038547368158,52
12927,8.796370812039648,46
12944,9.66398545268526,17
12955,9.805879596328525,11
12963,9.882658561742831,8
12972,9.825040286712357,9
13048,7.857903895650907,76
13060,9.768430220040171,12
13118,8.306056072873085,58
13175,8.58038530429939,57
13193,9.659335675188675,18
13220,9.411048873768383,27
13224,9.940433130196132,4
13225,10.0,1
13268,8.789053952314607,43
13281,9.734717517622352,13
13301,9.51231426469166,20
13331,9.23604886674073,30
13354,9.47086973033288,23
13373,9.55998765373466,19
13401,9.310300129846468,28
13419,9.60344080858537,18
13457,9.07743720088951,38
13461,9.9556285775902,4
13475,9.727394718005954,14
13532,8.384707150256853,57
13552,9.587494738476801,20
13601,8.683415430856595,49
13637,9.255819629007531,36
13677,8.866539999967843,40
13694,9.570888262044484,17
13700,9.918488439373224,6
13734,9.211338728996665,34
13748,9.738943515188351,14
13781,9.088665679633335,33
13804,9.545261665883944,23
13861,8.466948972238669,57
13872,9.856796787940352,11
13898,9.365439065437403,26
13900,9.983969603544217,2
13910,9.81607213880328,10
13952,8.879783403493363,42
13965,9.76661176383724,13
13966,10.0,1
13984,9.608828708545389,18
13992,9.838998859372092,8
14092,-6.973802812928849,100
14111,9.608846388201126,19
14112,10.0,1
14136,9.471333786254572,24
14154,9.637803922959094,18
14160,9.915500440421706,6
14161,10.0,1
14167,9.90970678352412,6
14233,8.059356862328706,66
14333,-6.613573330777486,100
14433,-6.809190931482328,100
14446,9.737226162957212,13
14477,9.179752321422322,31
14511,8.781690618452528,34
14540,9.389092625608553,29
14597,8.3490889727028,57
14695,7.1954817544538585,98
14705,9.844245584853864,10
14722,9.654935501771789,17
14756,9.095997994652997,34
14763,9.898167938523297,7
14784,9.53710841983045,21
14828,8.763197425212008,44
14916,7.397437392990531,88
14984,8.151278229668828,68
15003,9.613737488339646,19
15012,9.861020176948752,9
15025,9.746331530159853,13
15035,9.792642560994663,10
15056,9.521840570173827,21
15110,8.542921695542496,54
15116,9.912450561113634,6
15148,9.15501965340152,32
15235,7.501539484926867,87
15335,-3.412752917108784,100
15337,9.976712441476455,2
15383,8.737279190509666,46
15399,9.676537945349597,16
15419,9.583351612783837,20
15462,8.908829379991253,43
15487,9.414829882225035,25
15515,9.384290429209383,28
15547,9.172781345584008,32
15578,9.226106769091535,31
15617,9.006744518060495,39
15673,8.399771038217208,56
15690,9.627340864792387,17
15733,8.76204745065526,43
15762,9.252988293020081,29
15796,9.324207879573354,34
15800,9.955903088551311,4
15809,9.876632346694604,9
15834,9.396438730849741,25
15885,8.030023655385586,51
15940,8.30093745677815,55
15945,9.9201266391611,5
15953,9.870744460108082,8
15988,9.145868505121282,35
16012,9.471487704989965,24
16021,9.80906213412897,9
16039,9.63539942318312,18
16078,8.99215420340489,39
16080,9.987288076579116,2
16098,9.635611535315729,18
16115,9.683621038630033,17
16215,-3.2996991539048524,100
16232,9.7134452910005,17
16289,8.423109258030896,57
16345,8.59077726413016,56
16365,9.633992846159291,20
16366,10.0,1
16377,9.8528523711432,11
16404,9.396927999885563,27
16416,9.800004736927756,12
16446,9.24583679350669,30
16453,9.875224659585024,7
16468,9.706839601424926,15
16549,7.667553175473802,81
16649,-3.109637315061849,100
16652,9.971314574513436,3
16676,9.4227348649204,24
16706,9.311273566251012,30
16719,9.76171674582599,13
16752,9.213456064439645,33
16834,7.842212512476298,82
16887,8.572012289732857,53
16893,9.892836273488044,6
16899,9.921458558255049,6
16902,9.962563125636144,3
16911,9.839909372351178,9
16954,8.791647640501083,43
16993,8.960822342179505,39
17006,9.746632060637326,13
17038,9.202493364588037,32
17044,9.896624656617682,6
17045,10.0,1
17079,9.220271382065048,34
17084,9.921737751661711,5
17108,9.625369706959667,24
17109,10.0,1
17110,10.0,1
