Wall time,Step,Value
1713800279.425679,768,10.0
1713800279.482532,3030,-6.158016681671143
1713800279.508165,4143,-7.542738914489746
1713800279.509872,4197,-6.263680458068848
1713800279.525774,4734,-5.803598403930664
1713800279.593003,8055,-7.175234794616699
1713800279.612205,9054,-6.112229824066162
1713800279.62427,9804,-7.24834680557251
1713800279.626257,9915,-7.329082012176514
1713800279.639703,10767,9.994279861450195
1713800279.64334,10998,-8.3136568069458
1713800279.663392,12030,-7.108409881591797
1713800279.695022,13584,-8.263655662536621
1713800632.725131,16698,-6.252905368804932
1713800632.825278,20505,-7.6916399002075195
1713800632.826487,20547,-6.208847999572754
1713800632.841064,21156,-8.3620023727417
1713800632.843183,21234,-9.322771072387695
1713800632.856275,21735,-7.91933012008667
1713800632.980804,24705,-6.381134033203125
1713800632.995234,25209,-5.930689811706543
1713800632.996215,25245,-5.516215801239014
1713800993.030191,26928,-4.950857162475586
1713800993.041541,27381,9.996676445007324
1713800993.073067,28713,-5.325882434844971
1713800993.116399,30822,-6.565191745758057
1713800993.146174,32343,-7.622905254364014
1713800993.168175,33318,-5.248556137084961
1713800993.246339,34524,-5.714940071105957
1713800993.246604,34539,-4.561183929443359
1713800993.249939,34650,-6.376532554626465
1713801353.134956,36972,-5.134877681732178
1713801353.260575,41259,-4.885866165161133
1713801353.347393,44835,-8.680031776428223
1713801713.209402,45066,10.0
1713801713.271579,45882,10.0
1713801713.419742,51852,-6.157864093780518
1713801713.420437,51876,9.830129623413086
1713801713.438361,53142,-5.775592803955078
1713802073.37178,55569,-8.457045555114746
1713802073.404861,57939,-3.9002020359039307
1713802073.408011,58125,-5.5737385749816895
1713802073.466418,62289,10.0
1713802433.644583,72414,-3.6500301361083984
1713802784.290697,65448,-4.411628723144531
1713802784.329014,68265,-6.691776752471924
1713802784.334969,69000,-1.70993173122406
1713803137.269242,73830,-5.334128379821777
1713803137.299518,77370,-6.200713634490967
1713803497.475166,83283,-7.37137508392334
1713803497.519633,88830,9.930571556091309
1713803857.80491,96417,-8.22704792022705
1713803857.809777,96780,-6.467801094055176
