steps,rate_target_reached
8953,0.11
18207,0.09
27251,0.13
35941,0.16
44377,0.22
53149,0.17
62506,0.09
71462,0.15
79994,0.21
88738,0.17
97045,0.2
105511,0.19
114245,0.19
122598,0.23
130600,0.26
139546,0.16
147446,0.29
156069,0.2
163402,0.37
170911,0.33
177960,0.38
184310,0.45
190016,0.52
196143,0.5
202189,0.56
207887,0.55
214123,0.47
220453,0.5
225832,0.57
231294,0.58
237123,0.53
242355,0.61
246941,0.7
252469,0.57
257611,0.59
262331,0.67
266985,0.7
271269,0.74
275518,0.72
280728,0.61
285096,0.71
289367,0.67
293686,0.7
297961,0.77
302479,0.67
306597,0.75
311251,0.66
314796,0.78
318390,0.76
323433,0.66
327365,0.75
330928,0.81
334914,0.8
338128,0.85
342303,0.73
345504,0.84
349144,0.82
352775,0.82
356086,0.84
358996,0.88
361908,0.85
364638,0.88
367817,0.88
370085,0.96
373122,0.88
376648,0.84
379891,0.84
383461,0.83
386343,0.91
389289,0.91
392454,0.88
395644,0.87
398649,0.91
401513,0.92
404887,0.84
407822,0.89
410394,0.96
413472,0.88
416698,0.86
419876,0.88
422742,0.92
425967,0.87
429051,0.89
431765,0.92
434489,0.92
437441,0.91
439728,0.96
442769,0.9
445694,0.91
448332,0.91
450886,0.94
453978,0.87
456681,0.89
458786,0.98
461328,0.94
464182,0.89
466597,0.94
468872,0.95
471758,0.94
474379,0.93
477537,0.83
480425,0.9
482987,0.94
485744,0.93
488553,0.94
491417,0.89
493845,0.96
496616,0.91
498724,0.97
500906,0.96
503171,0.95
505270,0.96
507528,0.96
509633,0.98
511957,0.95
514513,0.97
517225,0.93
520349,0.86
523215,0.92
525664,0.98
528300,0.96
530300,0.98
532979,0.93
535337,0.96
537933,0.95
539806,0.99
542454,0.96
545538,0.9
547713,0.97
550641,0.93
552544,0.98
555127,0.99
557468,0.93
559472,0.97
562350,0.94
564886,0.95
567476,0.95
570130,0.92
572742,0.96
575337,0.91
577633,0.97
579413,0.97
582005,0.96
584243,0.98
586451,0.97
588727,0.95
590997,0.95
592812,0.98
595349,0.94
597783,0.94
600095,0.96
602728,0.97
605259,0.99
607350,0.97
609739,0.95
611894,0.94
614541,0.93
616722,0.97
618815,0.97
621317,0.97
623700,0.93
625974,0.94
628155,0.98
630027,0.99
631841,1.0
