steps,rate_target_reached
1871,0.14
3487,0.15
4778,0.14
5789,0.09
6988,0.08
8076,0.15
9503,0.11
11386,0.13
12974,0.13
14792,0.15
16248,0.09
18068,0.09
19940,0.12
21884,0.11
23224,0.18
24283,0.07
24962,0.17
25678,0.12
26688,0.1
28034,0.15
28910,0.11
30232,0.11
33118,0.23
39676,0.16
45208,0.09
50158,0.16
54709,0.14
59456,0.09
62561,0.14
66728,0.12
70082,0.13
72705,0.19
75674,0.22
78768,0.13
81142,0.19
83969,0.14
87061,0.14
90541,0.09
93414,0.14
96491,0.09
98980,0.16
102674,0.13
105454,0.14
107805,0.14
109774,0.15
112145,0.16
115296,0.14
118949,0.2
121692,0.25
124556,0.26
126883,0.45
130245,0.5
132871,0.71
135969,0.72
138495,0.77
141616,0.76
143861,0.84
146815,0.82
149628,0.88
152483,0.91
154949,0.92
157047,0.89
159853,0.91
162306,0.91
165366,0.92
167972,0.93
170649,0.93
173540,0.9
176108,0.91
178671,0.92
181560,0.9
184226,0.91
187210,0.94
190107,0.94
192701,0.9
195511,0.94
198491,0.91
200622,0.93
203282,0.93
205789,0.93
208047,0.97
210346,0.98
212584,0.95
215063,0.92
217668,0.94
219879,0.97
222335,0.95
224680,0.94
226917,0.99
228986,0.96
231166,0.95
233213,0.95
235754,0.95
237924,0.97
240204,0.97
242516,0.96
244749,0.94
247155,0.95
249503,0.93
251631,0.98
253747,0.98
255719,0.96
258140,0.95
260214,0.97
262200,0.98
264047,0.99
266345,0.99
268475,0.95
270885,0.94
273366,0.93
275412,0.96
277188,0.99
279282,1.0
281348,0.99
283471,0.97
285194,0.99
287441,0.97
289367,0.95
291586,0.96
