Wall time,Step,Value
1715083227.330364,24,-2.1670939922332764
1715083227.330848,30,-2.015282154083252
1715083227.331184,33,-2.237285852432251
1715083227.331489,81,-2.2854251861572266
1715083227.3318,171,-3.0317580699920654
1715083227.332118,183,-2.7343533039093018
1715083227.332543,183,-2.04887318611145
1715083227.332855,216,-2.2162444591522217
1715083227.333221,222,-2.0042877197265625
1715083227.333523,234,-2.3149776458740234
1715083227.333839,240,-2.0
1715083227.334204,246,10.0
1715083227.334856,249,-2.1448235511779785
1715083227.335498,255,10.0
1715083227.336359,261,-2.0
1715083227.336691,291,-4.389045715332031
1715083227.336987,300,-2.257688283920288
1715083227.337295,306,10.0
1715083227.337632,351,-2.3299789428710938
1715083227.337937,360,-2.0272977352142334
1715083227.338286,411,-2.8492820262908936
1715083227.338636,417,-2.0067007541656494
1715083227.338963,441,-2.1355602741241455
1715083227.339275,447,8.553875923156738
1715083227.339605,459,-2.0353031158447266
1715083227.34001,465,-2.012913703918457
1715083227.340322,522,-2.674365997314453
1715083227.340627,561,-3.799267053604126
1715083227.34099,561,-2.2680752277374268
1715083227.341286,570,-2.0311450958251953
1715083227.341618,597,-2.1955959796905518
1715083227.341932,663,-2.895750045776367
1715083227.342376,684,-2.1116344928741455
1715083227.342683,723,-3.8810126781463623
1715083227.343015,738,-2.0709359645843506
1715083227.343313,747,-2.0358195304870605
1715083227.343619,792,-3.3174989223480225
1715083227.343918,798,-2.0061533451080322
1715083227.344236,801,-2.325026750564575
1715083227.344529,837,-2.2654080390930176
1715083227.344834,864,-2.415834903717041
1715083227.345165,963,-4.011225700378418
1715083227.345459,993,-2.195645809173584
1715083227.345766,1062,-3.11956524848938
1715083227.346074,1095,-4.329866886138916
1715083227.346398,1110,-2.988227367401123
1715083227.346696,1140,-2.3253860473632812
1715083227.347003,1149,9.973783493041992
1715083227.347353,1170,-2.418590545654297
1715083227.347651,1218,-2.2934648990631104
1715083227.347963,1233,-2.079434394836426
1715083227.348273,1233,-2.556837797164917
1715083227.348607,1239,-2.0
1715083227.348903,1278,-2.399573802947998
1715083227.349242,1296,-2.505204439163208
1715083227.349594,1314,-2.2641987800598145
1715083227.349924,1314,-2.1210155487060547
1715083227.350266,1320,-2.0
1715083227.350633,1320,10.0
1715083227.350967,1326,-4.349922180175781
1715083227.351294,1326,-2.0055453777313232
1715083227.351632,1335,-2.0459859371185303
1715083227.351954,1341,-2.0
1715083227.35231,1401,-2.428619623184204
1715083227.352633,1419,-2.683645248413086
1715083227.352979,1449,-2.3767287731170654
1715083227.35328,1455,-2.006639242172241
1715083227.353607,1455,-2.2746329307556152
1715083227.353952,1461,9.990772247314453
1715083227.354272,1473,-3.352334499359131
1715083227.354631,1542,9.665149688720703
1715083227.354967,1557,-2.8031179904937744
1715083227.35539,1563,-2.8866496086120605
1715083227.355747,1608,-2.3992481231689453
1715083227.356066,1650,-2.2274563312530518
1715083227.356362,1677,-3.07676362991333
1715083227.356661,1686,9.980637550354004
1715083227.356973,1722,-2.1853787899017334
1715083227.357306,1728,-2.0121054649353027
1715083227.357671,1770,-2.943438768386841
1715083227.358049,1779,-2.0430850982666016
1715083227.358415,1794,-2.566437005996704
1715083227.358708,1812,-2.220508098602295
1715083227.359024,1821,-2.186997175216675
