steps,rate_target_reached
1683,0.19
1692,0.27
1711,0.1
3342,0.19
3363,0.17
3363,0.18
4943,0.13
4951,0.22
5069,0.19
6182,0.24
6275,0.16
6414,0.16
7336,0.23
7516,0.13
7608,0.18
8451,0.14
8700,0.11
8822,0.09
9639,0.11
9824,0.17
9991,0.15
10979,0.18
11118,0.18
11293,0.22
12207,0.15
12412,0.12
12498,0.14
13427,0.13
13568,0.15
13713,0.08
15047,0.2
15260,0.13
15468,0.14
16594,0.15
17036,0.19
17539,0.09
19340,0.2
20605,0.21
20674,0.15
22158,0.15
23172,0.12
23267,0.19
25386,0.15
26127,0.18
26206,0.14
28754,0.17
28929,0.17
29073,0.19
31833,0.2
32189,0.11
32284,0.11
35358,0.17
35554,0.15
35782,0.17
37636,0.17
38502,0.12
38695,0.18
40140,0.18
41834,0.16
41973,0.19
43213,0.16
45384,0.18
45398,0.15
46603,0.18
47867,0.22
47899,0.25
47993,0.19
49073,0.14
49115,0.19
49230,0.09
50177,0.23
50274,0.17
50508,0.13
51392,0.12
51539,0.12
51765,0.09
52660,0.12
52744,0.15
53019,0.1
54022,0.09
54345,0.23
54452,0.25
55760,0.18
56152,0.31
56185,0.2
57773,0.25
57875,0.18
58033,0.17
59338,0.12
59545,0.14
59564,0.15
61024,0.19
61070,0.19
61124,0.26
62513,0.25
62594,0.14
62607,0.17
64068,0.28
64126,0.2
64194,0.19
65547,0.24
65722,0.16
65776,0.13
67181,0.14
67240,0.24
67254,0.25
68834,0.21
68907,0.19
68919,0.2
70335,0.19
70355,0.22
70476,0.15
71939,0.23
72006,0.24
72142,0.12
73651,0.18
73725,0.17
74028,0.21
75338,0.18
75444,0.23
75479,0.25
76994,0.27
77019,0.16
77074,0.22
78555,0.23
78561,0.17
78818,0.13
80206,0.29
80423,0.23
80522,0.21
82117,0.27
82155,0.24
82360,0.22
83695,0.28
83995,0.15
84156,0.19
85204,0.24
85675,0.22
86054,0.14
86885,0.18
87467,0.09
87943,0.15
88501,0.17
89208,0.18
90119,0.17
90304,0.21
91076,0.15
92009,0.17
92201,0.18
92955,0.18
93795,0.19
94071,0.24
