steps,rate_target_reached
3811,0.82
7236,0.9
10167,0.96
13723,0.93
16486,0.97
19616,0.95
22662,0.97
25461,0.96
28598,0.96
31568,0.95
34389,0.94
37187,0.98
40607,0.98
43490,0.95
46436,0.94
48718,0.99
51280,0.99
54370,0.96
57509,0.95
59832,0.99
62891,0.96
65376,1.0
67832,1.0
70531,1.0
73252,0.99
76305,1.0
79136,0.98
82180,0.95
84987,0.98
88145,0.98
90964,0.98
93788,1.0
96629,0.96
99476,0.99
102050,0.98
104625,0.98
107081,0.98
109954,0.99
112498,0.99
115440,0.98
118356,0.96
121538,0.95
124690,0.99
128204,0.94
131600,0.97
134145,0.99
137045,0.98
139972,0.98
142905,0.94
145679,0.98
148431,0.97
151503,0.96
154524,0.97
157532,0.95
160658,0.98
163331,1.0
166369,0.96
169174,0.99
171998,0.97
174451,0.99
176975,0.99
179765,0.99
182908,0.95
185689,0.99
188973,0.94
191312,0.99
194113,0.97
197156,0.97
200294,0.97
202931,0.99
205844,1.0
208585,1.0
211369,0.99
214165,0.99
216891,0.99
219502,0.98
222467,0.99
224896,0.99
227834,1.0
230588,0.98
233152,1.0
236035,1.0
238881,0.98
241269,0.99
244348,0.97
247063,0.99
249834,0.98
252437,0.98
255262,0.98
258080,1.0
260985,0.98
263591,0.95
266221,0.98
268640,0.98
271505,0.98
273974,0.99
276727,0.97
279372,0.99
282027,1.0
284950,1.0
287748,0.99
290499,1.0
293288,0.99
296003,0.96
298901,0.97
301505,1.0
304042,0.98
306949,0.94
309157,1.0
312096,0.96
314760,0.99
317678,0.97
320771,0.97
323473,0.99
326335,0.96
328788,0.98
331461,0.96
334520,0.96
337549,0.99
340024,0.97
342528,0.99
345098,0.99
348084,0.98
350770,0.99
353436,1.0
356399,0.99
358958,1.0
361634,0.99
364107,0.99
367051,0.96
369933,1.0
372455,0.99
375215,0.99
377849,1.0
380445,1.0
382997,1.0
385849,0.97
388699,1.0
391327,1.0
394033,0.98
396653,1.0
399256,0.99
402268,0.98
405073,0.98
407732,0.99
410322,1.0
413123,0.98
415561,1.0
418527,0.99
421306,0.97
424133,0.97
426742,1.0
429586,0.99
432435,0.97
435431,0.96
438183,0.97
440917,0.99
443299,1.0
446589,0.96
449776,0.97
452270,0.99
454740,0.99
457277,0.98
460078,0.99
462658,1.0
465112,0.99
468006,0.96
471133,0.96
473853,0.98
476328,1.0
478643,0.99
481223,1.0
484047,0.97
486743,1.0
489426,0.99
491918,1.0
494505,0.99
497298,0.99
500118,1.0
502563,1.0
505272,0.99
507745,0.99
510446,0.99
513470,0.97
515863,0.99
518261,1.0
520838,0.99
523429,0.99
526100,0.98
528977,0.97
531438,0.98
534162,1.0
