steps,reward,lenght
0,0,0
78,8.18525297969677,78
176,7.606848957876716,98
219,8.853072181208038,43
319,-3.27879940095258,100
388,8.092926040307347,69
434,9.064242870292865,46
445,9.794490353923205,11
450,9.907430175884429,5
462,9.789078009999821,12
513,8.960402382929278,51
514,10.0,1
614,-6.062615671286648,100
622,9.863659109719023,8
623,9.993441672991652,1
627,9.952131669418916,4
673,8.869769311540256,46
773,-2.935809926647153,100
873,-3.9120696825746317,100
904,9.358733471486596,31
981,7.850238979326059,77
1068,7.55812076846318,87
1168,-3.3758350572798608,100
1177,9.838539889258854,9
1186,9.82565704425492,9
1187,10.0,1
1203,9.69037812457389,16
1232,9.462662265489465,29
1287,8.61533781843234,55
1294,9.88883407583938,7
1332,9.080353947893535,38
1333,10.0,1
1345,9.788234441362796,12
1396,8.569662684909666,51
1419,9.466832923147567,23
1428,9.823079490742282,9
1445,9.577212504410042,17
1545,-3.3072549374679205,100
1608,8.223504976259672,63
1631,9.444417505687682,23
1666,8.962597361473957,35
1686,9.531984923813063,20
1711,9.392102542315547,25
1752,8.968355290180487,41
1800,8.772721208922423,48
1817,9.656390149919647,17
1841,9.45939207123829,24
1858,9.682682527031103,17
1958,-2.1287672713300014,100
1967,9.853707209201783,9
1975,9.86418276515529,8
2062,7.639754186061058,87
2122,8.301001526299281,60
2171,8.648382485375214,49
2211,8.984447417266185,40
2227,9.709857750426524,16
2251,9.532118787044077,24
2281,9.262387514758421,30
2381,-6.6256678208001745,100
2481,-6.8428120221803175,100
2551,7.9670389295861845,70
2556,9.927965680983608,5
2569,9.737104341607605,13
2599,9.237469987739225,30
2665,8.144972024228538,66
2677,9.757031474762506,12
2710,9.204995123683265,33
2723,9.735188836605467,13
2746,9.50737930879577,23
2766,9.625352763102004,20
2799,9.205054941166908,33
2853,8.493090333950361,54
2892,8.996279678225472,39
2935,8.829482290296948,43
2960,9.434029739794045,25
2976,9.748816892476906,16
2977,10.0,1
2998,9.594521154822846,21
3008,9.844770384186269,10
3049,9.056495653265591,41
3065,9.664313355705836,16
3075,9.813693194483927,10
3111,9.082304254207026,36
3117,9.89784731125894,6
3118,10.0,1
3161,8.900342341268301,43
3236,7.693383650533993,75
3255,9.593973532508205,19
3256,10.0,1
3276,9.563026296459544,20
3365,7.299075610618682,89
3394,9.295605460710924,29
3436,8.87407260717199,42
3460,9.507492917011207,24
3544,7.318921901591224,84
3568,9.459579839146027,24
3575,9.875041904804178,7
3606,9.35332281338917,31
3637,9.11818230806162,31
