steps,rate_target_reached
33892,0.35
71361,0.32
100335,0.49
120379,0.64
139420,0.69
156028,0.73
166172,0.85
180104,0.78
187820,0.9
194315,0.9
201044,0.91
208218,0.94
212465,0.98
216794,0.98
220449,0.98
223862,0.99
226672,0.99
228874,1.0
230793,1.0
233331,0.99
237755,0.95
239096,1.0
240647,1.0
243189,0.98
244834,1.0
246143,1.0
247313,1.0
248850,1.0
250886,1.0
252214,1.0
253648,1.0
254994,1.0
258380,0.96
259680,1.0
261361,1.0
262595,1.0
263966,1.0
266040,0.99
268292,0.99
269827,1.0
271231,1.0
272678,1.0
276985,0.95
278278,1.0
279456,1.0
280948,1.0
282196,1.0
283838,1.0
285194,1.0
286462,1.0
287526,1.0
288923,1.0
290354,1.0
291464,1.0
292685,1.0
294029,1.0
295258,1.0
296586,1.0
299586,0.97
300925,1.0
302218,1.0
303445,1.0
304763,1.0
306124,1.0
307430,1.0
308680,1.0
310068,1.0
311263,1.0
312751,1.0
314025,1.0
315304,1.0
316587,1.0
317853,1.0
319192,1.0
320527,1.0
321794,1.0
323011,1.0
324327,1.0
325484,1.0
326858,1.0
328124,1.0
329595,1.0
331406,0.99
332777,1.0
334046,1.0
335783,1.0
336895,1.0
338252,1.0
339417,1.0
340656,1.0
342000,1.0
343145,1.0
344404,1.0
348997,0.93
350666,0.99
351990,1.0
353241,1.0
354529,1.0
355794,1.0
357236,1.0
358321,1.0
359701,1.0
360825,1.0
361990,1.0
363058,1.0
364205,1.0
365740,1.0
367146,1.0
368514,1.0
369724,1.0
370990,1.0
372182,1.0
373416,1.0
374747,1.0
376102,1.0
377206,1.0
378998,0.99
380410,1.0
381554,1.0
383279,1.0
385603,0.98
386926,1.0
388569,0.99
389771,1.0
391006,1.0
392358,1.0
393706,1.0
395008,1.0
396264,1.0
397537,1.0
398761,1.0
399918,1.0
401209,1.0
402427,1.0
403473,1.0
404624,1.0
405801,1.0
406882,1.0
407991,1.0
409207,1.0
410566,1.0
411692,1.0
412831,1.0
414017,1.0
415137,1.0
416759,0.99
417918,1.0
420354,0.97
421497,1.0
422497,1.0
423725,1.0
424909,1.0
426140,1.0
427383,1.0
428446,1.0
429664,1.0
430920,1.0
432072,1.0
433365,1.0
434398,1.0
435582,1.0
437138,0.99
438561,1.0
439729,1.0
440805,1.0
442123,1.0
443258,1.0
444988,0.99
446215,1.0
447445,1.0
448664,1.0
449862,1.0
451157,1.0
452388,1.0
453624,1.0
454819,1.0
455938,1.0
457176,1.0
458339,1.0
460399,0.99
461526,1.0
462913,1.0
464115,1.0
465243,1.0
466314,1.0
467495,1.0
468597,1.0
469717,1.0
471021,1.0
472266,1.0
473318,1.0
474454,1.0
475606,1.0
477044,1.0
478209,1.0
479325,1.0
480455,1.0
481658,1.0
482852,1.0
483991,1.0
485213,1.0
486532,1.0
487650,1.0
488706,1.0
489820,1.0
491534,0.99
492995,1.0
494250,1.0
495440,1.0
496823,1.0
497904,1.0
498988,1.0
500113,1.0
501325,1.0
502456,1.0
503714,1.0
504800,1.0
505823,1.0
507405,1.0
508543,1.0
509871,1.0
511052,1.0
512098,1.0
513084,1.0
514120,1.0
515221,1.0
516315,1.0
517356,1.0
518444,1.0
519750,1.0
520812,1.0
521975,1.0
522917,1.0
523999,1.0
525669,0.99
526764,1.0
527869,1.0
529041,1.0
530064,1.0
531225,1.0
532469,1.0
533645,1.0
534923,1.0
536143,1.0
537325,1.0
539062,0.99
540216,1.0
541954,1.0
543170,1.0
544330,1.0
545911,0.99
547190,1.0
548365,1.0
549652,1.0
550745,1.0
551999,1.0
553021,1.0
554118,1.0
555279,1.0
556368,1.0
557417,1.0
558560,1.0
561475,0.97
562696,1.0
563857,1.0
565043,1.0
566915,0.99
568101,1.0
569282,1.0
570696,1.0
571829,1.0
573183,1.0
574506,1.0
575650,1.0
576851,1.0
578093,1.0
579129,1.0
580272,1.0
581535,1.0
582573,1.0
583770,1.0
584892,1.0
585957,1.0
586958,1.0
588050,1.0
589205,1.0
590407,1.0
591732,1.0
592901,1.0
594266,1.0
595382,1.0
596361,1.0
597603,1.0
598764,1.0
600061,1.0
601290,1.0
602411,1.0
603627,1.0
604681,1.0
605828,1.0
606923,1.0
608111,1.0
609249,1.0
610291,1.0
612524,0.98
614365,0.99
615354,1.0
616395,1.0
617614,1.0
619184,0.99
620267,1.0
621540,1.0
622731,1.0
623840,1.0
624924,1.0
626057,1.0
627226,1.0
628456,1.0
629689,1.0
630936,1.0
632077,1.0
634392,0.98
635587,1.0
636747,1.0
637908,1.0
640401,0.97
641583,1.0
642628,1.0
643802,1.0
645098,1.0
646099,1.0
647184,1.0
648442,1.0
650095,0.99
651406,1.0
652649,1.0
653761,1.0
654949,1.0
656194,1.0
657369,1.0
659330,0.98
660650,1.0
661823,1.0
663089,1.0
664328,1.0
665873,0.99
666958,1.0
668256,1.0
669550,1.0
670812,1.0
672167,1.0
673375,1.0
674491,1.0
675585,1.0
676549,1.0
677594,1.0
678831,1.0
679986,1.0
681018,1.0
682150,1.0
683411,1.0
684483,1.0
685551,1.0
686722,1.0
688042,1.0
689088,1.0
691197,0.99
692372,1.0
693611,1.0
694767,1.0
695806,1.0
696777,1.0
698049,1.0
699184,1.0
700476,1.0
701511,1.0
702699,1.0
703810,1.0
704884,1.0
705947,1.0
706987,1.0
708013,1.0
709028,1.0
710219,1.0
711444,1.0
712550,1.0
713695,1.0
714711,1.0
715683,1.0
717212,1.0
718135,1.0
719194,1.0
720134,1.0
721169,1.0
722160,1.0
723236,1.0
724446,1.0
725455,1.0
726597,1.0
727774,1.0
729086,1.0
730299,1.0
731471,1.0
732530,1.0
733766,1.0
734881,1.0
735924,1.0
737160,1.0
738302,1.0
739514,1.0
740740,1.0
742029,1.0
743194,1.0
744314,1.0
745502,1.0
747135,0.99
748458,1.0
749468,1.0
750558,1.0
751747,1.0
752937,1.0
754042,1.0
755200,1.0
756396,1.0
757522,1.0
758809,1.0
760088,1.0
761247,1.0
762463,1.0
763735,1.0
764858,1.0
765991,1.0
767170,1.0
768171,1.0
769339,1.0
770457,1.0
771648,1.0
772789,1.0
773900,1.0
774921,1.0
775960,1.0
777052,1.0
778307,1.0
779234,1.0
780319,1.0
781617,1.0
782658,1.0
783705,1.0
785073,1.0
786111,1.0
787221,1.0
788818,0.99
789961,1.0
791053,1.0
792164,1.0
793532,1.0
794738,1.0
795979,1.0
797205,1.0
798090,1.0
799303,1.0
800523,1.0
801615,1.0
802759,1.0
