steps,reward,lenght
0,0,0
499,-113.29034322123744,499
679,-37.84527683634024,180
1179,-100.29237930055736,500
1679,-152.82531283189186,500
2179,-209.02874267309878,500
2679,-213.48068102336848,500
3179,-212.89262636763294,500
3679,-262.4962941180222,500
4179,-209.28800163301048,500
4182,9.732001353235184,3
4682,-210.46895138223795,500
5182,-207.5213525468604,500
5602,-161.3241221917719,420
5705,-27.48870786963095,103
6205,-207.9457117025685,500
6227,2.984747795502237,22
6228,10.0,1
6728,-199.19399854163865,500
7228,-212.77015907469396,500
7728,-211.74303645832373,500
7729,10.0,1
8157,-166.0613651467277,428
8657,-209.44951313442485,500
8658,10.0,1
9158,-190.01803958925987,500
9658,-210.91735006423735,500
10158,-211.84657337712696,500
10658,-212.91119933871985,500
11158,-209.67049381917224,500
11658,-208.49183562358007,500
11659,10.0,1
12159,-211.32383747697338,500
12160,10.0,1
12660,-206.04465111162568,500
13160,-207.92319140649056,500
13660,-210.26961000431297,500
14160,-199.4281397827373,500
14660,-241.19301538880472,500
15160,-212.6295224423541,500
15660,-264.60041182327234,500
16160,-237.32952495941,500
16172,9.285219121052947,12
16173,9.968453206114262,1
16673,-225.67476677846483,500
16675,9.855349886060615,2
17175,-243.15794896534237,500
17675,-220.2601566886166,500
18175,-212.18555215256637,500
18675,-267.48452729072307,500
18966,-114.04561572463862,291
19466,-268.7951665054422,500
19966,-269.03303315553336,500
20466,-240.97848706126157,500
20966,-263.92521363966506,500
21466,-262.7215027874518,500
21966,-260.8108550627062,500
22466,-247.31091599727682,500
22966,-173.05509071517875,500
23466,-256.76690245975857,500
23966,-188.76255857807305,500
23971,9.029175622818075,5
24471,-188.43811521494305,500
24971,-199.95566213392712,500
24973,9.884115813765344,2
25473,-205.60978704615593,500
25973,-207.43514296180913,500
26473,-162.68372849208436,500
26504,8.16645639231265,31
27004,-119.67894109753327,500
27005,10.0,1
27232,-43.4502464615344,227
27233,10.0,1
27333,0.7828569258474296,100
27334,10.0,1
27348,7.422853830745488,14
27848,-69.86606033180304,500
28348,-233.84838978229564,500
28848,-194.68043717072533,500
28850,9.946919637326511,2
28880,3.209519996080501,30
28902,8.278681822146279,22
28903,10.0,1
28994,1.7098204315481116,91
29076,-6.590529514535849,82
29576,-102.95934396072266,500
30076,-180.98898879910405,500
30143,2.917226160545061,67
30144,10.0,1
30219,-0.543222844203731,75
30719,-125.83209919358181,500
30720,10.0,1
31220,-200.43085569859608,500
31720,-86.94067604571141,500
32220,-79.61835324845843,500
32720,-189.25369354887277,500
32721,10.0,1
33221,-54.476593844570644,500
33292,-2.686673237901589,71
33792,-87.8018768784313,500
34292,-49.55878884847048,500
34792,-73.61763124869775,500
34815,5.354347937893868,23
35315,-148.0334948610568,500
35493,-70.44305287202104,178
35494,10.0,1
35994,-62.47717817479471,500
36004,7.77244798946634,10
36095,-3.416815272048005,91
36595,-141.0963440370671,500
37095,-64.68887597721454,500
37595,-76.84143747257623,500
38095,-64.6042998668831,500
38595,-97.73899995900504,500
39095,-72.05130511245942,500
39595,-134.43436096438384,500
40095,-69.69212040216092,500
40595,-213.28322605846068,500
41037,-39.250263640427164,442
41268,-9.553633954636979,231
