steps,rate_target_reached
7692,0.28
7915,0.26
7951,0.25
8072,0.25
8128,0.24
8360,0.18
8427,0.22
8547,0.18
8601,0.16
8638,0.16
8767,0.14
8772,0.16
8910,0.12
9177,0.14
15777,0.25
16068,0.26
16376,0.23
16500,0.26
16677,0.19
16687,0.19
16872,0.26
16855,0.21
17020,0.25
17151,0.19
17313,0.21
17398,0.15
17792,0.18
18009,0.18
24432,0.24
24656,0.16
24589,0.31
24890,0.18
25042,0.23
25104,0.2
25298,0.16
25432,0.26
25467,0.2
25631,0.24
25732,0.18
26051,0.17
26288,0.2
26454,0.21
32739,0.21
33032,0.25
33066,0.28
33043,0.2
33330,0.16
33397,0.28
33480,0.24
33801,0.27
33966,0.2
34096,0.16
34332,0.25
34550,0.17
34951,0.2
35216,0.17
40993,0.28
41344,0.23
41234,0.23
41402,0.25
41695,0.22
41801,0.18
42158,0.23
42180,0.19
42427,0.23
42987,0.21
42982,0.17
42877,0.15
43341,0.25
44509,0.13
48981,0.31
49331,0.3
49273,0.23
49511,0.25
49663,0.23
50295,0.2
50355,0.25
50529,0.34
50800,0.29
50847,0.22
51100,0.16
51147,0.24
51428,0.27
53303,0.16
57050,0.3
57603,0.26
57663,0.3
57739,0.19
58215,0.3
58219,0.22
58488,0.26
58616,0.24
59429,0.21
59463,0.27
59722,0.18
59805,0.17
59615,0.23
61812,0.19
65298,0.21
65531,0.3
65968,0.33
65975,0.23
66210,0.27
66660,0.24
66656,0.15
67048,0.24
67932,0.23
68357,0.22
68177,0.2
68540,0.16
68940,0.14
70745,0.15
73284,0.32
73307,0.29
73980,0.25
74273,0.25
74300,0.25
75037,0.21
75213,0.24
74981,0.22
75572,0.33
76363,0.28
76574,0.29
76708,0.16
76990,0.27
78918,0.27
81413,0.24
81184,0.29
81859,0.26
82610,0.24
83160,0.28
83287,0.15
83387,0.24
83833,0.21
84156,0.23
84575,0.28
84711,0.33
84760,0.27
85080,0.23
87014,0.26
89284,0.3
89655,0.3
90048,0.16
91153,0.24
91313,0.26
91354,0.29
91505,0.28
92005,0.26
92209,0.26
92718,0.26
92788,0.28
93112,0.33
92926,0.25
94282,0.37
97233,0.26
98115,0.23
98317,0.24
99193,0.32
99470,0.27
99861,0.22
99999,0.2
100298,0.21
100981,0.24
100624,0.2
101452,0.2
101142,0.26
101668,0.2
102455,0.27
105612,0.22
106379,0.25
107420,0.26
107449,0.34
107376,0.16
107828,0.22
108296,0.23
108471,0.29
108612,0.25
109342,0.31
109629,0.23
109780,0.22
109482,0.22
110949,0.22
113386,0.29
115386,0.17
115416,0.29
115800,0.23
115834,0.23
116340,0.29
116174,0.21
116839,0.22
116749,0.27
117311,0.26
117883,0.23
117680,0.23
118262,0.22
119852,0.16
121866,0.22
123466,0.28
123670,0.23
123904,0.25
123736,0.28
124619,0.23
124630,0.21
125173,0.22
125402,0.26
125484,0.17
126234,0.28
126848,0.19
126819,0.13
128093,0.23
130522,0.21
131778,0.29
132077,0.21
132173,0.18
132402,0.3
132522,0.18
133233,0.29
133398,0.18
133883,0.21
133711,0.23
134783,0.23
134783,0.26
135670,0.17
136605,0.25
138615,0.29
140096,0.3
140128,0.26
140213,0.25
140656,0.22
140681,0.25
141392,0.25
142152,0.22
141793,0.23
142595,0.28
142240,0.21
143447,0.2
143407,0.29
144857,0.25
147321,0.21
148256,0.22
148410,0.22
148777,0.22
148824,0.24
148387,0.29
149421,0.33
150001,0.2
150411,0.27
150574,0.23
151391,0.28
151038,0.2
151933,0.2
153030,0.23
155896,0.2
156691,0.2
156934,0.24
157126,0.17
157441,0.21
157237,0.15
157609,0.24
158752,0.22
158796,0.21
158968,0.14
159818,0.21
159638,0.22
160557,0.21
162064,0.15
164334,0.23
164762,0.26
165160,0.31
165209,0.26
165207,0.26
166190,0.12
165805,0.26
167111,0.24
167228,0.21
167417,0.2
167612,0.25
168278,0.2
168480,0.28
170735,0.19
172434,0.33
173441,0.12
173484,0.21
173620,0.24
173571,0.22
174327,0.24
174221,0.2
175637,0.18
175909,0.19
176014,0.19
176285,0.25
175982,0.22
176597,0.25
179702,0.16
180899,0.21
181484,0.29
181662,0.22
181747,0.23
182128,0.19
182317,0.26
183016,0.19
183702,0.29
183837,0.23
184210,0.24
184983,0.17
184749,0.17
184943,0.2
188100,0.2
189221,0.28
189691,0.18
189921,0.24
190208,0.2
190576,0.22
190866,0.22
191645,0.2
191738,0.23
192018,0.26
193136,0.15
192672,0.32
193360,0.21
