steps,reward
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7792,-4.243344960196623,100
8015,-18.633777850963146,100
8051,-13.54944821128163,100
8074,-7.117945635007241,100
8092,10.0,1
8455,-3.4932650741052953,100
8460,-40.28249366150341,100
8551,-9.53449716283508,100
8701,-11.149301852366376,100
8738,-42.70528614159893,100
8811,7.124666224974123,64
8867,-7.603223080350784,100
9010,-34.592663764816415,100
9277,-22.717833974469062,100
15792,-26.141604334814172,100
16144,-18.958134414400334,100
16377,-19.748380961757714,100
16600,-19.43431341736002,100
16705,8.687547684225915,18
16777,-17.324131288460805,100
16874,-8.252504557643936,100
16856,10.0,1
17111,-9.035682363046917,100
17251,-4.925835797270338,100
17400,2.710223701700703,86
17413,-7.857609018461325,100
17695,-29.457512003154562,100
18010,-27.188243679001307,100
24242,9.965142132761947,3
24756,-42.190704851198795,100
24689,-35.03578575121534,100
24990,-10.520008779871135,100
25142,-16.14052915262661,100
25204,-10.735535460817053,100
25341,-42.89191955274445,100
25436,-41.516899269762746,100
25468,-18.883096210052106,100
25655,8.453950340798475,22
25731,-42.086414438357224,100
26083,-16.406695341620598,100
26388,-42.38789373038284,100
26492,-11.149875046785084,100
32703,2.5031908846822537,63
33105,-41.626054840697655,100
33166,-42.15497246628389,100
33057,-7.279363945464884,100
33322,-21.53183918223371,100
33430,-29.298039957657256,100
33569,-38.624692217427885,100
33867,-41.99496811099123,100
34006,9.84359043286446,9
33868,-42.43511667024722,100
34411,-25.42212914071889,100
34432,-11.579871612133488,100
34886,10.0,1
35316,-40.74221450808058,100
41093,-10.235498071010001,100
41263,-5.200262116544297,100
41403,-10.106034486818537,100
41444,-20.402754347698043,100
41498,-12.944074181860064,100
41795,9.426234754157509,28
42108,-2.806836913958822,82
42152,-40.21372721778536,100
42428,-29.642824047890425,100
42747,9.746553393987854,11
42905,-19.83357240797229,100
43019,-8.629095176359929,100
43257,9.237180868023048,15
44510,9.98927605787786,1
48807,-17.96924170145858,100
49332,-22.80231736510414,100
49464,-7.451978434708992,100
49372,2.297927137593601,99
