steps,rate_target_reached
7591,0.29
7797,0.25
7957,0.23
7996,0.25
8197,0.22
8206,0.21
8419,0.19
8598,0.17
8897,0.12
8970,0.13
8979,0.12
9004,0.13
9069,0.13
9203,0.1
16210,0.21
16743,0.16
16876,0.13
16981,0.21
17135,0.17
17133,0.11
17139,0.17
17086,0.23
17243,0.24
17506,0.1
17563,0.18
17676,0.15
17677,0.2
18004,0.15
24557,0.21
25316,0.17
25482,0.21
25625,0.25
25611,0.2
25630,0.18
25734,0.2
25819,0.15
26049,0.24
26208,0.13
26402,0.18
26402,0.12
26467,0.2
26371,0.17
33346,0.15
33693,0.22
34123,0.23
34225,0.19
34439,0.16
34328,0.16
34503,0.15
34547,0.19
34648,0.25
34680,0.22
35090,0.13
34999,0.17
35219,0.15
35612,0.13
42107,0.24
42236,0.15
42134,0.3
42366,0.23
42708,0.2
42961,0.16
42958,0.19
43139,0.22
43227,0.25
43234,0.19
43297,0.23
43584,0.13
43747,0.19
44050,0.22
50145,0.29
50755,0.2
50981,0.19
51451,0.25
51508,0.19
51512,0.23
51691,0.19
51535,0.11
51634,0.26
51836,0.23
51684,0.13
52084,0.14
52273,0.19
52653,0.2
59110,0.13
59327,0.21
59697,0.19
59800,0.25
59813,0.26
59678,0.26
60019,0.25
60151,0.19
60349,0.24
60698,0.16
60617,0.15
60627,0.13
61067,0.15
61675,0.15
67413,0.27
67637,0.22
67755,0.2
68142,0.19
68400,0.22
68428,0.21
68419,0.23
68813,0.23
68642,0.22
68885,0.2
69102,0.21
69463,0.2
69633,0.14
70136,0.21
75493,0.26
75867,0.26
76077,0.25
76473,0.22
76701,0.26
76921,0.22
76945,0.2
76792,0.26
77190,0.24
77322,0.22
77461,0.24
77692,0.2
78203,0.2
79037,0.15
83520,0.26
83878,0.25
84639,0.32
84744,0.25
84919,0.23
85083,0.14
84995,0.24
85389,0.28
85802,0.22
85822,0.17
85897,0.24
86396,0.13
86266,0.27
87333,0.23
91671,0.28
92187,0.22
92618,0.26
93352,0.25
93381,0.19
93259,0.22
93628,0.23
94150,0.15
94459,0.2
94196,0.3
94264,0.22
94659,0.15
94696,0.24
95489,0.24
100229,0.19
101145,0.18
101203,0.19
101240,0.3
101486,0.23
101308,0.25
102385,0.2
102595,0.22
102482,0.25
102861,0.27
102741,0.2
103229,0.23
103296,0.19
104142,0.2
108693,0.23
109712,0.22
109883,0.18
109945,0.21
109594,0.29
110270,0.18
110669,0.22
110709,0.27
111447,0.26
111166,0.22
111655,0.25
111719,0.18
111445,0.14
112431,0.22
117303,0.21
118077,0.24
118248,0.25
118298,0.21
118274,0.18
118690,0.23
118929,0.26
119134,0.22
119907,0.21
119491,0.26
119579,0.2
119999,0.21
120142,0.22
120968,0.23
125467,0.26
125981,0.29
126035,0.26
126043,0.31
126730,0.22
127401,0.19
127415,0.22
127618,0.2
128199,0.22
127884,0.23
128637,0.2
128285,0.18
129214,0.16
129347,0.23
134035,0.24
133914,0.21
134436,0.24
134759,0.18
135583,0.25
135141,0.23
135938,0.26
135938,0.22
136283,0.28
136413,0.18
137091,0.15
137211,0.19
137575,0.24
137959,0.2
142631,0.19
142340,0.22
143243,0.23
143323,0.17
143244,0.23
143875,0.23
144070,0.26
144730,0.16
144955,0.2
145626,0.27
145183,0.17
145719,0.21
145727,0.19
146334,0.23
150925,0.23
150804,0.22
151833,0.2
152055,0.19
151608,0.21
152349,0.25
152429,0.23
152696,0.28
153602,0.24
153155,0.24
153819,0.21
154545,0.19
154657,0.17
154965,0.2
159702,0.18
159406,0.19
160020,0.23
160573,0.25
160611,0.19
160698,0.23
160366,0.15
161035,0.23
161589,0.27
162591,0.26
162108,0.15
162173,0.22
162784,0.26
163799,0.17
167728,0.25
167362,0.25
168079,0.26
168990,0.22
169181,0.22
169333,0.19
169384,0.22
169655,0.27
169211,0.19
170751,0.25
170455,0.22
170467,0.21
171333,0.2
172129,0.21
176147,0.22
175943,0.2
176657,0.2
177690,0.17
177798,0.23
177880,0.17
178036,0.17
178418,0.18
177803,0.2
178101,0.3
178636,0.23
179401,0.19
180541,0.13
180928,0.16
184299,0.25
184416,0.2
185505,0.17
186080,0.2
186158,0.21
186269,0.22
186371,0.22
186073,0.26
186221,0.22
186915,0.19
187534,0.26
187151,0.19
189134,0.24
189222,0.2
193040,0.2
192633,0.21
193914,0.22
194624,0.22
194738,0.24
194819,0.18
194271,0.24
194482,0.26
195280,0.13
195594,0.25
195807,0.14
195992,0.16
196927,0.27
197559,0.22
200656,0.27
201497,0.22
202378,0.21
202362,0.26
203284,0.19
203664,0.15
203785,0.17
203290,0.2
204074,0.16
204073,0.22
204621,0.16
205321,0.23
205031,0.15
205788,0.22
209107,0.19
210114,0.2
211527,0.16
211775,0.21
211759,0.24
211383,0.15
212240,0.22
211671,0.2
212705,0.21
212768,0.2
213660,0.12
214041,0.19
213394,0.2
214436,0.18
217224,0.23
218330,0.22
220053,0.2
220575,0.19
220971,0.17
220984,0.17
220502,0.2
221279,0.19
221297,0.19
220588,0.12
221674,0.26
221720,0.21
222782,0.18
222994,0.19
225877,0.31
225441,0.25
228350,0.22
229000,0.22
229456,0.21
229539,0.19
229621,0.23
230036,0.21
229249,0.19
230263,0.14
229763,0.12
229815,0.26
231748,0.19
231915,0.14
234409,0.18
233848,0.21
236814,0.19
237348,0.23
238116,0.23
238164,0.2
238262,0.18
238369,0.25
237572,0.22
238962,0.16
238298,0.23
238337,0.19
240256,0.21
240283,0.23
241649,0.28
242982,0.17
245374,0.19
245844,0.21
246087,0.3
246206,0.24
246533,0.23
247232,0.13
247413,0.22
246929,0.19
246999,0.1
247165,0.15
248595,0.23
249081,0.19
249723,0.25
251466,0.21
253972,0.2
253988,0.24
255152,0.15
255335,0.12
255390,0.19
256099,0.16
255319,0.21
255520,0.2
256530,0.15
255948,0.17
257250,0.2
257754,0.19
258380,0.17
259709,0.23
262498,0.19
262532,0.2
263090,0.28
263494,0.25
263566,0.23
264009,0.18
264102,0.21
265108,0.19
265194,0.13
264390,0.21
265492,0.25
266348,0.22
266765,0.22
268406,0.18
270538,0.26
271235,0.2
271416,0.2
272293,0.21
272346,0.14
272265,0.28
272424,0.2
272558,0.2
274107,0.14
274338,0.15
274342,0.12
274659,0.22
275385,0.19
276664,0.24
278729,0.25
279699,0.22
279929,0.21
280968,0.18
280957,0.19
280589,0.21
280772,0.22
280815,0.24
282569,0.22
282780,0.24
282812,0.19
283170,0.21
284161,0.16
285599,0.16
287159,0.24
288502,0.17
288663,0.19
289052,0.24
288665,0.29
289781,0.17
289338,0.21
289370,0.16
290694,0.26
290879,0.24
291448,0.18
291874,0.2
292960,0.18
294034,0.24
295216,0.25
296699,0.23
297433,0.18
297965,0.14
297260,0.27
297323,0.17
298546,0.19
299381,0.21
299411,0.17
298551,0.11
300274,0.19
300595,0.13
301419,0.19
303277,0.13
303919,0.21
305138,0.19
305951,0.25
305416,0.25
305520,0.22
306729,0.17
307017,0.29
307765,0.12
308149,0.16
307143,0.17
308737,0.21
309607,0.12
309993,0.17
312275,0.22
312654,0.09
313639,0.18
314129,0.22
313731,0.21
313972,0.22
315164,0.23
315366,0.25
316042,0.22
316093,0.26
316039,0.15
317430,0.19
318249,0.19
318846,0.15
320418,0.23
321325,0.18
322481,0.14
322804,0.18
322083,0.24
322453,0.19
324165,0.18
324357,0.12
324517,0.2
324696,0.19
325943,0.22
325048,0.14
326653,0.21
328155,0.3
327286,0.19
330132,0.14
330748,0.21
331456,0.19
330341,0.25
331785,0.3
330784,0.19
333451,0.13
333677,0.11
333855,0.13
334939,0.17
333915,0.2
335532,0.18
334902,0.28
337050,0.14
338658,0.21
339589,0.16
339893,0.24
338838,0.21
340019,0.22
339653,0.16
341619,0.26
342226,0.22
342811,0.15
342685,0.16
344011,0.13
344184,0.18
343686,0.17
345714,0.19
347585,0.25
347866,0.15
348390,0.2
348720,0.16
347535,0.26
347856,0.15
