steps,reward
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7601,-40.795323988341536,100
7871,0.9044625303970744,74
8057,-30.702939094270242,100
8096,-39.420509217792294,100
8198,-14.302790166529977,100
8306,-18.541116566820598,100
8484,-34.38447293339394,100
8698,-42.199948712278,100
8997,-13.066035608563288,100
9005,10.0,1
9070,-19.981309234549624,100
9079,-36.51145880465786,100
9169,-7.519927177187269,100
9303,-42.36162484348824,100
16209,8.324060791129774,46
16843,-8.246771209220046,100
16976,-16.30416203154351,100
17081,-11.698967031715723,100
17145,9.899501408322285,6
17233,-35.7338311055639,100
17235,-15.04209814837957,100
17186,-36.14417704091862,100
17310,-6.912004359011876,100
17553,-34.21465212566976,100
17606,-27.54260618093859,100
17713,5.61920927022508,36
17776,-31.434982064486952,100
18104,-42.803133294829564,100
24657,-14.30719859508817,100
25317,10.0,1
25582,-18.29335950697231,100
25674,3.9307531530258277,63
25725,-22.71656185482704,100
25730,-42.748586751347716,100
25834,-42.72399502838791,100
25918,-18.25103608825716,100
26149,-10.36961634996103,100
26308,-37.20677059474385,100
26373,-11.075585448213335,100
26502,-12.12728391237506,100
26421,-35.60628901301021,100
26536,-13.219929965314446,69
33320,0.5018323431390428,72
33783,-12.543541965800966,100
34223,-28.09718064287082,100
34325,-8.495684896274376,100
34236,-42.09862915856782,100
34440,-42.3979190906031,100
34504,-42.780807220439506,100
34570,8.643607504989196,23
34748,-42.52407432888197,100
34780,-40.39405281034923,100
34939,9.940477955002619,4
35140,-15.622568287705487,100
35099,-18.988981702844324,100
35677,-1.796326581372245,65
42019,-23.064815563714717,100
42091,6.473388453432709,45
42322,-5.795734657391946,100
42234,-31.621251314052586,100
42860,-8.637832913038801,100
42709,-13.68512499157776,100
43035,-39.91163393250074,100
43183,-35.5770220348156,100
43228,-6.092251092993605,100
43239,-33.37034457767587,100
43300,-4.8537511133448366,100
43748,-29.699897283081125,100
43649,3.879465131492087,77
44150,-7.031046151535065,100
50245,-42.576387617655136,100
50855,-20.921860451783083,100
50982,-38.342038296877355,100
51509,-7.3773615081765955,100
