steps,rate_target_reached
5787,0.46
6951,0.37
7159,0.33
7271,0.31
7250,0.34
7282,0.31
7383,0.31
7425,0.34
7516,0.31
7543,0.29
7795,0.27
7833,0.24
7911,0.23
8084,0.24
13590,0.32
14257,0.34
14418,0.35
14836,0.33
14852,0.39
15078,0.3
15142,0.29
15271,0.29
15300,0.29
15432,0.24
15567,0.27
15575,0.22
15644,0.29
15878,0.29
21345,0.39
21919,0.38
22140,0.2
22252,0.28
22261,0.34
22390,0.38
22578,0.32
22607,0.3
22726,0.33
23385,0.33
23392,0.29
23437,0.27
23528,0.2
23656,0.28
28700,0.3
28739,0.37
29624,0.34
29641,0.32
29944,0.32
30023,0.31
30155,0.31
30385,0.27
30641,0.26
30750,0.36
30922,0.37
30926,0.29
31572,0.24
31856,0.22
36745,0.27
36979,0.38
37280,0.32
37154,0.39
37174,0.2
37520,0.29
37795,0.33
37802,0.27
37999,0.34
38051,0.34
38619,0.29
38806,0.3
39085,0.34
39858,0.29
44577,0.32
44854,0.38
44714,0.29
44820,0.25
44909,0.32
44976,0.38
45186,0.34
45298,0.32
45352,0.24
45729,0.22
46318,0.31
46741,0.29
47069,0.31
47625,0.31
51837,0.38
52552,0.32
52601,0.24
52548,0.3
52722,0.33
52568,0.26
53012,0.27
53217,0.34
53048,0.27
53389,0.4
53631,0.25
54248,0.31
54802,0.35
55233,0.25
59376,0.34
59873,0.34
59839,0.37
60406,0.3
60620,0.33
60612,0.32
60765,0.26
60849,0.34
60639,0.28
61191,0.28
61108,0.23
61761,0.38
62109,0.25
62796,0.35
66997,0.28
67190,0.35
67581,0.31
67624,0.36
67633,0.37
68118,0.35
67961,0.34
68477,0.3
68571,0.34
69164,0.32
69350,0.17
69409,0.32
69986,0.27
70226,0.31
75131,0.35
74920,0.29
75278,0.3
75057,0.27
75116,0.34
75608,0.28
75777,0.35
76119,0.32
76097,0.27
76859,0.32
76995,0.28
77144,0.29
77527,0.36
77774,0.27
81916,0.4
81942,0.37
82824,0.37
82857,0.31
82664,0.31
82765,0.28
83822,0.28
83594,0.26
84108,0.28
84235,0.35
84767,0.29
84980,0.29
85112,0.33
85509,0.28
88979,0.38
88775,0.42
89829,0.34
90295,0.31
90475,0.31
90371,0.28
91074,0.36
91405,0.31
91470,0.37
91383,0.3
92021,0.43
92250,0.41
92523,0.3
92686,0.24
96270,0.35
96195,0.34
97320,0.41
97189,0.34
97587,0.35
97836,0.32
98398,0.35
98923,0.37
98929,0.31
98995,0.31
99338,0.28
99721,0.33
100267,0.26
100272,0.3
103758,0.32
104195,0.26
104228,0.38
104925,0.34
104840,0.39
105276,0.29
105773,0.3
105927,0.44
106662,0.28
106973,0.25
106986,0.34
107295,0.4
107362,0.26
107772,0.32
111583,0.31
111537,0.35
111656,0.27
112140,0.33
112862,0.31
113082,0.27
113134,0.35
113531,0.42
113621,0.33
114038,0.38
114800,0.38
115038,0.32
114819,0.34
115547,0.2
118660,0.37
119023,0.31
120290,0.32
120302,0.37
120099,0.26
120299,0.18
120737,0.37
120833,0.31
121044,0.32
121205,0.33
122854,0.37
122959,0.27
122730,0.3
123368,0.24
125821,0.37
126362,0.32
127300,0.39
128194,0.39
128231,0.37
128277,0.28
128356,0.33
128342,0.27
128351,0.28
128232,0.28
130422,0.31
130364,0.32
130863,0.33
131231,0.25
132786,0.38
133982,0.3
135058,0.28
135630,0.34
135654,0.31
135826,0.32
136001,0.33
136016,0.32
136164,0.26
136676,0.22
137847,0.34
138160,0.37
138273,0.33
138353,0.3
139912,0.38
141239,0.36
142389,0.35
143045,0.34
143187,0.29
143674,0.28
143766,0.29
143570,0.32
144115,0.27
144568,0.28
144728,0.39
145646,0.3
146236,0.27
145797,0.3
147382,0.32
149175,0.28
150751,0.35
150769,0.3
150429,0.26
150578,0.35
151338,0.26
151407,0.32
151531,0.34
152049,0.36
152113,0.32
153024,0.4
153789,0.25
153985,0.23
155143,0.3
156600,0.34
158380,0.31
158380,0.3
158887,0.3
158405,0.27
158485,0.26
159180,0.29
159323,0.24
159901,0.31
159963,0.28
160998,0.26
161878,0.42
161826,0.27
161978,0.28
163849,0.38
165085,0.38
166175,0.28
166560,0.3
166175,0.3
166896,0.35
166398,0.27
167009,0.27
167381,0.34
167499,0.3
167982,0.48
168681,0.31
169168,0.37
169535,0.29
171218,0.33
171978,0.41
173304,0.42
173052,0.43
173202,0.38
173933,0.29
174449,0.3
174549,0.34
175143,0.28
175146,0.3
175038,0.37
176396,0.31
176403,0.37
177267,0.31
178779,0.33
179559,0.32
180473,0.37
181497,0.29
181661,0.32
181100,0.28
181899,0.34
181901,0.32
181663,0.43
182360,0.35
182569,0.3
183123,0.38
184087,0.29
184556,0.35
187177,0.31
186683,0.31
187335,0.37
187399,0.43
188162,0.45
188047,0.44
188990,0.39
189115,0.32
189706,0.34
189739,0.36
189981,0.25
190024,0.4
191307,0.36
192064,0.3
193282,0.43
193985,0.41
193603,0.47
195625,0.33
194974,0.33
195153,0.36
196199,0.4
196643,0.31
196904,0.36
197039,0.36
197369,0.32
197565,0.33
198367,0.39
199860,0.31
199896,0.45
199996,0.43
201549,0.33
201581,0.45
202485,0.38
202113,0.41
203608,0.34
203834,0.43
203884,0.38
204246,0.31
204324,0.33
204340,0.41
204674,0.45
206428,0.44
206900,0.39
207684,0.49
207208,0.35
209080,0.42
208505,0.4
208799,0.43
209952,0.41
210522,0.41
211048,0.47
211065,0.38
211081,0.37
211414,0.34
211510,0.35
213131,0.41
213902,0.43
214883,0.34
214553,0.3
215584,0.43
215354,0.4
216374,0.45
215737,0.38
216772,0.46
217551,0.42
217919,0.44
218049,0.37
218180,0.41
218481,0.33
219805,0.42
220391,0.42
221268,0.43
222110,0.44
222464,0.46
221740,0.35
221780,0.46
222018,0.4
223123,0.43
223560,0.45
224359,0.5
224462,0.44
224484,0.47
224778,0.37
225388,0.52
227558,0.46
227046,0.4
227749,0.49
228600,0.46
227985,0.45
228210,0.46
229293,0.35
229412,0.5
229590,0.44
230879,0.43
231449,0.47
231383,0.37
231508,0.36
232015,0.35
233204,0.44
234493,0.37
234562,0.57
233994,0.48
234842,0.43
234115,0.45
235547,0.45
234742,0.4
236182,0.39
237450,0.45
237627,0.41
237632,0.46
237615,0.45
237942,0.49
239177,0.48
240271,0.5
239721,0.5
240797,0.45
