steps,reward,lenght
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5689,10.0,1
6952,-14.714947705537863,100
7259,-30.01531310386118,100
7283,-16.328747957177736,100
7371,-21.121437290078834,100
7350,-42.751739957464245,100
7483,-42.84232938914298,100
7517,10.0,1
7525,-13.612732343912372,100
7643,-34.47683802155024,100
7796,10.0,1
7834,-16.541689336089693,100
8011,-12.679875865640577,100
8184,-25.56976997130916,100
13690,-18.25724806486025,100
14267,-16.30153779282629,100
14449,7.704476554482682,31
14936,-11.469099411385411,100
14952,-8.4785175954133,100
15079,10.0,1
15242,-27.95454695679824,100
15304,-11.247131897415873,100
15371,-42.907685425458915,100
15384,-30.79700227639636,100
15576,-35.90436910569559,100
15645,10.0,1
15667,-15.022939745690767,100
15799,10.0,1
21445,-42.821648290580576,100
21821,9.991896166910502,1
22167,-35.173304967847486,100
22205,-1.139814061125529,95
22352,-10.758378354483387,100
22400,-16.04074472589177,100
22600,8.138612233224839,22
22608,10.0,1
22727,-34.93814024650214,100
23393,-16.610761622989482,100
23440,-13.43004442203403,100
23435,-41.51494397515365,100
23628,-17.563729289748007,100
23587,-16.12065348460355,100
28800,-13.65350611818052,100
28839,-13.917541738804454,100
29530,-10.07149853109808,100
29571,-8.680435739388331,100
29954,-8.35508934822544,100
30123,-13.131480207822523,100
30244,-18.668605945640653,100
30156,-14.008316135411873,100
30543,10.0,1
30824,-24.259988647412385,100
30751,-28.236414500737446,100
31026,-24.75967498136955,100
31672,-39.66330519657509,100
31809,-19.158588644510715,100
36840,-9.78415658600738,100
36845,-9.447005836584573,100
36969,-13.707878085363125,100
37123,-21.852208688949027,100
37274,-22.432232031660302,100
37521,10.0,1
37704,10.0,1
37759,10.0,1
37796,-35.1922022735269,100
37771,9.975841238506572,2
38571,-38.28686158843158,100
38648,8.568242859133276,19
39099,8.406371870501815,14
39849,-25.496833259095986,100
44490,8.671990590246255,12
44731,10.0,1
44766,-9.967856979301406,100
44800,10.0,1
44845,-41.07640227868028,100
44854,10.0,1
45113,7.053911665209373,26
45107,-16.89054601813548,100
