steps,reward,lenght
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7182,-9.098999579688305,100
7470,-11.662238275266203,100
7723,10.0,1
7740,-38.36358176669023,100
7784,-10.417520885589377,100
7825,5.17780285778166,44
7845,-7.479518554541135,100
7967,-9.167064513427432,100
7977,-38.584352228584166,100
8034,-7.097928697409211,100
8127,10.0,1
8115,7.262778566406219,32
8295,-10.42555092354622,100
8398,-22.539126410727594,100
15110,-28.583067116252423,100
15231,8.776663968024627,14
15259,5.597761564848397,41
15330,-29.8598900256833,100
15677,3.3732558394475216,66
15705,-30.918273947557612,100
15720,-38.57301735425221,100
15779,9.985346281378309,2
15884,-15.281291638973462,100
15889,-12.519244579777494,100
16071,4.473869192504822,66
16290,-10.753875784318659,100
16484,-15.487609317697288,100
17209,-19.064937288973866,100
22765,-28.19769165167755,100
22776,10.0,1
23267,-12.266031344810232,100
23643,-30.084115259319653,100
23743,-42.80189811979867,100
23785,-0.6211872243081551,61
23797,-42.81194084028382,100
23886,-8.578407520360887,100
23864,4.0922651225226065,60
23969,-13.063728550017514,100
24276,-13.211142613474411,100
24543,10.0,1
24473,-40.588679511070445,100
24719,-11.310060461209568,100
30543,-42.62568650369551,100
30590,-10.523406180136545,100
30834,-7.901633902272309,100
31294,8.292033988248832,40
31382,-11.355917794991923,100
31479,10.0,1
31418,-10.863801297238929,100
31717,-42.543092630355574,100
31741,-23.14947977022268,100
31781,9.916225938930149,5
32462,-16.654191295170644,100
32672,-19.043513893618975,100
32871,-28.732426737691195,100
32777,5.178808166019834,58
37967,-12.891899472777322,100
38281,-14.1287591683954,100
38474,-11.94840816286743,100
38935,-16.02796836064946,100
39136,10.0,1
39531,-39.601674012736396,100
39739,-41.96124162683118,100
39788,-22.136222437713293,100
39764,-41.785871871797944,100
40022,-30.195422748732323,100
39903,-25.49372083645996,100
40200,-37.779296256446855,100
40390,10.0,1
41022,-41.73814341177738,100
45548,-34.144707399805974,100
46031,10.0,1
46453,-26.00708239015121,100
46404,-27.764951397317382,100
46694,-6.300414438706115,100
46861,-30.452394370645536,100
