steps,reward
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
6290,-41.96371726865662,100
6456,-14.817797810892396,100
6461,-12.744265514788912,100
6553,-4.731316336291731,100
6557,-15.336743394708318,100
6702,-8.548610325921901,100
6794,8.524626426468958,10
6879,-7.74716339255307,100
6989,-9.14189199185409,100
7101,-12.68373610658712,100
7108,10.0,1
7147,6.923033935376447,25
7196,-11.955909757665689,100
7337,-21.325234827293468,100
12792,-16.378484940197925,100
13362,10.0,1
13538,9.970263228536348,2
13588,-19.265823193585373,100
13648,10.0,1
13855,-12.100920325272805,100
14003,8.402246460589044,12
14029,6.725512377350691,44
14116,-23.71132134561526,100
14249,-8.805556537652595,100
14413,10.0,1
14507,10.0,1
14625,-11.075563175148702,100
14708,10.0,1
20019,-12.116987192419653,100
20301,8.360678412275595,13
20337,-24.791845269604007,100
20434,-14.410921404682723,100
20491,-11.613991772634641,100
20557,-21.300581788712204,100
20646,2.1199875926720733,93
21019,-7.958557033921479,100
21122,9.493243243602084,11
21354,-41.37397458447323,100
21356,-19.924834237844646,100
21479,-23.39777999944262,100
21711,-9.57869995999101,100
22026,10.0,1
26760,10.0,1
27047,-25.101359399496538,100
27113,-10.820585090468194,100
27321,-4.849151224653904,100
27376,10.0,1
27476,9.80300541839797,11
27402,-13.135513840501106,100
27861,-12.995095930743867,100
27891,10.0,1
28013,10.0,1
28389,10.0,1
28400,-12.63622896138673,100
28880,-16.58599017150292,100
29146,-7.612546733021701,100
32964,-28.53892742910637,100
33387,10.0,1
33595,8.740445028178849,16
34252,8.382268371219402,7
34407,10.0,1
34556,7.432467618456261,10
34684,-9.222162510320972,100
34592,-41.28407291270362,100
34663,-13.16083367733927,100
34794,9.256664121330347,9
35032,7.909688325490505,39
35471,10.0,1
35850,-21.245452315592686,100
36375,-13.599436231647836,100
39771,5.144953534358834,58
39839,10.0,1
40553,-3.859485583756074,97
40820,1.6621573876827735,80
41086,10.0,1
41091,-7.281447607687267,100
41039,-10.852344346224037,100
41526,-17.455512666914434,100
41406,10.0,1
42120,-21.30616267987888,100
