steps,reward
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
6584,-8.84114992852622,100
7184,10.0,1
7215,5.2780602754866885,55
7345,-34.43324407309904,100
7388,9.86177592857379,8
7450,9.508353419209309,22
7529,9.42645058640115,25
7571,-33.907432167708286,100
7594,-42.652112932032544,100
7625,10.0,1
7586,3.9850198653865805,96
7604,-33.06627057981038,100
8004,-3.0317071114747174,100
8133,-27.34779343743435,100
13654,-32.59669823455281,100
14217,9.610202570322008,20
14677,-42.52114134430436,100
14696,-5.77518825758987,100
14668,-38.41379824642109,100
14756,-8.141011162102089,100
14890,10.0,1
14914,-18.266217706959893,100
14870,-42.723019214231066,100
14938,-24.33753763776691,100
14903,-42.876709245386984,100
14949,-37.89708380060444,100
14957,9.921062978159728,5
15149,-18.88700269526291,100
20593,10.0,1
21542,-36.79174448975277,100
21720,-4.821540589831767,100
21827,-3.1703439546247183,100
21877,-2.4548802977953814,100
22046,10.0,1
22075,-25.78612993634999,100
22469,-37.811575613044575,100
22578,-5.15247073687984,100
22583,-6.732939172619986,100
22597,-27.430246341808086,100
22529,10.0,1
22745,-17.39102347581039,100
23214,-28.228293082633268,100
27710,-9.156235349141417,100
28153,-23.051209383978666,100
28738,10.0,1
29389,7.017197742621489,40
29472,-5.08371460610357,100
29587,6.28578558216531,60
29843,-5.5234216697207605,100
29861,9.563407835269203,25
29842,-3.005262329789765,100
30038,6.482963603137445,26
30108,-7.745319138958819,100
30375,-38.62940589932774,100
30475,-2.5557820061680494,100
30547,-13.920375848973896,100
34902,-31.613945003160158,100
35440,-5.45212615484524,100
36391,-8.829062979071608,100
36573,-5.468390120816319,100
36921,9.747617580839977,13
37041,-13.110017743287402,100
37149,9.376005486130218,26
37323,-7.154303809007645,100
37364,-7.698250781032154,100
37574,-24.425213409482797,100
37668,10.0,1
37869,9.736749571544316,15
38090,7.755086267414757,46
38307,4.365340351659314,84
42030,-42.747573548998496,100
42583,-6.269775953298401,100
43493,-34.84264291526557,100
43772,9.977216281178832,2
43896,-7.682504981331401,100
43939,-17.839170677193735,100
