steps,reward,lenght
0,0,0
622,9.744536856851056,12
1288,9.539802086130814,18
1876,9.935871169030479,4
2495,9.936747002171495,4
3159,9.896116127451428,6
3775,9.884352987678286,6
4396,9.976486231083474,2
4988,9.746761503350363,11
5633,9.919863723310554,4
6340,9.988921588421583,1
6956,9.83199721177337,8
7798,9.92779627302138,5
8888,9.818418648540435,9
9649,9.973978546295786,2
10297,9.730820847445129,12
10972,9.894140209552603,6
11772,9.889686515735672,6
12512,9.850055229304228,8
13147,9.889969859033714,6
13848,9.98037741095675,2
14656,8.073275271617728,31
15382,9.995939209446625,1
15962,9.85105094876045,8
16584,9.837220053712802,8
17224,9.853399632431744,8
17851,9.972242830952377,2
18434,9.775115555861111,11
19170,9.871546223515459,7
19797,10.0,1
20442,9.689557734919262,13
21029,9.992984451852253,1
21793,9.926953026975866,4
22484,9.780816640848535,10
23173,9.724029103065302,13
23822,9.987868379519456,1
24434,9.757223256438294,10
25064,9.964192862487556,2
25754,9.86602032484534,7
26409,9.964864594667832,3
27099,9.931328118679332,4
27648,9.743529866310997,12
28287,9.87531168748028,7
28966,9.887071775514547,6
29578,9.915832001560675,5
30171,9.914788604638007,6
30810,9.991961540647118,1
31476,9.992515193461646,1
32042,9.828837747189686,8
32665,9.850937976353391,8
33487,9.695456639613093,14
34154,10.0,1
34736,9.544613565670833,12
35349,9.973572514433494,2
35974,9.872027648425624,7
36541,9.828590240964447,8
37163,9.98452806718159,2
37879,9.908942125029958,5
38524,9.726749671706951,13
39286,9.951254482714248,3
39891,9.919542320538802,5
40522,9.963510366532958,3
41190,10.0,1
42108,9.95226501021518,3
42797,9.996396847422469,1
43435,9.926894740618565,5
44044,9.984943958160933,2
44674,9.951238174821064,3
45382,9.948140598262741,3
46044,9.916694601114283,5
46696,9.913738765810601,5
47317,9.97049459352755,3
48019,9.95590133935059,3
48584,9.945446551169075,4
49197,9.931088510169202,4
49825,9.946318589896741,3
50438,9.862297807120878,7
51075,9.895903196464554,6
51767,9.908152572134156,5
52387,9.991539677245393,1
