steps,rate_target_reached
691,0.99
1487,1.0
2332,1.0
3069,1.0
3916,0.99
4586,1.0
5384,1.0
6142,1.0
6864,1.0
7582,1.0
8331,1.0
8992,1.0
9694,1.0
10361,1.0
11058,1.0
11751,1.0
12473,1.0
13430,0.98
14116,1.0
15222,0.97
15974,1.0
16910,0.98
17579,1.0
18337,1.0
19040,1.0
19761,1.0
20510,1.0
21161,1.0
21892,1.0
22635,1.0
23388,1.0
24132,1.0
24815,1.0
25511,1.0
26243,1.0
26989,1.0
27793,0.99
28526,1.0
29203,1.0
30108,0.98
30778,1.0
31549,1.0
32381,0.99
33222,0.99
33986,1.0
34692,1.0
35469,1.0
36164,1.0
36931,0.99
37795,0.99
38459,1.0
39297,0.99
40060,1.0
40766,1.0
41489,1.0
42174,1.0
42894,1.0
