steps,rate_target_reached
26692,0.54
57040,0.48
84343,0.58
112750,0.62
139327,0.62
166915,0.54
200338,0.45
228518,0.53
252778,0.61
279599,0.51
313365,0.37
341848,0.48
370967,0.47
401918,0.44
435282,0.39
471358,0.3
502088,0.43
528926,0.55
556266,0.52
587701,0.4
619979,0.4
647589,0.48
680150,0.41
707526,0.5
732951,0.56
753512,0.69
772992,0.71
791599,0.71
808250,0.72
827458,0.7
846910,0.69
867725,0.63
884927,0.74
906273,0.66
922446,0.76
938018,0.76
949674,0.81
963324,0.81
977503,0.78
994581,0.71
1005740,0.86
1016905,0.85
1028991,0.8
1037887,0.88
1046229,0.89
1053955,0.92
1058763,0.95
1065808,0.9
1069763,0.97
1075004,0.94
1079979,0.95
1084012,0.97
1095758,0.83
1098911,0.99
1101792,0.99
1105385,0.98
1107952,0.99
1111691,0.97
1115048,0.97
1117453,0.98
1120986,0.96
1123272,0.99
1126399,0.98
1129710,0.98
1131687,1.0
1134503,0.98
1136879,0.99
1138874,1.0
1141892,0.97
1144000,1.0
1147989,0.95
1150384,0.99
1152233,1.0
1153951,1.0
