steps,reward,lenght
0,0,0
499,0.0,499
519,10.0,20
520,10.0,1
1020,0.0,500
1030,10.0,10
1171,10.0,141
1189,10.0,18
1689,0.0,500
2189,0.0,500
2193,10.0,4
2193,0,0
2692,0.0,499
3192,0.0,500
3348,10.0,156
3848,0.0,500
4348,0.0,500
4410,10.0,62
4437,10.0,27
4937,0.0,500
5109,10.0,172
5110,10.0,1
5122,10.0,12
5622,0.0,500
6122,0.0,500
6622,0.0,500
7122,0.0,500
7234,10.0,112
7734,0.0,500
7759,10.0,25
7974,10.0,215
7975,10.0,1
8475,0.0,500
8975,0.0,500
9475,0.0,500
9975,0.0,500
10178,10.0,203
10678,0.0,500
10810,10.0,132
11154,10.0,344
11353,10.0,199
11853,0.0,500
12353,0.0,500
12406,10.0,53
12906,0.0,500
13024,10.0,118
13080,10.0,56
13442,10.0,362
13475,10.0,33
13476,10.0,1
13524,10.0,48
14024,0.0,500
14524,0.0,500
14629,10.0,105
15129,0.0,500
15130,10.0,1
15630,0.0,500
15633,10.0,3
16133,0.0,500
16633,0.0,500
16647,10.0,14
16651,10.0,4
16652,10.0,1
16989,10.0,337
17489,0.0,500
17543,10.0,54
17545,10.0,2
17556,10.0,11
17870,10.0,314
18108,10.0,238
18126,10.0,18
18178,10.0,52
18511,10.0,333
18512,10.0,1
18566,10.0,54
18596,10.0,30
19096,0.0,500
19133,10.0,37
19134,10.0,1
19196,10.0,62
19696,0.0,500
20196,0.0,500
20267,10.0,71
20767,0.0,500
21123,10.0,356
21214,10.0,91
21714,0.0,500
21715,10.0,1
21740,10.0,25
22240,0.0,500
22565,10.0,325
22566,10.0,1
22941,10.0,375
23218,10.0,277
23718,0.0,500
23989,10.0,271
23990,10.0,1
24118,10.0,128
24618,0.0,500
24623,10.0,5
25123,0.0,500
25228,10.0,105
25228,0,0
25250,10.0,22
25397,10.0,147
25407,10.0,10
25407,0,0
25637,10.0,230
25640,10.0,3
26140,0.0,500
26640,0.0,500
27140,0.0,500
27640,0.0,500
28140,0.0,500
28640,0.0,500
28655,10.0,15
29155,0.0,500
29655,0.0,500
29718,10.0,63
29719,10.0,1
30219,0.0,500
