steps,rate_target_reached
38658,0.24
80271,0.18
120702,0.21
156295,0.32
194133,0.29
225536,0.41
255673,0.46
285707,0.44
311401,0.55
335782,0.57
356584,0.64
379106,0.6
397103,0.75
414974,0.7
432788,0.7
442945,0.87
454172,0.83
465628,0.86
475896,0.84
486149,0.87
493125,0.93
505340,0.83
510344,0.97
517580,0.91
523974,0.95
531453,0.93
538684,0.93
544999,0.92
547807,0.99
554820,0.95
560729,0.93
566312,0.95
571294,0.96
577233,0.95
581292,0.98
587920,0.93
594269,0.95
599030,0.95
604846,0.93
608896,0.99
614782,0.94
619355,0.97
625363,0.94
630049,0.97
634796,0.97
639260,0.98
644158,0.98
648900,0.96
652701,0.97
655454,0.99
659977,0.96
663718,0.97
668045,0.96
670594,0.99
673754,0.99
676185,1.0
677756,1.0
682599,0.95
685617,0.99
688671,0.99
690644,1.0
693971,0.97
696566,0.99
699888,0.98
703695,0.98
707215,0.98
711731,0.98
715871,0.97
720121,0.98
721881,1.0
724854,1.0
727180,1.0
728841,1.0
732824,0.97
736296,0.98
739743,0.97
741831,1.0
744675,0.98
746800,0.99
749167,0.99
751181,1.0
752721,1.0
755853,0.98
758888,0.98
760882,1.0
763353,1.0
765450,1.0
766992,1.0
769141,0.99
771389,1.0
772886,1.0
774779,1.0
777840,0.99
779498,1.0
781192,1.0
785165,0.97
787187,0.99
788754,1.0
790559,1.0
793057,0.99
794367,1.0
797291,0.99
798578,1.0
800508,0.99
802145,1.0
804317,0.99
806854,1.0
808967,1.0
811998,0.98
813585,1.0
816230,0.99
818301,1.0
820675,1.0
825278,0.96
826823,1.0
828397,1.0
829868,1.0
831682,0.99
835204,0.96
836698,1.0
839161,1.0
840721,1.0
842696,0.99
845025,0.99
846837,1.0
848296,1.0
850726,0.99
852485,0.99
853754,1.0
856064,1.0
857784,1.0
860078,0.99
862295,0.99
865077,0.98
867465,0.99
869357,1.0
870507,1.0
872074,1.0
874029,1.0
876040,0.99
877738,0.99
879327,1.0
882034,0.98
883938,1.0
885722,1.0
887993,0.99
889351,1.0
890725,1.0
892251,1.0
894046,1.0
895352,1.0
896526,1.0
898866,0.99
901233,1.0
902834,1.0
904557,1.0
906108,1.0
907390,1.0
909391,1.0
911575,1.0
913193,1.0
914743,1.0
916367,1.0
917761,1.0
919405,1.0
921003,1.0
922593,1.0
923976,1.0
925866,0.99
927143,1.0
928698,1.0
930000,1.0
931266,1.0
932761,1.0
933907,1.0
936078,1.0
938275,1.0
939976,0.99
941237,1.0
942443,1.0
944328,0.99
945761,1.0
947893,0.99
949213,1.0
950566,1.0
952633,1.0
953709,1.0
955037,1.0
956323,1.0
957321,1.0
958304,1.0
960175,0.99
964887,0.93
966251,1.0
967508,1.0
968868,1.0
970424,1.0
972263,1.0
973555,1.0
975049,1.0
976192,1.0
977548,1.0
979559,1.0
980844,1.0
982382,1.0
983696,1.0
989495,0.91
990654,1.0
992025,1.0
993633,0.99
995168,1.0
996823,1.0
998753,0.99
1000333,1.0
1001464,1.0
1003143,0.99
1004819,0.99
1005938,1.0
1008653,0.98
1009813,1.0
1011300,1.0
1012395,1.0
1013503,1.0
1014797,1.0
1016059,1.0
1017466,1.0
1019108,0.99
1020270,1.0
1021954,0.99
1023298,1.0
1024459,1.0
1026074,1.0
1027704,0.99
1028819,1.0
1030183,1.0
1031413,1.0
1033782,0.98
1035222,1.0
1036406,1.0
1041955,0.92
1043044,1.0
1044770,0.99
1046210,1.0
1047430,1.0
1049047,1.0
1050783,0.99
1052084,1.0
1053198,1.0
1054964,0.99
1056407,1.0
1057666,1.0
1059820,0.99
1060851,1.0
1061976,1.0
1063636,0.99
1065675,0.99
1067637,0.99
1069240,1.0
1070478,1.0
1071727,1.0
1072952,1.0
1074646,1.0
1076054,1.0
1077338,1.0
1078647,1.0
1079868,1.0
1080835,1.0
1082144,1.0
1083345,1.0
1084529,1.0
1085590,1.0
1087115,0.99
1088259,1.0
1089568,1.0
1090829,1.0
1092106,1.0
1093184,1.0
1094633,1.0
1095874,1.0
1097457,1.0
1098607,1.0
1099826,1.0
1100934,1.0
1102570,1.0
1104329,0.99
1105498,1.0
1106705,1.0
1107826,1.0
1108996,1.0
1110220,1.0
1111883,1.0
1113643,0.99
1114823,1.0
1116056,1.0
1117142,1.0
1119050,1.0
1120192,1.0
1121375,1.0
1122519,1.0
1123640,1.0
1125271,1.0
1126660,1.0
1127726,1.0
1129272,1.0
1131930,0.97
1133193,1.0
1134340,1.0
1135554,1.0
1137065,0.99
1138151,1.0
1139224,1.0
1140621,1.0
1141918,1.0
1143106,1.0
1146308,0.96
1147380,1.0
1148999,0.99
1150297,1.0
1151386,1.0
1152742,1.0
1153990,1.0
1155470,1.0
1156600,1.0
1158257,0.99
1159427,1.0
1160642,1.0
1161837,1.0
1163088,1.0
1164200,1.0
1165383,1.0
1166459,1.0
1167747,1.0
1168834,1.0
1169909,1.0
1171118,1.0
1172243,1.0
1173363,1.0
1174527,1.0
1175646,1.0
1177508,0.99
1178731,1.0
1179853,1.0
1181601,0.99
1183168,1.0
1184360,1.0
1185607,1.0
1186892,1.0
1188067,1.0
1189303,1.0
1190468,1.0
1191600,1.0
1192915,1.0
1195176,0.98
1196295,1.0
1198050,0.99
1199257,1.0
1200402,1.0
1201462,1.0
1202843,1.0
1204491,0.99
1205592,1.0
1206771,1.0
1208056,1.0
1209074,1.0
1210157,1.0
1211303,1.0
1212387,1.0
1213710,1.0
1214886,1.0
1216006,1.0
1217171,1.0
1218503,1.0
1219840,1.0
1221000,1.0
1222064,1.0
1223309,1.0
1224555,1.0
1225915,1.0
1227024,1.0
1228120,1.0
1229266,1.0
1230283,1.0
1231455,1.0
1232522,1.0
1233776,1.0
1234875,1.0
1235934,1.0
1237074,1.0
1238255,1.0
1239397,1.0
1240807,1.0
1242170,1.0
1243336,1.0
1244430,1.0
1246008,0.99
1247286,1.0
1249133,0.99
1250243,1.0
1251436,1.0
1252565,1.0
1254743,0.99
1255943,1.0
1256987,1.0
1258116,1.0
1259212,1.0
1260519,1.0
1261569,1.0
1262603,1.0
1263618,1.0
1264826,1.0
1265985,1.0
1267010,1.0
1268169,1.0
1269386,1.0
1270933,1.0
1272449,0.99
1273744,1.0
1274805,1.0
1275967,1.0
1277143,1.0
1278255,1.0
1279277,1.0
1280725,1.0
1283362,0.97
1284385,1.0
1285508,1.0
1287116,0.99
1288245,1.0
1293283,0.92
1294327,1.0
1295415,1.0
1296493,1.0
1297562,1.0
1298754,1.0
1299894,1.0
1301070,1.0
1302107,1.0
1303165,1.0
1304224,1.0
1305270,1.0
1306397,1.0
1308036,0.99
1309718,0.99
1310749,1.0
1311979,1.0
1313057,1.0
1314276,1.0
1315359,1.0
1316350,1.0
1317346,1.0
1318397,1.0
1319637,1.0
1321289,0.99
1322304,1.0
1325609,0.96
1327233,0.99
1328261,1.0
1329374,1.0
1330922,0.99
1332009,1.0
1333239,1.0
1335931,0.97
1337452,1.0
1338577,1.0
1339586,1.0
1340528,1.0
1341517,1.0
1342503,1.0
1343601,1.0
1344743,1.0
1345913,1.0
1347072,1.0
1348132,1.0
1349183,1.0
1350591,1.0
1351690,1.0
1353008,1.0
1354102,1.0
1355348,1.0
1356464,1.0
1357815,1.0
1359122,1.0
1360339,1.0
1361399,1.0
1362560,1.0
1363704,1.0
1364642,1.0
1365827,1.0
1366889,1.0
1367957,1.0
1369083,1.0
1370375,1.0
1371376,1.0
1372483,1.0
1373679,1.0
1375236,0.99
1376320,1.0
1377335,1.0
1378390,1.0
1379450,1.0
1380556,1.0
1381589,1.0
1382678,1.0
1383773,1.0
1384915,1.0
1385956,1.0
1386986,1.0
1388150,1.0
1389266,1.0
1390267,1.0
1391539,1.0
1392671,1.0
1393935,1.0
1395043,1.0
1396083,1.0
1397616,0.99
1399689,0.98
1400841,1.0
1401955,1.0
1403037,1.0
1404084,1.0
1405064,1.0
1406103,1.0
1407146,1.0
1409015,0.99
1410146,1.0
1411349,1.0
1412706,1.0
1413746,1.0
1414942,1.0
1416004,1.0
1417262,1.0
1418485,1.0
1419530,1.0
1420723,1.0
1421752,1.0
1422804,1.0
1424052,1.0
1425101,1.0
1426187,1.0
1427416,1.0
1428466,1.0
1429572,1.0
1430726,1.0
1431715,1.0
1432838,1.0
1433896,1.0
1435048,1.0
1436288,1.0
1437353,1.0
1438433,1.0
1439665,1.0
1440688,1.0
1441700,1.0
1442738,1.0
1443785,1.0
1444812,1.0
1445810,1.0
1446871,1.0
1448431,0.99
1449549,1.0
1450603,1.0
1451607,1.0
1452751,1.0
1453865,1.0
1454938,1.0
1456085,1.0
1457088,1.0
1458162,1.0
1459117,1.0
1460100,1.0
1461298,1.0
1462809,0.99
1463839,1.0
1465379,0.99
1466549,1.0
1468077,0.99
1469253,1.0
1470569,1.0
1475183,0.93
1476357,1.0
1477493,1.0
1478719,1.0
1480045,1.0
1481072,1.0
1482210,1.0
1483316,1.0
1484737,1.0
1485743,1.0
1486855,1.0
1487840,1.0
1488912,1.0
1489919,1.0
1490983,1.0
1491997,1.0
1493118,1.0
1494527,1.0
1495812,1.0
1496837,1.0
1497832,1.0
1498853,1.0
1499904,1.0
1501624,0.99
1502752,1.0
1503796,1.0
1504835,1.0
1505903,1.0
1506943,1.0
1508079,1.0
1509185,1.0
1510713,0.99
1511969,1.0
1512981,1.0
1514008,1.0
1515187,1.0
1516208,1.0
1517218,1.0
1520308,0.96
1521451,1.0
1522486,1.0
1523556,1.0
1524642,1.0
1526130,0.99
1527247,1.0
1528473,1.0
1530187,0.99
1531663,0.99
1532702,1.0
1535284,0.97
1536459,1.0
1537483,1.0
1538512,1.0
1539472,1.0
1540633,1.0
1541798,1.0
1543196,1.0
1544142,1.0
1545089,1.0
1546198,1.0
1547213,1.0
1548305,1.0
1549323,1.0
1550511,1.0
1551629,1.0
1552658,1.0
1553645,1.0
1554734,1.0
1555818,1.0
1556820,1.0
1557910,1.0
1559131,1.0
1560311,1.0
1561424,1.0
1562650,1.0
1563722,1.0
1564772,1.0
1565985,1.0
1567059,1.0
1568026,1.0
1569019,1.0
1570058,1.0
1571745,0.99
1572810,1.0
1573918,1.0
1574892,1.0
1575995,1.0
1577040,1.0
1578141,1.0
1579142,1.0
1580146,1.0
1581360,1.0
1582382,1.0
1583351,1.0
1584319,1.0
1585464,1.0
1586569,1.0
1587627,1.0
1588614,1.0
1589633,1.0
1590727,1.0
1591835,1.0
1592820,1.0
1593880,1.0
1594894,1.0
1596409,0.99
1597398,1.0
1598263,1.0
1599350,1.0
1600601,1.0
1601650,1.0
1602748,1.0
1603796,1.0
1605231,0.99
1606405,1.0
1607377,1.0
1608369,1.0
1609395,1.0
1610537,1.0
1611682,1.0
1612702,1.0
1613987,1.0
1615035,1.0
1616108,1.0
1617114,1.0
1618200,1.0
1619251,1.0
1620250,1.0
1621382,1.0
1622454,1.0
1623510,1.0
1624562,1.0
1625572,1.0
1626786,1.0
1627956,1.0
1628933,1.0
1630010,1.0
1631094,1.0
1632114,1.0
1636912,0.93
1637915,1.0
1639059,1.0
1640104,1.0
1641226,1.0
1642567,1.0
1646563,0.94
1647570,1.0
1648521,1.0
1652779,0.94
1653854,1.0
1654988,1.0
1656135,1.0
1657189,1.0
1658235,1.0
1659264,1.0
1660395,1.0
1661427,1.0
1662416,1.0
1663488,1.0
1664593,1.0
1665687,1.0
1666764,1.0
1667718,1.0
1668766,1.0
1669769,1.0
1670796,1.0
1671802,1.0
1672878,1.0
1673885,1.0
1675486,0.99
1676511,1.0
1677633,1.0
1678702,1.0
1679703,1.0
1680778,1.0
1681869,1.0
1682899,1.0
1683939,1.0
1685004,1.0
1686157,1.0
1687427,1.0
1688476,1.0
1689607,1.0
1690769,1.0
1691888,1.0
1692903,1.0
1693994,1.0
1695072,1.0
1696002,1.0
1697522,0.99
1698530,1.0
1699699,1.0
1700753,1.0
1701881,1.0
1703021,1.0
1703961,1.0
1705042,1.0
1706080,1.0
1707141,1.0
1708244,1.0
1709254,1.0
1710183,1.0
1711220,1.0
1712253,1.0
1715356,0.96
1716403,1.0
1717446,1.0
1718582,1.0
1719625,1.0
1720825,1.0
1721974,1.0
1723182,1.0
1727770,0.94
1728777,1.0
1729913,1.0
1730992,1.0
1732052,1.0
1734288,0.98
1735465,1.0
1737045,0.99
1738101,1.0
1739705,0.99
1740773,1.0
1742438,0.99
1743451,1.0
1744622,1.0
1745616,1.0
1746774,1.0
1747787,1.0
1748904,1.0
1750241,1.0
1751275,1.0
1752317,1.0
1753243,1.0
1754387,1.0
1755412,1.0
1756525,1.0
1757509,1.0
1758543,1.0
1759489,1.0
1760484,1.0
1761575,1.0
1762757,1.0
1763812,1.0
1764954,1.0
1766106,1.0
1767200,1.0
1768282,1.0
1769377,1.0
1770424,1.0
1771470,1.0
1772555,1.0
1773659,1.0
1774623,1.0
1775834,1.0
1776834,1.0
1777869,1.0
1778974,1.0
1780078,1.0
1781271,1.0
1782466,1.0
1783438,1.0
1784585,1.0
1785792,1.0
1786801,1.0
1787828,1.0
1789898,0.98
1790963,1.0
1792054,1.0
1793142,1.0
1794124,1.0
1795127,1.0
1796142,1.0
1797147,1.0
1798121,1.0
1799153,1.0
1800170,1.0
1801135,1.0
1802241,1.0
1803202,1.0
1804287,1.0
1805207,1.0
1806235,1.0
1807255,1.0
1808255,1.0
1809480,1.0
1810541,1.0
1811530,1.0
1812567,1.0
1813605,1.0
1814740,1.0
1817344,0.98
1818424,1.0
1819540,1.0
1820588,1.0
1821524,1.0
1822496,1.0
1824062,0.99
1825094,1.0
1826166,1.0
1827121,1.0
1828138,1.0
1829225,1.0
1830230,1.0
1831247,1.0
1832247,1.0
1833312,1.0
1834304,1.0
1835375,1.0
1836317,1.0
1837439,1.0
1838603,1.0
1839611,1.0
1840621,1.0
1841711,1.0
1842739,1.0
1843742,1.0
1844780,1.0
1845911,1.0
1846954,1.0
1848040,1.0
1849006,1.0
1850139,1.0
1851086,1.0
1852084,1.0
1853098,1.0
1854110,1.0
1855111,1.0
1856202,1.0
1857244,1.0
1858222,1.0
1859248,1.0
1860223,1.0
1861291,1.0
1862340,1.0
1863300,1.0
1864319,1.0
1865418,1.0
1866354,1.0
1867366,1.0
1868381,1.0
1869374,1.0
1870377,1.0
1871438,1.0
1872444,1.0
1873469,1.0
1874521,1.0
1875554,1.0
1876580,1.0
1877602,1.0
1878533,1.0
1879525,1.0
1880577,1.0
1881603,1.0
1882598,1.0
1883676,1.0
1884673,1.0
1885682,1.0
1887242,0.99
1888151,1.0
1889187,1.0
1890150,1.0
1891175,1.0
1892147,1.0
1893208,1.0
1894190,1.0
1895132,1.0
1896194,1.0
1897208,1.0
1898429,1.0
1899354,1.0
1900357,1.0
1901432,1.0
1902449,1.0
1903506,1.0
1904539,1.0
1905518,1.0
1906608,1.0
1907606,1.0
1908656,1.0
1909537,1.0
1910510,1.0
1911517,1.0
1912444,1.0
1913461,1.0
1914737,1.0
1915659,1.0
1916654,1.0
1917787,1.0
1918823,1.0
1919906,1.0
1920866,1.0
1921846,1.0
1922946,1.0
1923881,1.0
1925154,1.0
1926224,1.0
1927263,1.0
1928386,1.0
1929360,1.0
1930388,1.0
1931324,1.0
1932297,1.0
1933409,1.0
1934383,1.0
1935511,1.0
1936586,1.0
1937652,1.0
1938612,1.0
1939633,1.0
1940628,1.0
1941673,1.0
1942741,1.0
1943768,1.0
1944777,1.0
1945821,1.0
1946791,1.0
1947927,1.0
1948864,1.0
1949861,1.0
1950832,1.0
1951796,1.0
1952828,1.0
1954141,1.0
1955100,1.0
1956160,1.0
1957167,1.0
1958208,1.0
1959229,1.0
1960331,1.0
1961369,1.0
1962361,1.0
1963347,1.0
1966840,0.95
1967864,1.0
1968956,1.0
1969978,1.0
1971014,1.0
1971962,1.0
1973025,1.0
1973944,1.0
1974970,1.0
1975973,1.0
1976981,1.0
1977943,1.0
1978905,1.0
1979861,1.0
1980928,1.0
1982293,1.0
1983302,1.0
1984322,1.0
1985311,1.0
1986269,1.0
1987265,1.0
1988248,1.0
1989246,1.0
1990273,1.0
1991337,1.0
1992413,1.0
1993424,1.0
1994407,1.0
1995497,1.0
1996523,1.0
1997598,1.0
1998640,1.0
1999641,1.0
2000619,1.0
2001624,1.0
2002600,1.0
2003695,1.0
2004835,1.0
2005863,1.0
2006833,1.0
2007834,1.0
2008820,1.0
2009819,1.0
2010833,1.0
2011836,1.0
2012865,1.0
2013865,1.0
2014874,1.0
2015965,1.0
2017006,1.0
2018077,1.0
2019102,1.0
2020127,1.0
2021169,1.0
2022143,1.0
2024189,0.98
2025266,1.0
2026189,1.0
2027167,1.0
2028169,1.0
2029076,1.0
2030076,1.0
2031015,1.0
2031953,1.0
2032943,1.0
2033945,1.0
2034980,1.0
2037022,0.98
2038052,1.0
2039004,1.0
2040086,1.0
2041170,1.0
2042183,1.0
2043163,1.0
2044148,1.0
2045103,1.0
2046135,1.0
2047178,1.0
2048183,1.0
2049119,1.0
2050144,1.0
2051092,1.0
2052152,1.0
2053101,1.0
2054239,1.0
2055222,1.0
2056186,1.0
2057205,1.0
2058140,1.0
2059193,1.0
2060210,1.0
2061177,1.0
2062229,1.0
2063223,1.0
2064173,1.0
2065273,1.0
2066231,1.0
2067246,1.0
2068264,1.0
2069252,1.0
2070272,1.0
2071277,1.0
2072308,1.0
2073399,1.0
2074427,1.0
2075607,1.0
2076583,1.0
2077607,1.0
2078566,1.0
2079655,1.0
2080561,1.0
2081578,1.0
2082580,1.0
2083507,1.0
2084488,1.0
2085517,1.0
2086522,1.0
2087486,1.0
2088559,1.0
2089498,1.0
2090466,1.0
2091410,1.0
2092301,1.0
2093409,1.0
2098021,0.93
2099144,1.0
2100185,1.0
2101190,1.0
2102129,1.0
2103139,1.0
2103999,1.0
2105011,1.0
2106335,1.0
2107444,1.0
2108487,1.0
2109492,1.0
2110430,1.0
2111930,0.99
2112984,1.0
2113978,1.0
2114990,1.0
2115917,1.0
2116950,1.0
2117947,1.0
2118877,1.0
2119828,1.0
2120836,1.0
2122380,1.0
2123445,1.0
2124425,1.0
2125448,1.0
2126418,1.0
2127452,1.0
2128490,1.0
2129489,1.0
2130519,1.0
2131448,1.0
2132480,1.0
2133431,1.0
2134445,1.0
2135490,1.0
2136475,1.0
2137918,0.99
2138909,1.0
2139815,1.0
2140830,1.0
2141718,1.0
2142843,1.0
2144005,1.0
2144906,1.0
2145848,1.0
2146799,1.0
2147743,1.0
2148629,1.0
2149655,1.0
2150669,1.0
2151933,1.0
2152835,1.0
2153857,1.0
2154829,1.0
2155770,1.0
2156691,1.0
2157646,1.0
2158631,1.0
2159567,1.0
2160554,1.0
2161570,1.0
2162500,1.0
2163538,1.0
2164473,1.0
2165416,1.0
2166512,1.0
2167532,1.0
2168473,1.0
2169537,1.0
2170531,1.0
2171526,1.0
2174482,0.96
2175425,1.0
2176416,1.0
2177342,1.0
2178385,1.0
2179334,1.0
2180385,1.0
2181336,1.0
2182761,0.99
2183705,1.0
2184750,1.0
2185798,1.0
2186823,1.0
2187790,1.0
2188906,1.0
2189964,1.0
2190968,1.0
2191911,1.0
2192877,1.0
2193813,1.0
2194836,1.0
2195888,1.0
2196913,1.0
2197950,1.0
2198915,1.0
2199871,1.0
2200946,1.0
2202008,1.0
2202910,1.0
2203862,1.0
2204790,1.0
2206184,0.99
2207208,1.0
2208136,1.0
2209136,1.0
2210157,1.0
2211201,1.0
2212204,1.0
2213198,1.0
2217237,0.94
2218310,1.0
2219255,1.0
2220237,1.0
2221222,1.0
2222196,1.0
2223085,1.0
2224033,1.0
2225128,1.0
2226037,1.0
2227000,1.0
2228052,1.0
2228997,1.0
2229918,1.0
2230983,1.0
2231966,1.0
2233028,1.0
2234062,1.0
2235057,1.0
2236146,1.0
2238131,0.98
2239134,1.0
2240066,1.0
2241241,1.0
2242147,1.0
2243187,1.0
2244173,1.0
2245334,1.0
2246378,1.0
2247364,1.0
2248391,1.0
2249795,0.99
2250797,1.0
2251750,1.0
2252649,1.0
2253651,1.0
2254618,1.0
2255584,1.0
2256627,1.0
2257591,1.0
2258615,1.0
2259670,1.0
2260712,1.0
2261791,1.0
2262790,1.0
2263808,1.0
2265422,0.99
2269455,0.94
2270355,1.0
2271225,1.0
2272189,1.0
2273152,1.0
2274023,1.0
2275058,1.0
2276138,1.0
2277169,1.0
2278126,1.0
2279141,1.0
2280136,1.0
2281161,1.0
2282176,1.0
2283072,1.0
2284042,1.0
2285099,1.0
2286105,1.0
2287119,1.0
2288143,1.0
2289215,1.0
2290135,1.0
2291094,1.0
2292061,1.0
2293086,1.0
2294116,1.0
2295052,1.0
2296025,1.0
2297037,1.0
2298026,1.0
2298995,1.0
2300012,1.0
2301198,1.0
2302263,1.0
2303249,1.0
2304291,1.0
2305272,1.0
2306241,1.0
2307232,1.0
2308205,1.0
2309127,1.0
2310676,0.99
2311703,1.0
2312777,1.0
2313796,1.0
2314717,1.0
2315579,1.0
2316545,1.0
2317487,1.0
2318459,1.0
2319574,1.0
2320569,1.0
2321546,1.0
2323531,0.98
2324500,1.0
2325478,1.0
2326404,1.0
2327856,0.99
2328862,1.0
2329808,1.0
2330748,1.0
2331773,1.0
2332853,1.0
2333805,1.0
2334809,1.0
2335764,1.0
2336829,1.0
2337726,1.0
2338887,1.0
2339896,1.0
2340970,1.0
2341875,1.0
2342923,1.0
2343966,1.0
2344926,1.0
2345954,1.0
2346895,1.0
2347828,1.0
2348734,1.0
2349769,1.0
2350723,1.0
2351594,1.0
2352566,1.0
2354062,0.99
2354955,1.0
2355861,1.0
2356854,1.0
2357823,1.0
2358780,1.0
2359775,1.0
2360698,1.0
2361646,1.0
2362709,1.0
2363688,1.0
2364653,1.0
2365525,1.0
2366426,1.0
2367373,1.0
2368402,1.0
2369423,1.0
2370309,1.0
2371257,1.0
2372281,1.0
2373239,1.0
2374187,1.0
2375080,1.0
2376038,1.0
2377005,1.0
2377929,1.0
2378857,1.0
2379822,1.0
2380691,1.0
2381665,1.0
2382617,1.0
2383589,1.0
2384569,1.0
2385545,1.0
2386574,1.0
2387731,1.0
2388682,1.0
2389780,1.0
2390737,1.0
2391647,1.0
2392609,1.0
2393707,1.0
2394674,1.0
2395741,1.0
2396655,1.0
2397694,1.0
2398623,1.0
2399560,1.0
2400537,1.0
2401549,1.0
2402461,1.0
2403491,1.0
2404514,1.0
2405471,1.0
2406417,1.0
2407393,1.0
2408342,1.0
2409364,1.0
2410281,1.0
2411229,1.0
2412101,1.0
2413230,1.0
2414212,1.0
2415151,1.0
2416132,1.0
2417120,1.0
2418111,1.0
2419105,1.0
2420051,1.0
2421060,1.0
2422094,1.0
2423043,1.0
2424017,1.0
2424975,1.0
2426005,1.0
2426978,1.0
2427878,1.0
2428787,1.0
2429761,1.0
2430736,1.0
2431784,1.0
2432679,1.0
2433628,1.0
2434536,1.0
2435510,1.0
2436519,1.0
2437567,1.0
2438387,1.0
2439382,1.0
2440305,1.0
2441315,1.0
2442257,1.0
2443162,1.0
2444123,1.0
2445186,1.0
2446220,1.0
2447177,1.0
2448143,1.0
2449056,1.0
2450003,1.0
2450964,1.0
2451945,1.0
2452956,1.0
2453888,1.0
2454866,1.0
2455885,1.0
2456828,1.0
2457721,1.0
2458597,1.0
2459637,1.0
2461050,0.99
2462024,1.0
2463062,1.0
2463962,1.0
2464863,1.0
2465809,1.0
2466782,1.0
2467780,1.0
2468656,1.0
2469962,1.0
2470829,1.0
2471790,1.0
2472852,1.0
2473788,1.0
2475202,0.99
2476209,1.0
2477165,1.0
2478052,1.0
2479041,1.0
2480003,1.0
2480968,1.0
2481970,1.0
2482868,1.0
2483852,1.0
2484769,1.0
2485690,1.0
2486611,1.0
2487726,1.0
2488641,1.0
2489555,1.0
2490517,1.0
2491456,1.0
2492474,1.0
2493427,1.0
2494300,1.0
2495228,1.0
2496165,1.0
2497084,1.0
2498077,1.0
2499102,1.0
2499978,1.0
2500912,1.0
2501899,1.0
2502832,1.0
2503864,1.0
2504810,1.0
2505820,1.0
2506763,1.0
2507726,1.0
2508754,1.0
2509756,1.0
2510656,1.0
2511614,1.0
2512512,1.0
2513443,1.0
2514337,1.0
2515297,1.0
2516270,1.0
2517238,1.0
2518221,1.0
2519239,1.0
2520288,1.0
2521219,1.0
2522200,1.0
2523208,1.0
2524181,1.0
2525093,1.0
2526013,1.0
2526946,1.0
2527919,1.0
2528808,1.0
2529814,1.0
2530769,1.0
2531721,1.0
2532655,1.0
2533552,1.0
2534449,1.0
2535358,1.0
2536282,1.0
2537246,1.0
2538201,1.0
2539146,1.0
2540139,1.0
2541074,1.0
2541972,1.0
2542936,1.0
2543856,1.0
2544825,1.0
2545800,1.0
2546800,1.0
