steps,rate_target_reached
37777,0.26
82834,0.11
123445,0.2
165451,0.17
206788,0.19
251489,0.11
293215,0.19
332277,0.24
371667,0.22
411894,0.21
453071,0.18
493604,0.2
534244,0.2
575137,0.19
615176,0.23
654788,0.22
695442,0.2
734574,0.23
773338,0.25
815696,0.16
857462,0.2
894733,0.27
934436,0.21
973206,0.23
1010559,0.28
1048173,0.28
1090322,0.18
1131820,0.2
1169152,0.27
1205715,0.29
1242138,0.29
1282112,0.23
1321509,0.24
1362801,0.18
1397093,0.33
1437786,0.2
1478424,0.2
1516082,0.28
1555459,0.24
1591359,0.3
1626052,0.35
1661005,0.33
1694746,0.37
1726627,0.41
1756296,0.45
1783778,0.53
1816816,0.38
1843547,0.51
1868143,0.56
1889768,0.6
1906772,0.73
1925732,0.68
1940012,0.79
1953789,0.81
1965339,0.82
1976811,0.85
1987923,0.84
2000265,0.82
2010769,0.84
2019959,0.89
2027919,0.89
2034883,0.92
2040884,0.92
2048856,0.9
2057355,0.88
2062591,0.94
2071742,0.86
2077266,0.95
2085114,0.9
2092553,0.91
2097212,0.95
2105087,0.89
2108202,0.97
2114167,0.92
2118845,0.96
2122181,0.96
2126427,0.96
2129454,0.99
2133377,0.97
2139152,0.92
2144906,0.93
2147539,0.98
2149853,0.99
2153407,0.96
2157250,0.97
2160312,0.98
2162380,1.0
2169227,0.91
2174101,0.96
2177091,0.97
2181304,0.96
2184821,0.98
2188910,0.98
2191919,0.99
2194065,0.99
2196367,0.99
2198558,0.99
2201081,0.99
2205709,0.97
2209140,0.98
2213664,0.95
2217711,0.96
2222972,0.94
2226330,0.99
2230540,0.97
2234962,0.97
2241472,0.93
2246625,0.96
2250737,0.99
2257347,0.92
2261095,0.97
2263824,0.99
2269438,0.93
2273168,0.98
2275582,1.0
2278441,0.99
2282283,0.98
2287449,0.96
2292489,0.95
2296647,0.98
2300114,0.97
2303129,0.98
2308225,0.96
2312294,0.97
2316495,0.96
2320179,0.97
2323391,0.99
2327369,0.97
2333575,0.94
2340747,0.93
2343789,0.99
2347535,0.99
2351835,0.98
2357112,0.96
2360797,0.98
2363337,0.99
2366309,0.99
2372052,0.93
2376809,0.95
2380848,0.98
2386639,0.95
2389865,0.98
2395736,0.96
2399953,0.99
2403523,0.99
2406939,0.99
2410476,0.99
2413879,0.98
2418766,0.95
2425374,0.94
2429376,0.97
2432246,0.99
2436373,0.96
2441912,0.96
2446166,0.98
2448804,1.0
2455420,0.94
2458787,0.98
2464316,0.95
2467014,0.99
2469642,1.0
2471810,1.0
2475303,0.98
2479295,0.97
2484150,0.96
2487697,0.96
2490501,0.98
2492577,1.0
2496981,0.97
2499123,1.0
2502505,0.98
2504941,1.0
2508579,0.98
2511338,0.98
2514290,0.98
2517301,0.98
2519647,1.0
2522164,0.99
2526334,0.96
2529141,0.99
2531799,0.99
2534287,0.99
2536645,0.99
2539471,0.98
2541617,1.0
2544106,1.0
2546078,1.0
2548360,0.99
2551548,0.98
2554543,0.98
2557622,1.0
2562178,0.97
2564454,0.99
2566956,0.99
2570209,0.97
2573449,0.98
2575237,1.0
2578126,0.99
2580768,0.99
2583464,0.99
2588088,0.94
2590049,1.0
2593509,0.97
2595614,1.0
2597826,1.0
2600417,0.99
2605538,0.93
2607752,1.0
2611337,0.97
2613827,0.99
2616985,0.98
2619825,0.98
2621774,1.0
2623601,1.0
2625232,1.0
2627278,0.99
2630530,0.97
2632772,0.99
2635456,0.98
2638518,0.99
2643008,0.95
2646534,0.96
2650411,0.97
2652264,0.99
2654318,0.99
2656675,0.99
2658250,1.0
2660772,0.99
2662635,0.99
2664583,0.99
2665823,1.0
2668745,0.98
2671270,0.99
2673661,0.99
2675684,0.99
2678257,0.99
2680414,0.99
2682165,1.0
2684152,1.0
2685695,1.0
2692304,0.92
2695649,0.97
2697658,0.99
2704402,0.9
2705999,1.0
2708055,0.99
2711027,0.98
2713888,0.97
2716289,0.99
2718191,0.99
2719992,1.0
2721955,0.99
2723586,1.0
2725751,0.99
2728182,0.99
