steps,rate_target_reached
39459,0.23
79690,0.21
122156,0.17
161606,0.28
199281,0.28
242691,0.19
286976,0.16
328832,0.21
371799,0.17
414841,0.18
459415,0.14
501135,0.18
546735,0.11
591271,0.14
634579,0.16
674367,0.24
716975,0.18
762191,0.14
804642,0.19
846356,0.23
886224,0.26
931866,0.14
974047,0.2
1018309,0.15
1063994,0.11
1109420,0.12
1151094,0.22
1194882,0.16
1237050,0.19
1278943,0.22
1320795,0.19
1363187,0.18
1406199,0.2
1448445,0.2
1495728,0.1
1539459,0.15
1581765,0.21
1619834,0.29
1657162,0.3
1692517,0.36
1728187,0.33
1762630,0.36
1792845,0.46
1820253,0.54
1849238,0.5
1873611,0.58
1895220,0.65
1923271,0.5
1946747,0.61
1969322,0.62
1991048,0.64
2017054,0.56
2031408,0.78
2045411,0.82
2062334,0.72
2073804,0.85
2087828,0.77
2100246,0.83
2111843,0.84
2121898,0.88
2134264,0.84
2139779,0.94
2148862,0.9
2158222,0.9
2167281,0.88
2174806,0.92
2183560,0.9
2200790,0.72
2214770,0.78
2224576,0.87
2233134,0.9
2240522,0.93
2250210,0.88
2258866,0.88
2271038,0.82
2279274,0.9
2288621,0.89
2294836,0.95
2303836,0.89
2314855,0.88
2322427,0.93
2330197,0.93
2337359,0.94
2343073,0.97
2352256,0.9
2369163,0.73
2381691,0.82
2395337,0.8
2406215,0.88
2418756,0.83
2427495,0.89
2438391,0.86
2452657,0.79
2467332,0.78
2485428,0.73
2498751,0.84
2513764,0.8
2526491,0.83
2541167,0.79
2553998,0.84
2563676,0.9
2575266,0.88
2587044,0.85
2601331,0.8
2617630,0.76
2633400,0.78
2648568,0.76
2662882,0.81
2676564,0.81
2686799,0.87
2699531,0.82
2709002,0.9
2718721,0.92
2730567,0.83
2739115,0.94
2748451,0.91
2761988,0.81
2774466,0.82
2786961,0.85
2796948,0.88
2808722,0.87
2819713,0.87
2827425,0.94
2838627,0.87
2848024,0.89
2855344,0.95
2862651,0.93
2872410,0.92
2883218,0.9
2892102,0.93
2906076,0.85
2918550,0.85
2929029,0.9
2939159,0.87
2950078,0.88
2957954,0.93
2968226,0.91
2980544,0.85
2994074,0.84
3005374,0.88
3013164,0.93
3023516,0.89
3034101,0.86
3044954,0.89
3054993,0.9
3062277,0.95
3070746,0.93
3078655,0.95
3086539,0.93
3095347,0.92
3106612,0.87
3117880,0.91
3131258,0.85
3139332,0.95
3146563,0.94
3153170,0.96
3158170,0.99
3166888,0.92
3178385,0.86
3184917,0.95
3194752,0.91
3204225,0.92
3212813,0.92
3220302,0.95
3230669,0.89
3238381,0.93
3246030,0.96
3254758,0.92
3264042,0.95
3274312,0.88
3284379,0.9
3292132,0.94
3303322,0.87
3310422,0.94
3319440,0.92
3327333,0.96
3336243,0.9
3346295,0.9
3356800,0.91
3366946,0.91
3375591,0.92
3385605,0.91
3393269,0.95
3403533,0.9
3414189,0.87
3423034,0.93
3430752,0.94
3438659,0.95
3448297,0.93
3458372,0.92
3466553,0.96
3472983,0.96
3483954,0.92
3492178,0.93
3500645,0.94
3508585,0.94
3515375,0.97
3525362,0.92
3535221,0.93
3545585,0.9
3554676,0.9
3560583,0.98
3568633,0.98
3576093,0.95
3585797,0.91
3594677,0.92
3600789,0.96
3607921,0.98
3616604,0.93
3622352,0.98
3630167,0.97
3638264,0.95
3648222,0.9
3655857,0.95
3665305,0.94
3674423,0.94
3683745,0.94
3691808,0.92
3697812,0.98
3705356,0.96
3711499,0.98
3720964,0.92
3731355,0.9
3740669,0.93
3749660,0.95
3758729,0.92
3766389,0.95
3775256,0.94
3783253,0.94
3790878,0.96
3800555,0.92
3808439,0.97
3817170,0.96
3823947,0.99
3830871,0.98
3840446,0.92
3848540,0.95
3857742,0.95
3868516,0.9
3874818,0.98
3887051,0.87
3893049,0.98
3900707,0.96
3908123,0.96
3917763,0.91
3924239,1.0
3931854,0.94
3940289,0.95
3948591,0.93
3956982,0.93
3963200,0.99
3971335,0.94
3979699,0.94
3987948,0.95
3994882,0.98
4003263,0.96
4009798,0.98
4017350,0.97
4026121,0.95
4036819,0.92
4048645,0.87
4055810,0.98
4063150,0.97
4070204,0.96
4077318,0.97
4086261,0.93
4093580,0.97
4100855,0.97
