steps,rate_target_reached
29381,0.47
55644,0.54
81421,0.57
97764,0.75
111930,0.8
123945,0.85
134436,0.87
142925,0.9
151646,0.96
158401,0.93
162753,0.96
170692,0.93
176197,0.96
181250,0.96
185944,0.96
191007,0.97
195223,0.99
199369,0.96
202086,1.0
206237,0.98
208309,1.0
211173,0.99
214432,0.99
216757,1.0
218633,1.0
221928,0.99
225579,0.99
227888,1.0
234623,0.94
238401,0.99
242654,0.99
245228,0.99
249025,0.98
252405,0.99
255046,1.0
258150,0.99
261407,0.98
263733,1.0
265944,1.0
268109,1.0
271718,0.99
276680,0.95
