steps,reward,lenght
0,0,0
500,-94.61272252713185,500
526,9.426847723348288,26
694,-0.8048065569339133,168
750,8.807216634982218,56
758,9.83297790391332,8
1258,-132.46933361962553,500
1758,-209.55538438713833,500
1766,9.834475856943865,8
2266,-199.04550955753444,500
2766,-201.67408700347508,500
3266,-180.6325292056681,500
3268,9.975967235862326,2
3269,10.0,1
3460,-63.804787183787525,191
3960,-188.4260576396815,500
4460,-195.93449707823834,500
4960,-213.61714930792704,500
5460,-194.53086800272496,500
5960,-158.76305543029514,500
6010,8.827330860492367,50
6510,-105.36227151735382,500
7010,-106.89781291990684,500
7011,10.0,1
7029,9.422806559589482,18
7043,9.695173715482309,14
7059,9.673193641725689,16
7559,-97.29456266681683,500
8059,-126.6031921037763,500
8155,5.202669471801443,96
8655,-146.25506607108878,500
9155,-213.14610289260483,500
9282,-3.3277926175653167,127
9283,10.0,1
9613,-76.00070032253063,330
10113,-119.49688305208731,500
10170,2.9392481609342997,57
10670,-19.259959138950702,500
11170,-153.31109041030234,500
11670,-211.18704748988756,500
12170,-214.37384675074287,500
12670,-212.32691872071993,500
12671,10.0,1
13171,-17.010397363647616,500
13191,9.189354748493248,20
13192,10.0,1
13692,-29.759797840997912,500
14192,-118.93550953421646,500
14203,9.774034179718953,11
14703,-65.02226466753218,500
14762,8.760050920712182,59
14763,10.0,1
14764,10.0,1
14776,9.5386222433166,12
14777,10.0,1
14778,10.0,1
14971,2.4578585401379938,193
15039,7.024050861827556,68
15528,-38.933768466560856,489
16028,-49.34692715357755,500
16528,-137.18535601852582,500
17028,-59.6858740363386,500
17528,-45.15755628280258,500
18028,-44.62072944814622,500
18528,-30.089918329482202,500
18579,8.934267281975192,51
18583,9.931625571342558,4
19083,-25.627523889812007,500
19117,9.272923649875729,34
19617,-29.431437783962426,500
19739,6.791037378486104,122
20239,-29.31112517623772,500
20739,-30.241069897464897,500
21239,-39.25173020847348,500
21252,8.964685711906915,13
21380,-14.266435169758598,128
21880,-18.789956229440115,500
22380,-32.5928404459839,500
22431,8.915914846306014,51
22432,10.0,1
22932,-29.40886391005388,500
23432,-27.6714979735844,500
23443,7.70003678130716,11
23481,8.803956920402294,38
23981,-19.02032309557778,500
24391,-6.943454804931278,410
24891,-18.4148236631173,500
25391,-58.05951865741945,500
25426,8.901937206150894,35
25926,-61.358743263003056,500
26426,-19.306529744551163,500
26926,-25.474584419061298,500
27426,-62.9449194177357,500
27774,-132.2797785659488,348
27775,10.0,1
28275,-30.26086187158064,500
28775,-19.34296817285114,500
28780,9.936069186359687,5
29280,-18.655843425801997,500
29281,9.989312548235185,1
29282,9.996354839668212,1
29283,10.0,1
29714,-32.82701074710205,431
29726,9.439119588081414,12
29727,10.0,1
30227,-17.721551035970794,500
30727,-75.6416511967641,500
31227,-22.29687000696725,500
31247,9.636264274821182,20
31747,-16.396668874771724,500
31896,3.6239900226987105,149
31927,9.337409304240795,31
31966,9.048507655268006,39
31979,9.776532475284311,13
32479,-18.49042963879851,500
32979,-19.0612788192575,500
32980,10.0,1
33480,-38.79887175425721,500
33481,10.0,1
33981,-14.17989325052149,500
34481,-57.597501829783745,500
34502,9.457147681568214,21
34504,9.982197151318166,2
35004,-15.570457789526296,500
35063,8.863012266139213,59
35073,9.822536381280239,10
35136,0.25041979291428085,63
35636,-49.51826600295207,500
35637,10.0,1
36137,-15.583376259808533,500
36175,8.633584870753651,38
36675,-46.6673978832595,500
36680,9.92745988169174,5
36685,9.92068639788298,5
36775,6.272247228045934,90
36776,9.992111084753605,1
36800,8.677360164708436,24
36801,10.0,1
