steps,rate_target_reached
36282,0.28
71006,0.32
106293,0.33
145113,0.25
178561,0.38
217567,0.24
249930,0.38
279312,0.46
313182,0.36
344856,0.41
369657,0.55
394415,0.55
415318,0.66
433471,0.72
453095,0.69
466357,0.83
477317,0.85
490446,0.79
501480,0.86
512830,0.83
522468,0.87
530608,0.91
545065,0.77
554808,0.89
565949,0.86
578457,0.84
589663,0.87
600532,0.85
606605,0.94
614485,0.92
621160,0.94
629523,0.89
636813,0.9
640559,0.99
646179,0.96
652289,0.94
656569,0.97
659028,0.99
664383,0.96
669325,0.95
674023,0.96
679006,0.97
687592,0.91
693840,0.94
697948,0.97
702926,0.97
708111,0.96
711541,0.98
714422,0.99
720020,0.92
724645,0.96
728240,0.96
731735,0.98
735638,0.98
738310,0.99
741343,0.99
746705,0.94
749529,0.99
751859,1.0
755399,0.98
759202,0.96
764073,0.96
767983,0.96
769877,1.0
773131,0.98
777551,0.97
780310,0.99
783085,0.99
785774,0.98
789281,0.97
791932,1.0
794650,0.99
798493,0.97
801854,0.98
806359,0.96
810449,0.97
814596,0.96
816233,1.0
819522,0.98
823280,0.98
824845,1.0
828889,0.96
832766,0.96
834616,1.0
836877,0.99
839458,1.0
840826,1.0
843706,0.99
845215,1.0
847076,1.0
849534,0.99
852262,1.0
854501,0.99
857091,0.98
858700,1.0
861022,0.99
863511,1.0
866437,0.99
868067,1.0
871277,0.98
873352,0.99
875407,1.0
877507,1.0
879047,1.0
882281,0.98
885687,0.98
888476,0.99
890599,0.99
893968,0.97
896303,0.99
898404,1.0
901444,0.97
904010,0.99
906720,0.99
909417,0.98
911960,0.98
914629,0.98
916595,1.0
918593,0.99
920774,1.0
922750,1.0
924211,1.0
925891,1.0
928118,0.99
930006,1.0
933174,0.98
937215,0.96
939336,0.99
941012,1.0
942689,1.0
944498,1.0
946999,1.0
948998,0.99
952759,0.97
955530,0.99
957291,1.0
959250,1.0
961982,0.98
964805,0.97
966906,0.99
969234,0.98
971491,0.99
974698,0.98
976786,0.99
978740,0.99
980936,0.99
982353,1.0
984557,1.0
987519,0.99
989939,0.98
991568,1.0
993764,0.99
995809,1.0
997344,1.0
998818,1.0
1000121,1.0
1001483,1.0
1003101,1.0
1004728,1.0
1006089,1.0
1008010,0.99
1009446,1.0
1011870,0.99
1013094,1.0
1014528,1.0
1015919,1.0
1017786,0.99
1019053,1.0
1020271,1.0
1021594,1.0
1023218,1.0
1024435,1.0
1026490,0.99
1027650,1.0
1029110,1.0
1030482,1.0
1032370,0.99
1033668,1.0
1035165,1.0
1036520,1.0
1037863,1.0
1039640,0.99
1041120,1.0
1042629,1.0
1043733,1.0
1045774,0.99
1046989,1.0
1048580,0.99
1050173,1.0
1051424,1.0
1052874,1.0
1054238,1.0
1055607,1.0
1056894,1.0
1058580,1.0
1060335,1.0
1061583,1.0
1062832,1.0
1064596,0.99
1065780,1.0
1069130,0.96
1070805,1.0
1072172,1.0
1073471,1.0
1074961,1.0
1077142,0.99
1078861,1.0
1080420,1.0
1081912,1.0
1083457,0.99
1084852,1.0
1086818,1.0
1088465,0.99
1090273,0.99
1092122,0.99
1093919,1.0
1095365,1.0
1097133,0.99
1098362,1.0
1099604,1.0
1100842,1.0
1102122,1.0
1103834,1.0
1105159,1.0
1106372,1.0
1109608,0.96
1110855,1.0
1112005,1.0
1113181,1.0
1114290,1.0
1115693,1.0
1117388,0.99
1118875,1.0
1120047,1.0
1121490,1.0
1123222,0.99
1124487,1.0
1125743,1.0
1127981,0.98
1129342,1.0
1131212,0.99
1132390,1.0
1133601,1.0
1134906,1.0
1137161,0.98
1138459,1.0
1139708,1.0
1141377,0.99
1142663,1.0
1144690,0.99
1146424,0.99
1147936,1.0
1149377,1.0
1150577,1.0
