Wall time,Step,Value
1706898822.780054,17,-2.629999876022339
1706898822.785515,21,-2.0799999237060547
1706898822.789294,47,-1.0
1706898822.792023,73,-1.0
1706898822.793626,99,-1.0
1706898822.795162,125,-1.0
1706898822.797657,146,-2.7899999618530273
1706898822.799672,159,-2.440000057220459
1706898822.801993,163,-2.0799999237060547
1706898822.805607,168,-2.1399998664855957
1706898822.808218,183,-2.5199999809265137
1706898822.810819,188,-2.1399998664855957
1706898822.812202,214,-1.0
1706898822.813273,231,-2.619999885559082
1706898822.81424,239,-2.240000009536743
1706898822.815235,245,-2.1600000858306885
1706898822.820203,252,-2.2300000190734863
1706898822.822086,258,-2.190000057220459
1706898822.8235,264,-2.190000057220459
1706898822.824753,273,-2.2799999713897705
1706898822.826039,278,-2.119999885559082
1706898822.8276,285,-2.2300000190734863
1706898822.833015,296,-2.359999895095825
1706898822.834264,312,-2.5899999141693115
1706898822.836229,322,-2.319999933242798
1706898822.838961,336,-2.4800000190734863
1706898822.8435,342,-2.180000066757202
1706898822.846212,344,-2.0
1706898822.847474,352,-2.25
1706898822.848634,354,-2.0
1706898822.849534,356,-2.0
1706898822.850509,360,9.90999984741211
1706898822.852338,364,-2.0999999046325684
1706898822.853644,371,9.789999961853027
1706898822.854964,397,-1.0
1706898822.857144,402,-2.1399998664855957
1706898822.859002,409,-2.2100000381469727
1706898822.859972,415,-2.190000057220459
1706898822.861104,421,-2.190000057220459
1706898822.862176,426,-2.119999885559082
1706898822.863142,428,-2.0
1706898822.864437,436,-2.240000009536743
1706898822.865704,446,-2.319999933242798
1706898822.866873,456,-2.319999933242798
1706898822.868683,461,-2.119999885559082
1706898822.869437,475,-2.490000009536743
1706898822.871095,477,-2.0
1706898822.873222,493,-2.559999942779541
1706898822.87431,495,-2.0
1706898822.875254,497,-2.0
1706898822.87801,499,-2.0
1706898822.879366,502,-2.069999933242798
1706898822.880413,505,-2.059999942779541
1706898822.883761,510,-2.1499998569488525
1706898822.885043,536,-1.0
1706898822.88599,540,-2.0899999141693115
1706898822.887495,544,-2.0899999141693115
1706898822.888707,549,-2.1399998664855957
1706898822.89187,553,-2.0899999141693115
1706898822.893254,557,-2.0799999237060547
1706898822.896105,570,-2.450000047683716
1706898822.897441,574,-2.0899999141693115
1706898822.898657,579,-2.129999876022339
1706898822.900479,587,-2.240000009536743
1706898822.901508,594,-2.2200000286102295
1706898822.90276,599,-2.1399998664855957
1706898822.904378,601,-2.0
1706898822.906941,614,-2.450000047683716
1706898822.908165,625,-2.3899998664855957
1706898822.909231,646,-2.759999990463257
1706898822.910259,648,10.0
1706898822.911241,650,10.0
1706898822.912056,656,-2.190000057220459
1706898822.913228,671,-2.549999952316284
1706898822.914464,685,-2.4800000190734863
1706898822.915631,687,-2.0199999809265137
1706898822.916737,704,-2.629999876022339
1706898822.917826,717,-2.440000057220459
1706898822.919142,723,-2.1700000762939453
1706898822.92032,737,-2.5
1706898822.922333,754,-2.619999885559082
1706898822.923478,757,9.930000305175781
1706898822.924722,769,-2.4000000953674316
1706898822.926028,777,-2.25
1706898822.927049,783,-2.180000066757202
1706898822.928258,801,-2.6500000953674316
1706898822.929361,807,-2.190000057220459
1706898822.930279,811,-2.109999895095825
1706898822.931279,816,-2.119999885559082
1706898822.934226,842,-1.0
1706898822.936542,844,-2.0
1706898822.93926,862,-2.6399998664855957
1706898822.941616,868,-2.190000057220459
1706898822.944031,872,-2.0799999237060547
1706898822.945875,881,-2.309999942779541
1706898822.946807,886,-2.1399998664855957
1706898822.947729,912,-1.0
1706898822.949031,921,-2.2799999713897705
1706898822.950223,931,-2.319999933242798
1706898822.952198,937,-2.1700000762939453
1706898822.962907,942,-2.129999876022339
1706898822.964894,944,-2.0
1706898822.966135,946,10.0
1706898822.967484,950,-2.0799999237060547
1706898822.96868,955,-2.119999885559082
1706898822.969667,957,-2.0
1706898822.971118,979,-2.799999952316284
1706898822.973729,983,-2.0799999237060547
1706898822.976374,985,-2.0
1706898822.977369,987,-2.0
1706898822.978785,989,-2.0
1706898822.980804,991,-2.0
1706898822.981843,993,-2.0299999713897705
1706898822.98298,1000,-2.200000047683716
1706898822.984119,1009,-2.2799999713897705
1706898822.985005,1014,-2.1399998664855957
1706898822.986111,1016,-2.0
1706898822.986987,1018,10.0
