Wall time,Step,Value
1713950307.590201,3241058,10.0
1713950307.591773,3241154,8.605177879333496
1713950307.592398,3241169,9.943683624267578
1713950307.593005,3241199,8.635941505432129
1713950307.593479,3241214,8.37221622467041
1713950307.593855,3241235,9.812012672424316
1713950307.594158,3241322,9.105382919311523
1713950307.5945,3241352,-7.7253804206848145
1713950307.594949,3241355,7.3435845375061035
1713950307.595262,3241376,9.870405197143555
1713950307.595656,3241436,8.915528297424316
1713950307.595981,3241472,9.098713874816895
1713950307.596347,3241496,9.887269020080566
1713950307.596692,3241499,8.718001365661621
1713950307.596993,3241571,7.154611587524414
1713950307.597369,3241589,9.257274627685547
1713950307.597676,3241637,8.707695007324219
1713950307.597978,3241709,7.167624473571777
1713950307.598296,3241754,9.229653358459473
1713950307.598638,3241760,8.112199783325195
1713950307.598973,3241778,6.0126190185546875
1713950307.599285,3241784,10.0
1713950307.599589,3241817,9.616366386413574
1713950307.599928,3241850,9.240906715393066
1713950307.600237,3241850,9.503479957580566
1713950307.600556,3241856,10.0
1713950307.600888,3241898,8.977388381958008
1713950307.601206,3241961,7.930886268615723
1713950307.601526,3241964,8.193522453308105
1713950307.601841,3242003,8.646382331848145
1713950307.602165,3242099,7.513115882873535
1713950307.602497,3242102,8.293150901794434
1713950307.602815,3242111,9.862563133239746
1713950307.603137,3242159,9.622753143310547
1713950307.603491,3242183,1.9530739784240723
1713950307.603793,3242195,9.96843433380127
1713950307.604119,3242198,8.642338752746582
1713950307.604459,3242246,8.88852310180664
1713950307.604902,3242270,7.711097717285156
1713950307.60525,3242270,7.173556327819824
1713950307.605611,3242324,9.068656921386719
1713950307.606058,3242345,9.40706729888916
1713950307.606425,3242432,7.872964382171631
1713950307.606745,3242432,6.438865661621094
1713950307.607125,3242453,9.600924491882324
1713950307.607756,3242465,8.750730514526367
1713950307.608134,3242480,9.931325912475586
1713950307.608454,3242489,9.982319831848145
1713950307.608777,3242495,10.0
1713950307.609072,3242528,9.803824424743652
1713950307.609395,3242561,9.709831237792969
1713950307.609726,3242573,7.229955196380615
1713950307.610026,3242579,10.0
1713950307.610352,3242582,7.80795955657959
1713950307.610663,3242597,9.793562889099121
1713950307.61098,3242600,9.88181209564209
1713950307.611291,3242675,9.056278228759766
1713950307.611611,3242687,9.274900436401367
1713950307.611947,3242774,7.794871807098389
1713950307.612246,3242828,9.629938125610352
1713950307.612603,3242885,6.623780727386475
1713950307.612913,3242885,8.183724403381348
1713950307.613223,3242891,10.0
1713950307.613572,3242978,8.918867111206055
1713950307.613958,3242999,7.776395320892334
1713950307.61428,3243044,8.602006912231445
1713950307.614579,3243092,8.694099426269531
1713950307.614922,3243092,7.519745826721191
1713950307.615255,3243110,8.88238525390625
1713950307.615556,3243149,9.77840805053711
1713950307.615905,3243212,6.9300856590271
1713950307.616234,3243218,7.5396037101745605
1713950307.61653,3243224,10.0
1713950307.616838,3243227,9.954756736755371
1713950307.617177,3243248,9.896320343017578
1713950307.617489,3243248,8.197370529174805
1713950307.617788,3243260,9.969555854797363
1713950307.618128,3243299,9.768477439880371
1713950307.618466,3243302,9.656002044677734
1713950307.618765,3243314,9.97115421295166
1713950307.619066,3243350,5.550716400146484
1713950307.619399,3243356,10.0
1713950307.619733,3243383,8.877188682556152
1713950307.620042,3243398,9.672687530517578
1713950307.620369,3243404,9.086943626403809
1713950307.620803,3243416,9.949954986572266
1713950307.621117,3243422,10.0
1713950307.621478,3243455,9.34024715423584
1713950307.621925,3243461,9.433201789855957
1713950307.622233,3243464,8.959576606750488
1713950307.622566,3243512,9.693761825561523
1713950307.622889,3243533,9.083930969238281
1713950307.623249,3243575,9.790519714355469
1713950307.623549,3243587,8.519486427307129
1713950307.623863,3243599,8.890891075134277
1713950307.624218,3243659,8.981014251708984
1713950307.624522,3243683,9.778271675109863
1713950307.624844,3243689,8.99035358428955
1713950307.625164,3243758,9.329703330993652
1713950307.625463,3243767,8.780380249023438
1713950307.625794,3243776,5.853095531463623
1713950307.626115,3243776,9.925904273986816
1713950307.626431,3243860,6.282368183135986
1713950307.626756,3243881,9.074369430541992
1713950307.627092,3243884,8.863900184631348
1713950307.627426,3243914,8.842692375183105
1713950307.627779,3243956,9.011869430541992
1713950307.628122,3243986,4.600451946258545
1713950307.628492,3244001,8.356734275817871
1713950307.628892,3244082,8.65536880493164
1713950307.629224,3244106,8.704761505126953
1713950307.629545,3244130,7.21769380569458
1713950307.629868,3244184,9.325579643249512
1713950307.630211,3244208,9.87159538269043
1713950307.630592,3244229,8.570636749267578
1713950307.630986,3244280,9.25770092010498
1713950307.631319,3244307,7.642523288726807
1713950307.631632,3244322,9.953971862792969
1713950307.63194,3244340,4.854315757751465
1713950307.632262,3244355,9.614836692810059
1713950307.632589,3244382,9.84229564666748
1713950307.632904,3244397,9.947429656982422
1713950307.633223,3244427,9.812511444091797
1713950307.63356,3244469,6.087853908538818
1713950307.633867,3244469,7.703304767608643
1713950307.634173,3244493,9.494759559631348
