Wall time,Step,Value
1713965880.114828,3370506,-2.605351686477661
1713965880.116336,3370516,9.842864990234375
1713965880.118274,3370518,10.0
1713965940.336658,3370619,-2.400822639465332
1713965940.388956,3370720,-2.134075164794922
1713966000.604544,3370821,-2.132728099822998
1713966060.821229,3370922,-1.560421109199524
1713966060.877265,3371011,7.744957447052002
1713966120.923395,3371112,-2.1782402992248535
1713966180.959465,3371213,-2.2783915996551514
1713966240.999734,3371314,-2.003432512283325
1713966301.256214,3371415,-1.7391053438186646
1713966361.455201,3371516,-1.7018077373504639
1713966361.5055,3371617,-2.0728743076324463
1713966421.656342,3371718,-1.553526759147644
1713966481.855534,3371819,-2.329134464263916
1713966542.037268,3371920,-2.715503692626953
1713966542.087783,3372021,-2.3849384784698486
1713966602.219345,3372091,8.783048629760742
1713966602.261688,3372192,-2.4523892402648926
1713966662.468875,3372293,-2.7156786918640137
1713966722.660774,3372394,-2.4663116931915283
1713966782.825513,3372495,-2.4647581577301025
1713966842.840105,3372596,-2.8341798782348633
1713966842.840889,3372604,9.89366626739502
1713966842.84148,3372610,9.934976577758789
1713966903.080308,3372711,-1.7528958320617676
1713966903.081213,3372747,9.448943138122559
1713966903.082031,3372771,9.493474006652832
1713966903.123299,3372812,9.334590911865234
1713966963.391395,3372913,-2.1996333599090576
1713967023.596116,3372997,8.18267822265625
1713967023.642776,3373040,9.02690601348877
1713967083.848695,3373107,8.561371803283691
1713967144.043441,3373194,8.440951347351074
1713967144.044988,3373221,9.41915512084961
1713967144.046069,3373252,9.180291175842285
1713967204.306036,3373353,-2.3379032611846924
1713967264.496285,3373454,-2.5699775218963623
1713967264.544703,3373555,-1.92106032371521
1713967324.661191,3373656,-2.0455708503723145
1713967384.766224,3373757,-2.407243251800537
1713967444.911392,3373858,-2.5963125228881836
1713967444.914071,3373959,-2.4213685989379883
1713967505.061653,3374060,-1.8306087255477905
1713967565.258602,3374161,-2.2076992988586426
1713967565.259949,3374262,-2.0044760704040527
1713967625.305313,3374363,-2.665940761566162
1713967685.470558,3374464,-2.705080270767212
1713967745.655878,3374565,-1.8347841501235962
1713967745.704897,3374666,-1.704914927482605
1713967805.716653,3374767,-2.2233314514160156
1713967865.852971,3374868,-2.5838370323181152
1713967926.068441,3374969,-2.5560150146484375
1713968239.08363,3374435,9.910465240478516
1713968239.084967,3374471,9.384716987609863
1713968292.584935,3374572,-2.5071427822113037
1713968292.639257,3374655,8.692411422729492
1713968352.702807,3374730,8.664738655090332
1713968352.70382,3374739,9.890151977539062
1713968352.705829,3374745,9.905953407287598
1713968352.707512,3374846,-2.085698366165161
1713968412.954394,3374947,-1.835036039352417
1713968412.955128,3374996,9.012933731079102
1713968412.999386,3375089,8.629120826721191
1713968413.000481,3375134,9.084149360656738
1713968473.120715,3375235,-2.606765031814575
1713968473.173556,3375336,-2.687288284301758
1713968533.359504,3375437,-2.2271814346313477
1713968533.412409,3375538,-2.4535186290740967
1713968593.449995,3375639,-2.8575100898742676
1713968593.450544,3375740,-2.1822140216827393
1713968653.686764,3375841,-2.821737766265869
1713968653.68865,3375942,-2.758451461791992
1713968653.738867,3376043,-2.348266363143921
1713968713.768192,3376144,-2.152599811553955
1713968713.821602,3376245,-2.6217496395111084
1713968773.80508,3376346,-2.8513593673706055
1713968773.805886,3376366,9.713838577270508
1713968773.806429,3376376,9.82291316986084
1713968773.806913,3376388,9.807730674743652
1713968833.848372,3376489,-2.1799752712249756
1713968833.849715,3376590,-2.46604323387146
1713968833.904653,3376691,-2.6068975925445557
1713968893.908653,3376792,-2.170100450515747
1713968893.961377,3376893,-2.7905566692352295
1713968954.154874,3376994,-2.558551073074341
1713968954.208921,3377095,-2.5366714000701904
1713969014.418735,3377196,-2.3057730197906494
1713969014.474145,3377297,-2.5697262287139893
1713969074.593775,3377398,-1.7773659229278564
1713969074.648953,3377499,-2.461780548095703
1713969134.814512,3377600,-1.928390622138977
1713969134.86405,3377701,-1.8811230659484863
1713969194.988976,3377802,-2.628657817840576
1713969195.042345,3377903,-1.9765799045562744
1713969255.152622,3378004,-2.127871513366699
1713969255.205702,3378105,-2.0277743339538574
1713969315.32075,3378206,-2.5774128437042236
1713969375.558382,3378307,-2.2461628913879395
1713969375.559075,3378375,8.570493698120117
1713969435.593196,3378476,-1.9610724449157715
1713969435.594757,3378526,9.04617691040039
1713969435.64045,3378627,-1.59074866771698
1713969435.64084,3378634,9.92154312133789
1713969495.734265,3378735,-2.255261182785034
1713969495.73713,3378807,8.694258689880371
1713969495.781691,3378887,8.448494911193848
1713969555.997385,3378988,-2.6408791542053223
1713969555.9981,3379016,9.421455383300781
1713969556.041585,3379037,9.575364112854004
1713969616.22417,3379138,-2.5987634658813477
1713969616.224979,3379239,-2.1615993976593018
1713969676.325657,3379340,-2.6222457885742188
1713969676.327053,3379441,-1.9494397640228271
1713969676.377447,3379542,-1.44061279296875
1713969736.406446,3379643,-1.7591055631637573
1713969736.459424,3379744,-2.3678975105285645
1713969796.631086,3379845,-1.721144676208496
1713969796.681137,3379946,-2.4009714126586914
1713969856.689221,3380047,-2.8438539505004883
1713969856.740968,3380148,-2.5355782508850098
1713969916.746612,3380249,-2.7271759510040283
1713969916.798709,3380350,-2.266139268875122
1713969916.799632,3380365,9.695174217224121
1713969916.800488,3380371,9.92447280883789
1713969916.801458,3380388,9.641643524169922
1713969976.812193,3380489,-1.9538977146148682
1713969976.871368,3380590,-2.41510272026062
1713970036.936766,3380691,-2.6771671772003174
1713970036.937695,3380699,9.910334587097168
1713970036.977862,3380789,7.787306785583496
1713970805.859768,3380850,9.95082950592041
1713970858.604918,3380918,8.518678665161133
1713970858.605544,3380969,9.223470687866211
1713970918.75069,3381070,-2.36910080909729
1713970918.795819,3381171,-2.103973627090454
1713970978.799935,3381222,9.083744049072266
1713970978.843908,3381323,-2.0191452503204346
1713971039.040531,3381342,9.613727569580078
1713971039.041787,3381400,9.11337661743164
1713971039.042198,3381423,9.562408447265625
1713971039.042747,3381434,9.787120819091797
1713971095.103196,3380924,9.759675979614258
1713971148.460822,3381025,-1.6929813623428345
1713971148.514118,3381126,-1.9761651754379272
1713971148.514589,3381142,9.75107479095459
1713971208.686529,3381202,8.504117012023926
1713971208.687935,3381209,9.910966873168945
1713971208.691365,3381214,9.913472175598145
1713971208.69303,3381216,10.0
1713971208.732231,3381295,8.313145637512207
1713971268.696706,3381304,9.856232643127441
1713971268.697428,3381405,-2.6049036979675293
1713971268.698658,3381416,9.856890678405762
1713971268.700427,3381424,9.89267635345459
1713971328.849167,3381525,-2.7143492698669434
1713971328.8978,3381626,-2.255155324935913
1713971328.898661,3381667,9.194557189941406
1713971389.038581,3381768,-2.191988706588745
1713971389.091193,3381814,9.051228523254395
1713971449.305026,3381915,-2.020428419113159
1713971449.3581,3382016,-2.6866135597229004
1713971509.488279,3382117,-2.366366386413574
1713971509.539486,3382150,9.206849098205566
1713971509.539952,3382160,9.827707290649414
1713971569.723549,3382232,8.207892417907715
1713971569.724691,3382254,9.504652976989746
1713971569.767078,3382318,8.621658325195312
1713971569.767466,3382322,9.958189010620117
1713971629.88598,3382396,7.960655212402344
1713971629.934249,3382413,9.713262557983398
1713971689.891876,3382514,-2.4253978729248047
1713971689.892896,3382532,9.667693138122559
1713971689.894213,3382534,10.0
1713971689.929314,3382635,-2.2892942428588867
1713971750.084857,3382667,9.243611335754395
1713971750.149304,3382768,-2.3749635219573975
1713971810.165297,3382807,9.166182518005371
1713971930.186705,3382819,9.743825912475586
1713971930.228176,3382920,-2.4178876876831055
1713971990.299418,3383021,-2.279454469680786
1713971990.350345,3383060,9.298368453979492
1713972476.501197,3383143,8.46304988861084
1713972536.628409,3383244,-2.396263837814331
1713972536.705686,3383345,-2.2146096229553223
1713972596.713034,3383385,9.195918083190918
1713972596.757547,3383486,-1.9767322540283203
1713972656.817204,3383546,8.795618057250977
1713972656.817805,3383548,10.0
1713972656.858245,3383553,9.930753707885742
1713972656.85872,3383654,-2.415632963180542
1713972716.893228,3383705,-3.437281608581543
1713972716.939956,3383713,9.865318298339844
1713972716.940318,3383742,9.298688888549805
1713972716.94068,3383746,9.955031394958496
1713972716.941006,3383768,9.568473815917969
1713972716.941333,3383779,9.800286293029785
1713972716.941655,3383795,9.707064628601074
1713972716.942155,3383803,9.88199520111084
1713972716.942484,3383856,8.813433647155762
1713972777.149566,3383957,-2.1639108657836914
1713972777.149903,3383959,10.0
1713972777.150207,3384038,8.56608772277832
1713972837.362968,3384139,-1.877779483795166
1713972837.363316,3384240,-2.5904436111450195
1713972897.60473,3384341,-2.5713226795196533
1713972897.605608,3384442,-2.2917768955230713
1713972957.645316,3384543,-2.1916966438293457
1713972957.646711,3384545,10.0
1713972957.684455,3384646,-2.6307249069213867
1713973017.779345,3384747,-1.9985235929489136
1713973017.780451,3384848,-2.4976038932800293
1713973077.925406,3384949,-2.234820604324341
1713973077.925779,3385050,-2.078839063644409
1713973137.962537,3385151,-2.4563777446746826
1713973138.013192,3385252,-2.5279877185821533
1713973255.174982,3383168,-2.242478847503662
1713973308.796822,3383269,-1.7935774326324463
1713973308.847816,3383370,-1.736117959022522
1713973369.012413,3383471,-2.2602899074554443
1713973369.064106,3383572,-2.517843008041382
1713973429.118421,3383669,7.869359493255615
1713973429.119322,3383682,9.719271659851074
1713973429.120189,3383709,9.46837329864502
1713973429.121393,3383731,9.554931640625
1713973429.167077,3383769,9.332121849060059
1713973489.330289,3383870,-2.3693013191223145
1713973489.393945,3383954,8.247380256652832
1713973549.529,3384055,-2.5952577590942383
1713973549.530294,3384083,9.317023277282715
1713973609.640334,3384184,-2.476306676864624
1713973609.693522,3384285,-2.916934013366699
1713978933.73149,3383180,9.917216300964355
1713978933.732144,3383206,9.5344820022583
1713978987.006038,3383307,-2.378962755203247
