steps,reward,lenght
0,0,0
499,-123.7769573066595,499
999,-210.18024621916607,500
1499,-204.6759002317474,500
1500,10.0,1
2000,-101.4082015152971,500
2500,-192.36767640096375,500
3000,-205.79206244906206,500
3009,9.830311575802696,9
3010,10.0,1
3510,-212.65674210980418,500
4010,-213.79464013081483,500
4011,10.0,1
4012,10.0,1
4512,-208.09001443441016,500
5012,-208.07260427171096,500
5512,-201.55960938181167,500
6012,-196.83583086620865,500
6512,-211.6579537133344,500
6513,10.0,1
7013,-213.66618543736467,500
7513,-208.82300174038576,500
8013,-209.6623346295478,500
8513,-208.8102599317651,500
9013,-206.19139240446432,500
9513,-205.943067437884,500
10013,-212.05276446688822,500
10513,-212.5257379662409,500
11013,-214.67259487576493,500
11014,10.0,1
11514,-206.07265731478924,500
12014,-213.0603410193816,500
12514,-208.70896735076812,500
13014,-212.56581204882823,500
13023,9.843428794901763,9
13523,-203.4597503667475,500
14023,-209.72980609610462,500
14523,-210.4733353422959,500
15023,-209.3699792705726,500
15523,-211.13294002994198,500
16023,-209.9697027128768,500
16523,-195.9515310650284,500
17023,-206.2678969946228,500
17523,-209.0482791807202,500
18023,-210.67199642207444,500
18523,-208.7558033213673,500
19023,-207.40057602754754,500
19024,10.0,1
19524,-212.05899663771245,500
20024,-212.35216824296762,500
20524,-210.59655028286065,500
21024,-210.63725225806064,500
21524,-211.81928881184496,500
22024,-208.38944370411207,500
22524,-210.96918523220629,500
23024,-212.2592966640076,500
23524,-213.16367243581698,500
24024,-212.6375962829399,500
24524,-209.15527322394934,500
24525,10.0,1
25025,-212.92264171803595,500
25525,-211.7295639459624,500
26025,-206.98485482433125,500
26525,-207.1088576111565,500
27025,-209.32476014310032,500
27525,-207.82691235339976,500
28025,-205.69860288804503,500
28525,-203.9565993970342,500
29025,-209.86228018671787,500
29525,-211.85271485554892,500
30025,-208.87015506947648,500
30525,-206.7593434415908,500
31025,-210.049856528626,500
31525,-206.09652206283718,500
32025,-206.08387630376052,500
32525,-206.49030929742193,500
33025,-212.1429751354104,500
33525,-211.28887808721686,500
34025,-212.17678036503744,500
34525,-209.28433525326017,500
34527,9.977702790405107,2
35027,-207.96109860567103,500
35527,-209.4598694877163,500
36027,-204.05862687229964,500
36527,-207.31191262567506,500
37027,-213.25406087417988,500
37527,-211.70280776148348,500
38027,-207.43966558175717,500
38527,-210.06655302483028,500
39027,-212.25249815209054,500
39527,-213.30769547929702,500
40027,-206.18443582432243,500
40527,-205.60894531393163,500
41027,-207.14246213391016,500
41527,-203.53150509709,500
42027,-213.54497732396217,500
42527,-212.0766556557309,500
42953,-166.47895241202872,426
43453,-212.24439201249055,500
43953,-210.23744183662615,500
44453,-208.59298363568544,500
44953,-213.11292172477545,500
45453,-211.76490430388722,500
45953,-213.32387899294417,500
46453,-206.51225493525598,500
46953,-211.84328511527565,500
47453,-211.63893041094002,500
47953,-212.27972123322942,500
48453,-209.1854521944652,500
48457,9.94403224000617,4
48957,-180.93552774551088,500
49457,-172.35849163851415,500
49957,-164.57463864974505,500
49958,10.0,1
50458,-177.8441512232783,500
50958,-217.29577585891923,500
51458,-170.43411803104573,500
51958,-218.4162547719208,500
52458,-179.48532827979682,500
52958,-172.44328310915955,500
53458,-211.49175875244475,500
53958,-211.94571027798415,500
54458,-209.16931211015523,500
54958,-213.12945448702726,500
54959,10.0,1
55459,-211.53611511168904,500
55959,-208.26447852087352,500
56459,-212.2773811642806,500
56959,-210.00128309524044,500
57459,-208.89980064925248,500
57959,-208.46118373651632,500
58459,-212.4323868315447,500
58959,-206.94976813384204,500
59253,-107.463275794601,294
59753,-211.83421724609855,500
59754,10.0,1
59761,9.866459568790805,7
59762,10.0,1
60262,-211.45364622036482,500
60762,-209.96207605778213,500
61262,-212.6206289692065,500
61762,-205.61080113173998,500
62262,-209.6744991704648,500
62497,-85.37325743597029,235
62997,-213.58695330533726,500
63007,9.807499030441168,10
63507,-211.923209455119,500
64007,-209.76421879498852,500
64507,-213.3566825780902,500
65007,-210.9664356464624,500
65507,-210.2361935663317,500
