steps,rate_target_reached
41188,0.2
80339,0.24
120121,0.24
158992,0.25
201207,0.19
239922,0.28
282546,0.2
324350,0.21
365100,0.23
408456,0.16
447249,0.27
484020,0.3
526287,0.18
567037,0.23
606171,0.28
644683,0.31
686150,0.22
728143,0.19
767954,0.26
803990,0.29
848206,0.15
888627,0.22
927542,0.3
967522,0.23
1008110,0.22
1047709,0.24
1086353,0.25
1123860,0.29
1165204,0.22
1203253,0.29
1241356,0.27
1278771,0.32
1316667,0.28
1355871,0.27
1394669,0.25
1431597,0.29
1473003,0.23
1512954,0.23
1549877,0.3
1586075,0.3
1618612,0.44
1651328,0.4
1674945,0.57
1698388,0.58
1723219,0.59
1736867,0.76
1753290,0.73
1767632,0.75
1782351,0.75
1799582,0.71
1815016,0.75
1826554,0.81
1843146,0.71
1857851,0.75
1869176,0.8
1879242,0.83
1887899,0.85
1897102,0.84
1908210,0.81
1917924,0.83
1926728,0.86
1933672,0.9
1941927,0.86
1951169,0.85
1956199,0.94
1961299,0.92
1966985,0.92
1973225,0.92
1978645,0.93
1982012,0.98
1986227,0.96
1989623,0.97
1994942,0.93
1997827,0.98
2000261,1.0
2002796,0.99
2005267,0.99
2007840,0.99
2010659,0.98
2014512,0.97
2016856,0.99
2019278,0.99
2023631,0.96
2025668,0.99
2033237,0.88
2034751,1.0
2036723,0.99
2037947,1.0
2040630,0.98
2042764,0.99
2045168,0.99
2046803,1.0
2049287,0.99
2051993,0.99
2055283,0.97
2057138,0.99
2058484,1.0
2061848,0.96
2063427,1.0
2067591,0.96
2070881,0.98
2076018,0.93
2077836,1.0
2080920,0.97
2082783,1.0
2084790,1.0
2087974,0.97
2089966,0.99
2091867,1.0
2095338,0.96
2097711,0.98
2101516,0.96
2108323,0.89
2111792,0.97
2114419,0.98
2116198,0.99
2117672,1.0
2122791,0.94
2125970,0.97
2127285,1.0
2130358,0.97
2132449,0.99
2135117,0.98
2139226,0.94
2140502,1.0
2142281,0.99
2144321,0.99
2145814,1.0
2146893,1.0
2149252,0.98
2151830,0.98
2153056,1.0
2154827,0.99
2157103,1.0
2159206,0.99
2162236,0.97
2163925,0.99
2167175,0.96
2171375,0.95
2172992,1.0
2176329,0.96
2178199,0.99
2180429,0.99
2182544,0.98
2183552,1.0
2186185,0.98
2187614,1.0
2188716,1.0
2190956,0.98
2192463,1.0
2195050,0.98
2196965,0.99
2200980,0.95
2202264,1.0
2205417,0.96
2207627,0.98
2209964,0.99
2212085,0.98
2213699,0.99
2215007,1.0
2218763,0.95
2220658,0.99
2222063,1.0
2224335,0.98
2226205,0.99
2227449,1.0
2234217,0.9
2235313,1.0
2237443,0.99
2238764,1.0
2239913,1.0
2241326,1.0
2242514,1.0
2243670,1.0
2245978,0.98
2247922,0.99
2250274,0.98
2253276,0.97
2254270,1.0
2255868,0.99
2258071,0.98
2259702,0.99
2260759,1.0
2262435,0.99
2263997,0.99
2270980,0.89
2272727,0.99
2273745,1.0
2277502,0.95
2279514,0.98
2281293,0.99
2282369,1.0
2284866,0.97
2286930,0.98
2288112,1.0
2291915,0.95
2294654,0.97
2299340,0.93
2301936,0.98
2303072,1.0
2305306,0.98
2306429,1.0
2307503,1.0
2308714,1.0
2310420,0.99
2313019,0.97
2315909,0.97
2317051,1.0
2318044,1.0
2319508,1.0
2320455,1.0
2322558,0.98
2324258,0.99
2325425,1.0
2327116,0.99
2328399,1.0
2329566,1.0
2331398,0.99
2333359,0.98
2334446,1.0
2335599,1.0
2336721,1.0
2339373,0.97
2340530,1.0
2341536,1.0
2343635,0.98
2344564,1.0
2345593,1.0
2346648,1.0
2349755,0.96
2352518,0.97
2353631,1.0
2355174,0.99
2356293,1.0
2357345,1.0
2359386,0.98
2361363,0.98
2362626,1.0
2364973,0.98
2366150,1.0
2368141,0.98
2371801,0.95
2373791,0.98
2375349,0.99
2377370,0.98
2381143,0.95
2383265,0.98
2384287,1.0
2385356,1.0
2388165,0.97
2390346,0.98
2394125,0.95
2396142,0.99
2398129,0.98
2399106,1.0
2400353,1.0
2401502,1.0
2402687,1.0
2404414,0.99
2405731,1.0
2406734,1.0
2408188,1.0
2410223,0.98
2413281,0.96
2414997,0.99
2416652,0.99
2417843,1.0
2419927,0.98
2421628,0.99
2423078,0.99
2424143,1.0
2426718,0.97
2428693,0.98
2429790,1.0
2432478,0.97
2433608,1.0
2436101,0.97
2438845,0.97
2440954,0.98
2442051,1.0
2443320,1.0
2446993,0.95
2448146,1.0
2449734,0.99
2451183,0.99
2453654,0.97
2455733,0.98
2457313,0.99
2461423,0.94
2464500,0.96
2466226,0.99
2468218,0.98
