steps,rate_target_reached
44850,0.11
88279,0.14
132032,0.13
171526,0.25
199164,0.54
212512,0.81
229551,0.75
239127,0.89
250150,0.85
260857,0.89
269988,0.89
281577,0.85
287831,0.94
296262,0.91
304108,0.92
310111,0.95
315416,0.96
321807,0.95
325988,1.0
330026,1.0
334849,0.99
338571,1.0
342836,1.0
346395,1.0
350472,1.0
353938,1.0
357582,1.0
362070,0.99
365779,1.0
369275,1.0
372902,1.0
376575,1.0
380316,1.0
383872,1.0
387601,1.0
391644,1.0
397404,0.95
401087,1.0
404803,1.0
408600,0.99
412506,1.0
416799,0.99
420907,0.99
424344,1.0
428087,1.0
431459,1.0
434802,1.0
439831,0.96
443511,1.0
446943,1.0
450383,1.0
453830,1.0
457303,1.0
460461,1.0
463612,1.0
467855,1.0
471783,1.0
475434,1.0
478913,1.0
482171,1.0
485872,0.99
490146,0.99
493522,1.0
496672,1.0
499914,1.0
504012,0.99
507995,0.99
511926,1.0
515227,1.0
518843,1.0
522361,1.0
525944,1.0
529175,1.0
532520,1.0
536660,1.0
540096,1.0
543677,1.0
547044,1.0
550437,1.0
553973,1.0
557406,1.0
561014,1.0
564641,1.0
568385,1.0
572838,0.99
576477,1.0
579940,1.0
583438,1.0
587187,1.0
590710,1.0
594051,1.0
597558,1.0
601097,1.0
604478,1.0
608480,1.0
612379,1.0
616188,1.0
619717,1.0
623742,1.0
628389,0.97
631907,1.0
635571,1.0
639060,1.0
642190,1.0
645733,1.0
648938,1.0
652547,1.0
655780,1.0
659726,1.0
663359,1.0
666923,1.0
670188,1.0
673606,1.0
677265,1.0
680373,1.0
684457,1.0
687726,1.0
691295,1.0
694717,1.0
698438,1.0
701933,1.0
705834,1.0
709779,1.0
713303,1.0
716954,1.0
720454,1.0
724464,1.0
727978,1.0
731393,1.0
735285,1.0
740465,0.97
743983,1.0
747147,1.0
750913,1.0
754394,0.99
757649,1.0
761295,1.0
764588,1.0
767960,1.0
771566,1.0
775061,1.0
778468,1.0
782317,1.0
785945,1.0
789912,1.0
793444,1.0
796948,1.0
800247,1.0
803903,1.0
807419,1.0
810678,1.0
814004,1.0
817137,1.0
820521,1.0
823979,1.0
827217,1.0
830738,1.0
834660,1.0
838206,1.0
841257,1.0
845235,1.0
848680,1.0
852340,1.0
855576,1.0
859551,1.0
863074,1.0
868279,0.97
872761,0.98
875969,1.0
878980,1.0
882483,1.0
885874,1.0
889408,1.0
892837,1.0
896396,1.0
900349,1.0
903553,1.0
907224,1.0
911646,0.98
915213,1.0
918902,1.0
922754,1.0
926406,1.0
929597,1.0
932940,1.0
936035,1.0
939554,0.99
943004,1.0
946065,1.0
949888,1.0
953462,1.0
957617,0.99
961606,1.0
965190,1.0
968715,1.0
972132,1.0
975606,1.0
978713,1.0
982092,1.0
986654,0.99
990490,1.0
994004,1.0
998273,0.98
1001812,1.0
1005463,1.0
1009527,1.0
1013477,1.0
1016908,1.0
1020696,1.0
1024117,1.0
1028068,1.0
1031382,1.0
1035146,1.0
1038606,1.0
1042506,1.0
1046474,1.0
1050624,0.98
1054153,1.0
1057681,1.0
1061195,1.0
1065017,1.0
1068338,1.0
1072035,1.0
1075668,1.0
1079484,1.0
1082885,1.0
1086172,1.0
1089825,1.0
1093113,1.0
1096366,1.0
1101738,0.96
1105171,1.0
1108634,1.0
1112384,1.0
1116215,1.0
1120307,1.0
1123928,1.0
1127262,1.0
1130972,1.0
1135075,0.99
1138619,1.0
1141650,1.0
1145610,1.0
1149225,1.0
1153075,1.0
1156325,1.0
1160791,0.99
1163860,1.0
1167029,1.0
1170761,1.0
1174229,1.0
1177709,1.0
1180831,1.0
1184083,1.0
1187556,1.0
1191141,1.0
1194247,1.0
1197695,1.0
1201044,1.0
1204452,1.0
1208098,1.0
1211310,1.0
1214710,1.0
1217924,1.0
1221602,1.0
1225180,1.0
1228540,1.0
1231993,1.0
1235761,1.0
1239215,1.0
1242599,1.0
1246579,1.0
1250244,1.0
1254934,0.98
1258196,1.0
1260943,1.0
1264377,1.0
1268007,1.0
1271676,1.0
1275422,1.0
1278904,1.0
1282872,0.99
1286591,1.0
1290229,1.0
1294119,1.0
1298144,1.0
1302170,0.99
1306009,1.0
1310336,0.98
1313957,1.0
1317449,1.0
1320420,1.0
1324140,0.99
1327752,1.0
1331512,1.0
1335122,1.0
1338586,1.0
1342372,1.0
1346042,1.0
1349062,1.0
1352452,1.0
1356317,1.0
1360252,1.0
1363826,1.0
1366819,1.0
1370801,0.99
1373983,1.0
1377192,1.0
1380387,1.0
1384166,1.0
1387426,1.0
1391757,0.98
1395690,1.0
1399129,1.0
1402378,1.0
1406117,1.0
1409757,1.0
1413494,1.0
1417258,1.0
1420536,1.0
1424044,1.0
1427176,1.0
1430407,1.0
1434029,1.0
1437337,1.0
1440571,1.0
1444501,1.0
1448221,1.0
1451655,1.0
1455877,0.99
1459245,1.0
1462856,1.0
1466551,1.0
1469401,1.0
1473344,1.0
1476685,1.0
1480129,1.0
1483653,1.0
1487397,1.0
1491009,1.0
1494671,1.0
1498093,1.0
1501717,1.0
1504976,1.0
1508810,1.0
1512627,1.0
1516644,1.0
1521628,0.98
1525385,1.0
1528888,1.0
1534610,0.96
1538190,1.0
1541437,1.0
1545218,1.0
1549187,1.0
1552932,1.0
1556318,1.0
1559856,1.0
1563346,1.0
1566973,1.0
1570722,1.0
1574299,1.0
1577773,1.0
1580706,1.0
1584294,0.99
1588855,0.98
1592384,1.0
1595633,1.0
1598927,1.0
1602519,1.0
1606458,1.0
1609664,1.0
1613654,1.0
1617356,1.0
1620636,1.0
1624580,1.0
1628281,1.0
1632008,0.99
1635263,1.0
1638803,1.0
1642844,1.0
1646600,1.0
1650026,1.0
1653761,0.99
1657098,1.0
1660600,1.0
1664465,1.0
1667716,1.0
1670970,1.0
1674818,1.0
1678395,1.0
1681971,1.0
1685401,1.0
1689205,1.0
1692643,1.0
1699420,0.93
1702928,1.0
1706254,1.0
1709859,1.0
1713259,1.0
1716719,1.0
1719901,1.0
1723669,1.0
1727028,1.0
1730886,0.99
1734618,0.99
1737971,1.0
1741036,1.0
1744888,1.0
1747968,1.0
1751458,1.0
1754913,1.0
1758286,1.0
1761525,1.0
1765217,1.0
1768385,1.0
1771752,1.0
1775307,1.0
1778416,1.0
1781729,1.0
1785214,1.0
1788625,1.0
1791967,1.0
