steps,reward,lenght
0,0,0
238,-40.924426397200605,238
738,-122.81716942241165,500
1238,-120.23196813414424,500
1738,-169.84780248437218,500
2238,-213.31354267706357,500
2239,10.0,1
2739,-213.34658841408668,500
2740,10.0,1
3240,-213.11716970922478,500
3740,-212.1993167089862,500
4240,-212.95079574851985,500
4740,-213.91113897744117,500
5240,-209.2381006564639,500
5740,-213.83523959416962,500
6240,-211.81946625922538,500
6740,-199.13136854921316,500
7240,-206.19798845137757,500
7740,-200.8838045787125,500
8240,-207.9014961651712,500
8740,-211.14739908091033,500
9240,-206.26940611064492,500
9740,-212.62171132297917,500
9741,10.0,1
10241,-215.66245851687637,500
10741,-216.07505732832905,500
11241,-207.93231601257799,500
11741,-215.98617370763785,500
12241,-216.08506184131332,500
12741,-212.2475028469854,500
13241,-352.0942170898427,500
13741,-226.02324021112406,500
14241,-212.2154625777444,500
14741,-409.01309515765627,500
15241,-412.6120354494717,500
15242,10.0,1
15742,-214.63038763434872,500
16242,-209.8434119024343,500
16742,-213.41076549044823,500
17242,-206.74214092590955,500
17742,-343.80230089796174,500
17743,10.0,1
18243,-215.5248920299372,500
18743,-215.16955346559925,500
19243,-213.22627842997844,500
19743,-216.23817596043142,500
20243,-213.50599170148382,500
20743,-211.86689153408543,500
21243,-209.08770722226907,500
21743,-206.8224176778932,500
22243,-216.2560885180698,500
22743,-212.02288801071737,500
23243,-210.1179795166231,500
23743,-232.954902903453,500
24243,-413.4646423280581,500
24743,-412.8874849710125,500
25243,-247.95930911103844,500
25535,-104.91228232511627,292
26035,-202.9775315034053,500
26044,7.613090621076808,9
26544,-202.7460668834694,500
26855,-84.13876384247128,311
27355,-208.6203221577446,500
27855,-173.80924048383827,500
28355,-333.0537694381771,500
28855,-367.8250538931874,500
29355,-316.13459533267445,500
29855,-380.9817473852917,500
30355,-311.4827924390134,500
30855,-372.94005926215436,500
31355,-155.63858060971506,500
31855,-213.6874696886356,500
32355,-209.12082827646535,500
32855,-203.95979708130784,500
33355,-234.45209127232746,500
33855,-194.54326893574694,500
34355,-307.1223573824369,500
