steps,reward,lenght
0,0,0
157,1.009968637998897,157
467,7.3148346626860565,310
467,0,0
966,-16.691704481382324,499
970,9.988509377146789,4
1470,-9.852723569881007,500
1541,9.511963468432599,71
2041,-21.31357400911227,500
2541,-24.77892241135667,500
3041,-38.423801220174965,500
3541,-16.848329819922743,500
4041,-13.643381159920228,500
4491,-1.026936514910755,450
4991,-11.915146478820144,500
5491,-15.0943757350542,500
5590,7.489157649749407,99
6090,-15.31475650326029,500
6590,-10.340375496548448,500
7090,-12.365037539936583,500
7590,-11.140531001033635,500
7592,9.995744478941296,2
8092,-14.444362587920525,500
8592,-10.384497351884557,500
8593,10.0,1
9093,-11.133310310729323,500
9593,-20.551873603408588,500
10093,-13.218129163234522,500
10137,9.776182710760697,44
10138,10.0,1
10638,-41.23881826772115,500
11138,-50.76838054394811,500
11638,-34.26576663249856,500
12138,-51.32300724211528,500
12638,-48.78016383491313,500
12642,9.989131509857843,4
13142,-41.03604716029487,500
13642,-40.31448325293658,500
13743,7.350665049081163,101
14243,-27.71158318617937,500
14743,-34.99419326949132,500
15039,1.6036606467428296,296
15539,-33.80415847368282,500
16039,-41.83505767382489,500
16539,-48.55805707621145,500
17039,-48.709242623309734,500
17539,-49.63185847365427,500
18039,-41.28403297140995,500
18539,-28.87613127804145,500
18612,9.598070030769033,73
19112,-34.92078862938014,500
19612,-47.96880158380318,500
19621,9.961771399536355,9
20121,-47.60942815778557,500
20621,-46.97598669743379,500
21121,-51.577306685590806,500
21621,-50.10452628606154,500
22121,-51.32412578368614,500
22621,-51.60057278316465,500
22628,9.974004603629723,7
23128,-49.9313655624011,500
23140,9.950005244890157,12
23147,9.97522209115884,7
23647,-50.59490510491703,500
24147,-50.50590526158332,500
24647,-47.499219088881006,500
25147,-49.43190142617573,500
25175,9.844804232503817,28
25250,6.635224309551393,75
25750,-50.23790549006622,500
25776,9.868366440967492,26
26276,-49.08482003980872,500
26776,-51.094570930771425,500
27276,-48.406370800623925,500
27277,10.0,1
27777,-49.90773933460623,500
28277,-47.93450435107596,500
28777,-50.54254927523647,500
29277,-48.08120848978675,500
29777,-51.06666069365041,500
29785,9.971726297495248,8
30285,-52.21744239012812,500
30785,-47.213518550994756,500
31285,-51.22139287629711,500
31785,-49.742031918230104,500
32285,-49.33082619375153,500
32785,-47.109200967739135,500
33285,-46.48002125270328,500
33785,-48.24949197057166,500
34285,-49.81253616240455,500
34785,-44.71998424451588,500
35285,-40.954841172293676,500
35785,-30.77411173938297,500
36285,-41.04068031048421,500
36785,-31.0254283251037,500
37285,-41.58870142895536,500
37325,9.728565326514525,40
37825,-24.02597396911671,500
38325,-50.23816375823263,500
38825,-51.82991759153903,500
39325,-47.9578096595059,500
39825,-49.723993726895664,500
39826,10.0,1
39854,9.852429182561456,28
40354,-47.586941488123,500
40744,-28.851369278038227,390
41244,-49.14494167716712,500
41252,9.970856925625544,8
41752,-51.48051543544553,500
42252,-51.2867789498114,500
42752,-52.00643448345358,500
43252,-52.09944012869382,500
43752,-44.57577916163242,500
44252,-34.80097616990524,500
44752,-46.58381941902881,500
45252,-38.216741155441056,500
45752,-39.17038214634961,500
46252,-50.45833710431234,500
46752,-52.081127767499964,500
47252,-52.0039302656714,500
47752,-52.887024661560645,500
48252,-49.605860618360346,500
48752,-52.95526782323988,500
49252,-49.70498928824899,500
49752,-48.341135713953534,500
50252,-49.9659578179707,500
50752,-52.08929882467631,500
51252,-51.224817095788794,500
51259,9.976234156911183,7
51759,-51.93485192426606,500
52259,-49.47902741287692,500
52759,-52.40773448824074,500
53259,-49.02289047655897,500
53759,-47.81453252463323,500
54259,-49.58062837168558,500
54759,-45.99912509374819,500
55259,-50.3508407944294,500
55759,-52.21344150097262,500
56259,-52.453043500248945,500
56266,9.97826012082614,7
56766,-50.12446248066735,500
57266,-49.103901183244425,500
57267,10.0,1
57273,9.982002452737966,6
57289,9.921465251223601,16
57789,-52.56034370176163,500
58289,-49.767629657961905,500
58789,-52.68025553484721,500
59289,-49.83561360646831,500
59323,9.800427174391077,34
59823,-50.146745039242,500
59824,10.0,1
60324,-48.52267314808253,500
60824,-51.05958093937931,500
61324,-49.49900027118036,500
61353,9.854894546588127,29
61372,9.91914025582139,19
61872,-49.073745833425214,500
61873,10.0,1
62373,-50.36334500161807,500
62873,-53.29332369119587,500
63373,-52.285067637061466,500
63873,-50.422926176790405,500
64373,-52.98478967566341,500
64873,-53.280837314827224,500
64903,9.833946075825637,30
65403,-52.17731292425969,500
65404,10.0,1
65405,10.0,1
65406,10.0,1
65906,-51.63046965661809,500
66406,-50.70673372352107,500
66906,-52.76304335007146,500
