steps,rate_target_reached
5515,0.3
10211,0.49
13478,0.71
16083,0.81
18720,0.82
20598,0.93
22172,0.95
23475,0.98
24835,0.98
26218,1.0
27575,0.97
28830,0.98
30030,0.99
30995,1.0
32111,1.0
33218,0.99
34245,1.0
35244,1.0
36196,1.0
37074,1.0
38043,0.99
39038,1.0
40014,0.99
41006,0.99
41744,1.0
42717,1.0
43723,1.0
44701,0.99
45569,1.0
46426,1.0
47276,1.0
48160,1.0
49053,1.0
49844,1.0
50765,1.0
51545,1.0
52455,0.99
53345,1.0
54259,0.99
55047,1.0
55852,1.0
56633,1.0
57390,1.0
58210,0.99
58960,1.0
59853,1.0
60618,1.0
61379,1.0
62316,1.0
63213,0.99
64103,1.0
64997,0.99
65869,0.99
67137,0.95
68018,1.0
68810,1.0
69638,1.0
70430,1.0
71180,1.0
71935,1.0
72871,0.98
73692,1.0
74400,1.0
75201,1.0
76001,1.0
76858,1.0
77836,0.99
78646,1.0
79465,1.0
80246,1.0
81046,1.0
81900,1.0
82660,1.0
83358,1.0
84069,1.0
84902,1.0
85767,1.0
86508,1.0
87438,0.98
88276,1.0
89032,1.0
89749,1.0
90495,1.0
91202,1.0
91930,1.0
92723,1.0
93370,1.0
94074,1.0
94954,1.0
95778,1.0
96540,1.0
97328,1.0
98176,1.0
98935,1.0
99674,1.0
100520,1.0
101479,0.97
102330,1.0
103161,0.99
103903,1.0
104712,1.0
105460,1.0
106250,1.0
107066,0.98
107834,1.0
108586,1.0
109355,1.0
110181,1.0
110844,1.0
111577,1.0
112380,1.0
113213,0.99
113915,1.0
114677,1.0
115357,1.0
116116,1.0
116899,1.0
117609,1.0
118379,1.0
119170,1.0
119893,1.0
120797,0.99
121591,1.0
122345,1.0
123035,1.0
123810,0.99
124526,1.0
125304,1.0
126079,1.0
126855,1.0
127759,0.99
128728,0.98
129502,1.0
130249,1.0
131002,1.0
131794,1.0
132497,1.0
133312,1.0
134048,1.0
134745,1.0
135885,0.96
136687,1.0
137440,1.0
138127,1.0
138899,1.0
139617,1.0
140292,1.0
140995,1.0
141662,1.0
142441,1.0
143114,1.0
143759,1.0
144520,1.0
145387,0.99
146077,1.0
146946,1.0
147624,1.0
148378,1.0
149138,1.0
149933,1.0
150683,1.0
151392,1.0
152090,1.0
152854,0.99
153513,1.0
154236,1.0
154956,1.0
155656,1.0
156355,1.0
157076,1.0
157817,1.0
158517,1.0
159222,1.0
159982,1.0
160658,1.0
161359,1.0
162034,1.0
162725,1.0
163376,1.0
164126,1.0
164899,0.99
165644,1.0
166355,1.0
166972,1.0
167741,1.0
168444,1.0
169139,1.0
169905,1.0
170604,1.0
171356,1.0
172040,1.0
172753,1.0
173430,1.0
174125,1.0
174744,1.0
175487,1.0
176277,1.0
177011,1.0
177796,0.99
178717,0.97
179449,1.0
180128,1.0
180826,1.0
181650,0.99
182408,1.0
183161,0.99
183877,1.0
184721,0.98
185438,0.99
186188,1.0
186930,1.0
187612,1.0
188349,1.0
189091,1.0
189766,1.0
190510,1.0
191185,1.0
191883,1.0
192583,1.0
193311,1.0
193994,1.0
194850,0.99
195546,1.0
196261,1.0
196996,1.0
197689,1.0
198370,1.0
199163,0.99
199908,1.0
200590,1.0
201304,1.0
202020,1.0
202760,1.0
203487,1.0
204178,1.0
204844,1.0
205657,0.98
206354,1.0
207006,1.0
207730,1.0
208416,1.0
209089,1.0
209857,0.99
210505,1.0
211165,1.0
211843,1.0
212495,1.0
213697,0.95
214360,1.0
215016,1.0
215747,1.0
216486,1.0
217157,1.0
217886,1.0
218561,1.0
219459,0.97
220079,1.0
220761,1.0
221408,1.0
222157,1.0
222847,1.0
223563,1.0
224278,1.0
224964,1.0
225568,1.0
226268,1.0
226951,1.0
227642,1.0
228233,1.0
228880,1.0
229529,1.0
230205,1.0
230880,1.0
231667,0.99
232292,1.0
232968,1.0
233626,1.0
234291,1.0
234934,1.0
235634,1.0
236228,1.0
236882,1.0
237534,1.0
238111,1.0
238753,1.0
239387,1.0
240114,1.0
240792,1.0
241425,1.0
242088,1.0
242742,1.0
243442,1.0
244091,1.0
244792,1.0
245574,1.0
246196,1.0
246887,1.0
247533,1.0
248172,1.0
248850,1.0
249517,1.0
250148,1.0
250831,1.0
251491,1.0
252084,1.0
252760,1.0
253395,1.0
254078,1.0
254674,1.0
255332,1.0
256005,1.0
256779,0.98
257419,1.0
258034,1.0
258665,1.0
259386,1.0
260044,1.0
260720,1.0
261405,1.0
262026,1.0
262705,1.0
263324,1.0
263958,1.0
264675,1.0
265343,1.0
266099,1.0
266763,1.0
267538,1.0
268218,1.0
268916,1.0
269672,0.99
270376,1.0
271040,1.0
271705,1.0
272470,1.0
273222,0.99
273924,1.0
274627,1.0
275237,1.0
275901,1.0
276595,0.99
277219,1.0
277873,1.0
278528,0.99
279196,1.0
279922,1.0
280563,1.0
281241,1.0
281899,1.0
282725,0.99
283571,0.98
284194,1.0
284860,1.0
285571,1.0
286277,1.0
286953,1.0
287600,1.0
288320,1.0
289020,1.0
289735,1.0
290412,1.0
291085,1.0
291751,1.0
292387,1.0
293056,1.0
293782,1.0
294482,1.0
295185,1.0
295901,1.0
296557,1.0
297246,1.0
297987,1.0
298702,1.0
299346,1.0
299949,1.0
300651,1.0
301380,0.99
301998,1.0
302580,1.0
303273,1.0
303879,1.0
304508,1.0
305160,1.0
305824,1.0
306488,1.0
307171,1.0
307989,0.98
308609,1.0
309245,1.0
309974,1.0
310575,1.0
311274,1.0
311895,1.0
312949,0.96
313615,1.0
314213,1.0
314883,1.0
315548,1.0
316257,1.0
316953,1.0
317655,1.0
318332,0.99
318995,1.0
319682,0.99
320359,1.0
321015,1.0
321688,1.0
322387,1.0
323117,0.99
323767,1.0
324582,0.98
325210,1.0
325836,1.0
326500,1.0
327162,1.0
327817,1.0
328594,0.99
329446,0.98
330140,1.0
330787,1.0
331439,1.0
332089,1.0
332734,1.0
333381,1.0
334020,1.0
334672,1.0
335308,1.0
335962,1.0
336619,1.0
337283,1.0
338008,0.99
338607,1.0
339270,0.99
339938,1.0
340561,1.0
341360,0.99
342135,1.0
342832,1.0
343469,1.0
344074,1.0
344736,1.0
345376,1.0
346075,1.0
346720,1.0
347395,1.0
347965,1.0
348600,1.0
349204,1.0
349837,1.0
350538,1.0
351199,1.0
351816,1.0
352460,1.0
353170,1.0
353873,1.0
354580,1.0
355284,1.0
355941,1.0
356595,1.0
357233,1.0
357843,1.0
358470,1.0
359119,1.0
359771,1.0
360413,1.0
361115,1.0
361814,1.0
362382,1.0
363083,1.0
363837,1.0
364534,1.0
365230,1.0
365886,0.99
366569,1.0
367169,1.0
367798,1.0
368390,1.0
369084,1.0
369744,1.0
370398,1.0
371055,1.0
371751,1.0
372455,0.99
373027,1.0
373702,1.0
374385,1.0
374953,1.0
375595,1.0
376284,1.0
376929,1.0
377552,1.0
378142,1.0
378776,1.0
379414,1.0
380073,1.0
380701,1.0
381298,1.0
381909,1.0
382553,1.0
383138,1.0
383761,1.0
384558,0.98
385151,1.0
385810,1.0
386600,0.99
387301,1.0
387971,1.0
388655,1.0
389302,1.0
389925,1.0
390644,1.0
391342,1.0
391953,1.0
392586,1.0
393300,1.0
393931,1.0
394816,0.97
395502,1.0
396174,1.0
396856,1.0
397560,1.0
398186,1.0
398855,1.0
399464,1.0
400124,1.0
400767,1.0
401443,1.0
402162,1.0
402768,1.0
403404,1.0
404022,1.0
404675,1.0
405396,0.99
406026,1.0
406695,1.0
407315,1.0
408009,0.99
408671,1.0
409357,1.0
410029,1.0
410655,1.0
411342,1.0
411986,1.0
412606,1.0
413278,1.0
414012,1.0
414648,1.0
415300,1.0
415888,1.0
416547,1.0
417254,0.99
417971,1.0
418593,1.0
419246,1.0
419925,1.0
420552,1.0
421165,1.0
421786,1.0
422383,1.0
423068,1.0
423731,1.0
424346,1.0
424971,1.0
425587,1.0
426236,1.0
426891,1.0
427530,1.0
428199,1.0
428817,1.0
429377,1.0
430115,0.99
430759,1.0
431383,1.0
432001,1.0
432631,1.0
433286,1.0
433905,1.0
434623,0.99
435245,1.0
435904,1.0
436564,1.0
437199,1.0
437892,0.99
438564,0.99
439254,1.0
440044,1.0
440648,1.0
441263,1.0
441865,1.0
442424,1.0
443107,1.0
443778,1.0
444416,1.0
445112,1.0
445769,1.0
446397,1.0
447049,1.0
447696,1.0
448365,1.0
449020,1.0
449634,1.0
450252,1.0
451116,0.97
451767,1.0
452364,1.0
452924,1.0
453573,1.0
454171,1.0
454966,0.97
455678,1.0
456339,1.0
457017,1.0
457677,0.99
458306,1.0
458928,1.0
459539,1.0
460148,1.0
460720,1.0
461407,1.0
462044,1.0
462689,1.0
463324,1.0
463951,1.0
464507,1.0
465206,0.99
465807,1.0
466404,1.0
467027,1.0
467645,1.0
468207,1.0
468805,1.0
469490,1.0
470097,1.0
470690,1.0
471349,1.0
471946,1.0
472583,1.0
473205,1.0
473779,1.0
474465,0.99
475129,0.99
475751,1.0
476442,1.0
477061,1.0
477700,1.0
478337,1.0
478955,1.0
479594,1.0
480239,1.0
480865,1.0
481515,1.0
482118,1.0
482721,1.0
483364,1.0
483964,1.0
484538,1.0
485166,1.0
485774,1.0
486370,1.0
487154,0.98
487776,1.0
488355,1.0
488989,1.0
489620,1.0
490238,1.0
490890,1.0
491546,1.0
492121,1.0
492721,1.0
493332,1.0
493951,1.0
494578,1.0
495209,1.0
495869,1.0
496499,1.0
497079,1.0
497728,1.0
498341,1.0
498971,1.0
499623,0.99
500285,1.0
500947,1.0
501593,1.0
502265,1.0
502892,1.0
503498,1.0
504202,1.0
504823,1.0
505430,1.0
506057,1.0
506809,1.0
507380,1.0
508054,0.99
508646,1.0
509250,1.0
509803,1.0
510462,1.0
511124,0.99
511752,1.0
512379,1.0
512998,1.0
513619,1.0
514326,1.0
514960,1.0
515560,1.0
516176,1.0
516822,1.0
517466,1.0
518100,1.0
518685,1.0
519284,1.0
519935,0.99
520534,1.0
521171,1.0
521832,1.0
522429,1.0
523141,1.0
523761,1.0
524323,1.0
524963,1.0
525622,1.0
526281,1.0
526958,1.0
527563,1.0
528200,1.0
528835,1.0
529422,1.0
530025,1.0
530780,0.99
531363,1.0
532013,1.0
532586,1.0
533209,1.0
533823,1.0
534443,1.0
535096,1.0
535800,1.0
536524,0.99
537121,1.0
537797,1.0
538451,1.0
539081,1.0
539737,1.0
540482,0.98
541080,1.0
541670,1.0
542247,1.0
542931,0.99
543630,1.0
544229,1.0
544902,1.0
545573,1.0
546253,1.0
546888,1.0
547514,1.0
548174,1.0
548821,1.0
549411,1.0
550055,1.0
550667,1.0
551258,1.0
551928,1.0
552583,0.99
553149,1.0
553770,1.0
554399,1.0
555035,1.0
555688,1.0
556362,1.0
556988,1.0
557619,0.99
558222,1.0
558830,1.0
559475,1.0
560143,1.0
560732,1.0
561355,1.0
562137,0.99
562778,1.0
563384,1.0
564015,1.0
564650,1.0
565257,1.0
565812,1.0
566431,1.0
567084,1.0
567726,1.0
568369,1.0
568981,1.0
569589,1.0
570172,1.0
570795,1.0
571431,1.0
572061,1.0
572706,1.0
573360,0.99
574042,1.0
574633,1.0
575289,0.99
575944,1.0
576576,1.0
577206,1.0
577809,1.0
578434,1.0
579063,1.0
579663,1.0
580200,1.0
580784,1.0
581391,1.0
582064,0.99
582777,1.0
583410,1.0
584018,1.0
584649,1.0
585305,1.0
585951,1.0
586577,1.0
587199,1.0
587808,1.0
588385,1.0
588968,1.0
589572,1.0
590191,1.0
590821,1.0
591480,0.99
592046,1.0
592678,1.0
593262,1.0
593868,1.0
594423,1.0
595023,1.0
595651,1.0
596269,1.0
596868,1.0
597531,0.99
598132,1.0
598743,1.0
599376,1.0
600043,0.99
600640,1.0
601264,1.0
601894,1.0
602574,1.0
603183,1.0
603730,1.0
604377,1.0
605059,1.0
605708,1.0
606379,0.99
607021,1.0
607610,1.0
608213,1.0
608955,0.99
609627,1.0
610298,1.0
610913,1.0
611531,1.0
612165,1.0
612740,1.0
613423,1.0
614061,0.99
614655,1.0
615277,1.0
615901,1.0
616481,1.0
617102,1.0
617747,1.0
618362,1.0
618997,1.0
619652,1.0
620256,1.0
620859,1.0
621446,1.0
622073,1.0
622623,1.0
623218,1.0
623947,0.99
624508,1.0
625129,1.0
625729,1.0
626323,1.0
626906,1.0
627457,1.0
628048,1.0
628667,1.0
629269,1.0
629870,1.0
630498,1.0
631095,1.0
631712,1.0
632335,1.0
632886,1.0
633506,1.0
634160,1.0
634719,1.0
635371,1.0
636000,1.0
636627,1.0
637284,1.0
637907,1.0
638520,1.0
639121,1.0
639722,1.0
640312,1.0
640956,1.0
641574,1.0
642198,1.0
642844,1.0
643436,1.0
644042,1.0
644646,1.0
645259,1.0
645838,1.0
646463,1.0
647074,1.0
647626,1.0
648230,1.0
648885,0.99
649772,0.97
650458,1.0
651069,1.0
651633,1.0
652272,1.0
652878,0.99
653462,1.0
654046,1.0
654734,1.0
655300,1.0
655929,1.0
656567,1.0
657134,1.0
657714,1.0
658338,1.0
658992,1.0
659574,1.0
660179,1.0
660756,1.0
661418,1.0
662072,1.0
662668,1.0
663296,1.0
663895,1.0
664566,0.99
665188,1.0
665804,1.0
666512,1.0
667097,1.0
667673,1.0
668288,1.0
668877,1.0
669498,1.0
670096,1.0
670776,1.0
671445,1.0
672123,0.99
672708,1.0
673285,1.0
673996,1.0
674657,1.0
675232,1.0
675887,1.0
676561,1.0
677208,0.99
677831,1.0
678417,1.0
679019,1.0
679621,1.0
680301,1.0
680902,1.0
681479,1.0
682129,1.0
682710,1.0
683332,1.0
683917,1.0
684508,1.0
685140,1.0
685876,1.0
686536,1.0
687152,1.0
687764,1.0
688394,1.0
689045,1.0
689586,1.0
690173,1.0
690764,1.0
691346,1.0
691975,1.0
692616,1.0
693240,1.0
693811,1.0
694417,1.0
695025,1.0
695618,1.0
696272,1.0
696893,1.0
697587,0.99
698204,1.0
698791,1.0
699457,1.0
700053,1.0
700648,1.0
701308,0.99
701879,1.0
702502,1.0
703195,1.0
703804,1.0
704440,1.0
705029,1.0
705634,1.0
706235,1.0
706839,0.99
707532,0.98
708140,1.0
708722,1.0
709370,1.0
709962,1.0
710587,1.0
711190,1.0
711765,1.0
712414,1.0
713084,1.0
713658,1.0
714276,1.0
714859,1.0
715460,1.0
716068,1.0
716624,1.0
717266,1.0
717852,1.0
718465,1.0
719086,1.0
719720,1.0
720324,1.0
720964,1.0
721593,0.99
722201,1.0
722754,1.0
723339,1.0
723904,1.0
724499,1.0
725102,1.0
725690,1.0
726276,1.0
726858,1.0
727445,1.0
728049,1.0
728630,1.0
729236,1.0
729794,1.0
730352,1.0
730974,1.0
731583,1.0
732201,1.0
732782,1.0
733405,1.0
734015,1.0
734615,1.0
735270,1.0
735876,1.0
736431,1.0
737031,1.0
737658,1.0
738289,1.0
738901,1.0
739508,1.0
740116,1.0
740708,1.0
741336,1.0
741945,1.0
742575,1.0
743171,1.0
743750,1.0
744334,1.0
744946,1.0
745551,1.0
746142,1.0
746734,1.0
747459,0.99
748050,1.0
748714,1.0
749373,1.0
749964,1.0
750695,0.99
751388,1.0
752006,1.0
752676,0.99
753320,1.0
754066,0.99
754732,1.0
755342,1.0
756007,1.0
756636,1.0
757288,1.0
757901,1.0
758659,0.99
759250,1.0
759800,1.0
760389,1.0
761019,1.0
761612,1.0
762215,1.0
762866,1.0
763420,1.0
764081,1.0
764674,1.0
765272,1.0
765914,1.0
766479,1.0
767088,1.0
767802,0.99
768418,1.0
769233,0.96
769849,1.0
770421,1.0
771007,1.0
771689,1.0
772283,1.0
772896,1.0
773461,1.0
774106,1.0
774696,1.0
775341,1.0
775923,1.0
776591,1.0
777173,1.0
777821,1.0
778398,1.0
779021,1.0
779648,1.0
780214,1.0
780767,1.0
781391,1.0
781975,1.0
782628,1.0
783267,1.0
783924,1.0
784499,1.0
785071,1.0
785671,1.0
786254,1.0
786830,1.0
787410,1.0
788064,1.0
788688,1.0
789229,1.0
789879,1.0
790478,1.0
791084,1.0
791699,1.0
792313,1.0
792887,1.0
793481,1.0
794068,1.0
794681,1.0
795241,1.0
795892,1.0
796477,1.0
797089,1.0
797757,1.0
798357,1.0
798965,1.0
799561,1.0
800212,1.0
800747,1.0
801348,1.0
801922,1.0
802516,1.0
803100,1.0
803715,1.0
804296,1.0
805116,0.97
805801,0.99
806413,1.0
807029,1.0
807627,1.0
808221,1.0
809042,0.98
809615,1.0
810245,1.0
810875,1.0
811498,1.0
812114,1.0
812626,1.0
813227,1.0
813864,1.0
814474,1.0
815048,1.0
815642,1.0
816238,1.0
816849,1.0
817406,1.0
818035,1.0
818740,1.0
819422,0.99
819986,1.0
820543,1.0
821194,1.0
821793,1.0
822409,1.0
823024,0.99
823625,1.0
824292,0.99
824898,1.0
825549,1.0
826131,1.0
826796,1.0
827412,1.0
827955,1.0
828561,1.0
829175,1.0
829880,0.99
830517,1.0
831153,0.99
831871,0.99
832454,1.0
833044,1.0
833628,1.0
834334,0.98
834963,0.99
835581,1.0
836231,1.0
836876,0.99
837502,1.0
838061,1.0
838674,1.0
839320,1.0
839947,0.99
840479,1.0
841056,1.0
841671,1.0
842278,1.0
842932,1.0
843539,1.0
844184,1.0
844765,1.0
845379,1.0
846063,1.0
846637,1.0
847296,1.0
847890,1.0
848404,1.0
849082,1.0
849699,1.0
850311,1.0
850843,1.0
851465,1.0
852223,0.98
852819,1.0
853348,1.0
853947,1.0
854569,1.0
855153,1.0
855860,0.99
856471,1.0
857105,1.0
857757,1.0
858303,1.0
858868,1.0
859493,1.0
860132,1.0
860799,1.0
861405,1.0
861999,1.0
862663,1.0
863282,1.0
863887,1.0
864527,1.0
865135,1.0
865791,1.0
866409,1.0
866986,1.0
867577,1.0
868183,1.0
868805,1.0
869410,1.0
870022,1.0
870619,1.0
871241,1.0
871781,1.0
872410,1.0
873012,1.0
873574,1.0
874184,1.0
874771,1.0
875337,1.0
875881,1.0
876470,1.0
877039,1.0
877706,1.0
878304,1.0
878958,0.99
879569,1.0
880282,0.99
880889,1.0
881598,0.98
882207,1.0
882802,1.0
883459,1.0
884037,1.0
884650,1.0
885292,1.0
885916,1.0
886475,1.0
887138,0.99
887731,1.0
888301,1.0
888884,1.0
889533,1.0
890161,1.0
890762,1.0
891410,1.0
891967,1.0
892533,1.0
893119,1.0
893770,1.0
894393,1.0
895053,1.0
895628,1.0
896207,1.0
896763,1.0
897291,1.0
897887,1.0
898506,1.0
899076,1.0
899693,1.0
900314,1.0
900956,0.99
901529,1.0
902087,1.0
902655,1.0
903233,1.0
903832,1.0
904438,1.0
905072,1.0
905657,1.0
906236,1.0
906842,1.0
907474,1.0
908123,1.0
908717,1.0
909411,0.99
909986,1.0
910582,1.0
911225,1.0
911931,1.0
912566,1.0
913235,1.0
913848,1.0
914459,1.0
915085,1.0
915663,1.0
916363,0.99
917003,1.0
917561,1.0
918131,1.0
918742,1.0
919331,1.0
919909,1.0
920468,1.0
921084,1.0
921697,1.0
922301,1.0
922910,1.0
923601,0.99
924212,1.0
924823,1.0
925433,1.0
926055,1.0
926736,0.99
927334,1.0
927987,1.0
928588,1.0
929215,1.0
929772,1.0
930355,1.0
930971,1.0
931618,1.0
932292,1.0
932864,1.0
933448,1.0
934062,1.0
934664,1.0
935221,1.0
935792,1.0
936448,1.0
937144,0.99
937724,1.0
938332,1.0
938883,1.0
939527,0.99
940118,1.0
940706,1.0
941266,1.0
941868,1.0
942480,1.0
943117,1.0
943711,1.0
944306,1.0
944942,1.0
945530,1.0
946134,1.0
946796,0.99
947371,1.0
947938,1.0
948501,1.0
949086,1.0
949718,1.0
950287,1.0
950908,1.0
951502,1.0
952119,1.0
952765,1.0
953408,1.0
954009,1.0
954939,0.95
955481,1.0
956090,1.0
956680,1.0
957293,1.0
957872,1.0
958435,1.0
959106,0.99
959852,0.99
960454,1.0
961074,1.0
961734,0.99
962297,1.0
962865,1.0
963461,1.0
964048,1.0
964652,1.0
965243,1.0
965870,1.0
966492,1.0
967071,1.0
967633,1.0
968264,1.0
968858,1.0
969555,0.99
970154,1.0
970736,1.0
971353,1.0
971943,1.0
972483,1.0
973083,1.0
973694,1.0
974310,1.0
974915,1.0
975539,1.0
976097,1.0
976732,1.0
977311,1.0
977922,1.0
978509,1.0
979132,1.0
979843,0.98
980427,1.0
981086,1.0
981691,1.0
982289,1.0
982937,1.0
983541,1.0
984149,1.0
984715,1.0
985281,1.0
985841,1.0
986443,1.0
987015,1.0
987609,1.0
988206,1.0
988905,0.99
989537,1.0
990117,1.0
990750,1.0
991313,1.0
991898,1.0
992483,1.0
993126,0.99
993765,1.0
994305,1.0
994951,1.0
995604,1.0
996288,0.99
996864,1.0
997453,1.0
998285,0.97
998846,1.0
999474,1.0
1000096,1.0
1000727,1.0
1001383,1.0
1002035,0.99
1002667,1.0
1003242,1.0
1003831,1.0
1004401,1.0
1004973,1.0
1005515,1.0
1006146,1.0
1006753,1.0
1007438,0.99
1008012,1.0
1008609,1.0
1009191,1.0
1009758,1.0
1010369,1.0
1011001,1.0
1011593,1.0
