steps,rate_target_reached
12984,0.16
13135,0.0
13137,1.0
13288,0.0
13439,0.0
13590,0.0
13611,1.0
13762,0.0
13913,0.0
14064,0.0
14215,0.0
14366,0.0
14397,1.0
14548,0.0
14550,1.0
14701,0.0
14709,1.0
14860,0.0
15011,0.0
15014,1.0
15165,0.0
15316,0.0
15467,0.0
15618,0.0
15769,0.0
15771,1.0
15787,1.0
15938,0.0
15974,1.0
16125,0.0
16276,0.0
16427,0.0
16429,1.0
16580,0.0
16731,0.0
16882,0.0
17033,0.0
17184,0.0
17314,1.0
17465,0.0
17475,1.0
17626,0.0
17628,1.0
17779,0.0
17930,0.0
18081,0.0
18232,0.0
18383,0.0
18534,0.0
18685,0.0
18836,0.0
18987,0.0
19138,0.0
19289,0.0
19300,1.0
19451,0.0
19602,0.0
19606,1.0
19757,0.0
19908,0.0
19911,1.0
20062,0.0
20213,0.0
20364,0.0
20366,1.0
20517,0.0
20520,1.0
20671,0.0
20822,0.0
20824,1.0
20975,0.0
21126,0.0
21277,0.0
21428,0.0
21579,0.0
21730,0.0
21881,0.0
22032,0.0
22183,0.0
22334,0.0
22485,0.0
22636,0.0
22787,0.0
22938,0.0
23089,0.0
23240,0.0
23391,0.0
23393,1.0
23544,0.0
23695,0.0
23846,0.0
23997,0.0
24148,0.0
24150,1.0
24301,0.0
24452,0.0
24454,1.0
24605,0.0
24756,0.0
24907,0.0
24916,1.0
25067,0.0
25218,0.0
25369,0.0
25520,0.0
25671,0.0
25822,0.0
25973,0.0
25998,1.0
26149,0.0
26300,0.0
26451,0.0
26463,1.0
26614,0.0
26765,0.0
26916,0.0
27067,0.0
27218,0.0
27220,1.0
27371,0.0
27373,1.0
27524,0.0
27675,0.0
27688,1.0
27839,0.0
27990,0.0
28141,0.0
28235,1.0
28386,0.0
28537,0.0
28688,0.0
28839,0.0
28990,0.0
29141,0.0
29292,0.0
29443,0.0
29445,1.0
29596,0.0
29747,0.0
29898,0.0
30049,0.0
30200,0.0
