steps,reward,lenght
0,0,0
150,-61.07851901580859,150
150,0,0
300,-63.1350740589477,150
300,0,0
450,-61.91290201785574,150
600,-62.86815171157463,150
750,-28.096689422578628,150
900,-31.620828267096627,150
901,10.0,1
1051,-52.16763376821677,150
1052,10.0,1
1202,-60.971592179190736,150
1352,-63.88639567258419,150
1502,-51.79611996700174,150
1652,-56.95901950115861,150
1802,-53.21925035667181,150
1812,6.548094729266902,10
1814,9.969768915263971,2
1818,9.93332410378756,4
1968,-49.30860776681388,150
2118,-62.41573430686579,150
2268,-56.77258378252472,150
2269,10.0,1
2419,-58.03580994455636,150
2569,-60.93954579506921,150
2570,10.0,1
2720,-60.11977302832766,150
2870,-53.557458944666095,150
3020,-57.358032778553294,150
3170,-59.08494313528922,150
3320,-63.013732815403685,150
3470,-61.315009639207275,150
3620,-63.482160955220834,150
3770,-63.16209426769258,150
3920,-60.2719817469405,150
4070,-63.30754014393353,150
4220,-63.88760929091898,150
4370,-61.430428922769416,150
4520,-63.32263230847385,150
4670,-59.14534054842577,150
4820,-62.14610056353112,150
4970,-62.23373803290365,150
4971,10.0,1
5121,-61.859668737985785,150
5271,-60.72479790907477,150
5421,-62.6726842109264,150
5571,-62.29234480121927,150
5721,-49.901676013592706,150
5871,-43.77730545596933,150
6021,-51.87349165781287,150
6076,-2.8042308730406056,55
6081,9.923806530879933,5
6231,-55.973057931772296,150
6381,-54.214432663837144,150
6531,-53.21364364957847,150
6532,10.0,1
6682,-50.86491951090871,150
6683,10.0,1
6833,-49.788887122503155,150
6983,-60.25317885527503,150
7133,-48.81723539951491,150
7283,-27.852785724663057,150
7433,-39.892287286645804,150
7583,-48.98954808150064,150
7614,5.775191133306426,31
7764,-50.61944524990092,150
7914,-36.9086513571086,150
7991,-1.7845646896250837,77
7992,10.0,1
8142,-43.24662354523952,150
8292,-58.26775318356897,150
8442,-37.80221745642021,150
8592,-19.80827540610256,150
8742,-43.094537114393205,150
8892,-52.20757696089941,150
9042,-63.37758386004105,150
9192,-60.45960838736559,150
9342,-38.60764468788956,150
9492,-55.72922515239762,150
9642,-48.70602471988441,150
9643,10.0,1
9793,-57.58160546303745,150
9796,9.966304962867532,3
9946,-28.16282236568888,150
9950,9.929978515419887,4
10100,-48.40363483790648,150
10250,-45.44029349466661,150
10400,-53.18650723674641,150
10550,-44.34292196831838,150
10700,-63.97663207880789,150
10850,-55.544076561285245,150
11000,-64.01817239746406,150
11150,-45.024031405647406,150
11157,9.77804101353863,7
11307,-52.82161614128142,150
11457,-63.012391866975655,150
11458,10.0,1
11608,-53.27695293121511,150
11758,-53.93367680371042,150
11908,-41.78300550971266,150
12058,-57.89117833299941,150
12208,-64.07840930679889,150
12358,-9.59784814999543,150
12508,-18.12412495652351,150
12658,-12.891497915586058,150
12808,-46.846002252245505,150
12809,10.0,1
12959,-18.56784951172815,150
13109,-19.32020814347094,150
13259,-10.151932814011168,150
13260,10.0,1
13410,-56.3035161111075,150
13560,-63.110135464097525,150
13691,-8.35796006925833,131
13841,-14.09317856523193,150
13991,-16.890295492212818,150
14141,-12.677568858073768,150
14291,-31.30344585970663,150
14441,-11.285862267223735,150
14591,-16.867841863747003,150
14741,-19.544651863008852,150
14891,-19.874482626265355,150
15041,-15.106077406596535,150
15191,-10.13000766961495,150
15341,-15.954788382491735,150
15491,-14.050535985180304,150
15641,-16.64070586835631,150
15791,-19.916451780887623,150
15941,-15.981888009416444,150
15945,9.647223734277443,4
15946,9.991906797716409,1
16096,-12.328060124959121,150
16246,-8.711768739799469,150
16383,-0.8212899044918327,137
16533,-4.365314742316239,150
16683,-14.099237831560634,150
16833,-5.864382742004631,150
16983,-9.496898898441518,150
17133,-9.257869101169609,150
17283,-50.815895363144854,150
17433,-46.13398055937155,150
17583,-12.562428770170277,150
17584,10.0,1
17734,-11.218810071517913,150
17884,-9.687559656760076,150
18034,-10.2630969353464,150
18184,-5.410224649275667,150
18334,-8.8772495965035,150
18484,-50.837975392571465,150
